Solver,TSP50 Cost,TSP50 Gap,TSP50 Time,TSP100 Cost,TSP100 Gap,TSP100 Time,CVRP50 Cost,CVRP50 Gap,CVRP50 Time,CVRP100 Cost,CVRP100 Gap,CVRP100 Time,FFSP50 Cost,FFSP50 Gap,FFSP50 Time,FFSP100 Cost,FFSP100 Gap,FFSP100 Time,JSSP10x10 Makespan,JSSP10x10 Gap(%),JSSP10x10 Time,JSSP15x15 Makespan,JSSP15x15 Gap(%),JSSP15x15 Time
Concorde,5.6903,-,13.3m,7.7609,-,40.8m,,-,,,-,,,,,,,,,,,,,
HGS,,-,,,-,,10.3659,-,7479s,15.5857,-,12900s,,,,,,,,,,,,
LKH3,5.6903,0.000000,2.0m,7.7609,0.000000,18.9m,10.367,0.000106,1h,15.6673,0.005236,2h,,,,,,,,,,,,
AM,5.79403,0.018229,2s,8.12325,0.046689,5s,10.94901,0.056253,2s,16.58043,0.063823,5s,,,,,,,,,,,,
"POMO, max",5.70249,0.002142,9s,7.80007,0.005047,19s,10.55475,0.018218,12s,15.89442,0.019808,28s,,,,,,,,,,,,
"SymNCO, max",5.69833,0.001411,10s,7.79325,0.004168,19s,10.49458,0.012414,13s,15.83921,0.016266,29s,,,,,,,,,,,,
"POMO, aug_max",5.69677,0.001137,15s,7.77523,0.001846,64s,10.46301,0.009368,47s,15.76035,0.011206,77s,,,,,,,,,,,,
"SymNCO, aug_max",5.69761,0.001285,15s,7.77461,0.001767,63s,10.43764,0.006921,48s,15.81801,0.014905,78s,,,,,,,,,,,,
CP-SAT,,,,,,,,,,,,,51.643,0.000000,1801s,95.431,0.000000,1801s,1020.75,,1s,1526.81,,11s
SJF,,,,,,,,,,,,,54.911,0.063281,0s,97.092,0.017405,1s,,,,,,
MOR,,,,,,,,,,,,,,,,,,,2484.49,,0s,3806.93,,0s
MWR,,,,,,,,,,,,,,,,,,,2664.39,,0s,4107.11,,0s
SPT,,,,,,,,,,,,,,,,,,,6154.75,,0s,13299.85,,0s
"RL, max",,,,,,,,,,,,,51.835,0.003718,442s,91.875,-0.037263,1819s,1817.890015,9.572144,1942s,2725.830078,11.408172,1918s
"RL, aug_max",,,,,,,,,,,,,49.845,-0.034816,442s,89.96,-0.057329,1819s,,,,,,
"PO, max",5.713428,0.004065,300s,7.79862,0.004860,94s,10.595385,0.022138,757s,15.927083,0.021904,116s,51.838,0.003776,348s,91.838,-0.037650,1113s,2166.040039,30.623842,1947s,3349.870117,36.976082,1903s
"PO, aug_max",5.69819,0.001387,300s,7.774413,0.001741,94s,10.49037,0.012008,757s,15.8116,0.014494,116s,49.769,-0.036288,348s,89.68,-0.060263,1113s,,,,,,
"SLL, max",5.716642,0.004629,27s,7.796903,0.004639,95s,10.551877,0.017941,33s,15.878394,0.018780,116s,,,,,,,2206.209961,33.063061,1838s,3806.820068,55.713379,3984s
"SLL, aug_max",5.700469,0.001787,27s,7.77334,0.001603,95s,10.469589,0.010003,33s,15.777922,0.012333,116s,,,,,,,,,,,,
"BOPO, max",5.730992,0.007151,30s,7.92324,0.020918,95s,10.669621,0.029300,53s,16.258997,0.043200,198s,51.919,0.005344,356s,91.868,-0.037336,1143s,1719.930054,3.687972,2078s,2643.26001,8.041456,2057s
"BOPO, aug_max",5.702815,0.002199,30s,7.850002,0.011481,95s,10.543793,0.017161,53s,16.081778,0.031829,198s,49.741,-0.036830,356s,89.672,-0.060347,1143s,,,,,,
"Loss-only, max",5.701918,0.002042,274s,7.789787,0.003722,95s,10.573111,0.019990,348s,15.892348,0.019675,731s,51.763,0.002324,791s,91.597,-0.040176,1858s,1712.050049,3.206554,2556s,2646.199951,8.169024,1911s
"Loss-only, aug_max",5.692007,0.000300,274s,7.770574,0.001247,95s,10.476468,0.010667,348s,15.785411,0.012814,731s,49.812,-0.035455,791s,89.44,-0.062778,1858s,,,,,,
"Loss-weighting, max",5.698214,0.001391,27s,7.781442,0.002647,94s,10.546460,0.017419,400s,15.897666,0.020016,771s,51.763000,0.002324,835s,91.614,-0.039997,1841s,1709.310059,3.047962,1743s,2625.540039,7.316164,3778s
"Loss-weighting, aug_max",5.691372,0.000188,27s,7.767709,0.000877,94s,10.457269,0.008814,400s,15.787089,0.012921,771s,49.836,-0.034990,835s,89.531,-0.061825,1841s,,,,,,
