"Problem","Method","Kind","Host","ResolvedRunDir","ResolvedRemote","MetricsPath","HparamsPath","Metric","MetricMode","Notes"
"tsp100","po","direct_file","g51",,"/data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt",,,"","","Routing PO baseline checkpoint"
"tsp100","sll","run_path_pattern","g51","/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/tsp100_sll",,"/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/tsp100_sll/csv/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/tsp100_sll/csv/version_0/hparams.yaml","val/reward","max",""
"tsp100","bopo","run_path_pattern","g51","/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/tsp100_bopo",,"/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/tsp100_bopo/csv/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/tsp100_bopo/csv/version_0/hparams.yaml","val/reward","max",""
"tsp100","loss_only","run_path_pattern","g52","/data1/gushengda/eam-rl4co/logs/train/runs/my_loss_TSP100",,"/data1/gushengda/eam-rl4co/logs/train/runs/my_loss_TSP100/csv/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/my_loss_TSP100/csv/version_0/hparams.yaml","val/reward","max",""
"tsp100","weighting","run_path_pattern","g51","/data1/gushengda/eam-rl4co/logs/train/runs/loss_weighting_tsp100",,"/data1/gushengda/eam-rl4co/logs/train/runs/loss_weighting_tsp100/csv/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/loss_weighting_tsp100/csv/version_0/hparams.yaml","val/reward","max",""
"cvrp100","po","direct_file","g51",,"/data1/gushengda/eam-rl4co/baseline/cvrp100_epoch_100.ckpt",,,"","","Routing PO baseline checkpoint"
"cvrp100","sll","run_path_pattern","g51","/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/cvrp100_sll",,"/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/cvrp100_sll/csv/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/cvrp100_sll/csv/version_0/hparams.yaml","val/reward","max",""
"cvrp100","bopo","run_path_pattern","g51","/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/cvrp100_bopo",,"/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/cvrp100_bopo/csv/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/tsp100_cvrp100_baselines_20260407-030000/cvrp100_bopo/csv/version_0/hparams.yaml","val/reward","max",""
"cvrp100","loss_only","hparams_grep","g52","/data1/gushengda/eam-rl4co/logs/train/runs/2026-03-24_08-30-54",,"/data1/gushengda/eam-rl4co/logs/train/runs/2026-03-24_08-30-54/csv/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/2026-03-24_08-30-54/csv/version_0/hparams.yaml","val/reward","max",""
"cvrp100","weighting","hparams_grep","g51","/data1/gushengda/eam-rl4co/logs/train/runs/2026-04-20_03-04-16",,"/data1/gushengda/eam-rl4co/logs/train/runs/2026-04-20_03-04-16/csv/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/2026-04-20_03-04-16/csv/version_0/hparams.yaml","val/reward","max",""
"ffsp50","rl","run_path_pattern","g48","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_rl_50_20260422-153318",,"/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_rl_50_20260422-153318/ffsp_matnet_rl_50/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_rl_50_20260422-153318/ffsp_matnet_rl_50/version_0/hparams.yaml","val/reward","max",""
"ffsp50","po","run_path_pattern","g49","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_po_50_20260421-003218",,"/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_po_50_20260421-003218/ffsp_matnet_po_50/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_po_50_20260421-003218/ffsp_matnet_po_50/version_0/hparams.yaml","val/reward","max",""
"ffsp50","bopo","run_path_pattern","g49","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_bopo_50_20260421-003211",,"/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_bopo_50_20260421-003211/ffsp_matnet_bopo_50/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_bopo_50_20260421-003211/ffsp_matnet_bopo_50/version_0/hparams.yaml","val/reward","max",""
"ffsp50","loss_only","run_path_pattern","g48","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp50_loss_only_pref_20260423-083149",,"/data1/gushengda/eam-rl4co/logs/train/runs/ffsp50_loss_only_pref_20260423-083149/ffsp50_loss_only_pref/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp50_loss_only_pref_20260423-083149/ffsp50_loss_only_pref/version_0/hparams.yaml","val/reward","max",""
"ffsp50","weighting","run_path_pattern","g48","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp50_weighting_pref_20260423-083149",,"/data1/gushengda/eam-rl4co/logs/train/runs/ffsp50_weighting_pref_20260423-083149/ffsp50_weighting_pref/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp50_weighting_pref_20260423-083149/ffsp50_weighting_pref/version_0/hparams.yaml","val/reward","max",""
"jssp10x10","rl","run_path_pattern","g48","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-rl_paper_10x10_20260413-015755",,"/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-rl_paper_10x10_20260413-015755/rl_10x10/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-rl_paper_10x10_20260413-015755/rl_10x10/version_0/hparams.yaml","val/gap","min",""
"jssp10x10","po","run_path_pattern","g48","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-po_paper_10x10_20260413-015755",,"/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-po_paper_10x10_20260413-015755/po_10x10/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-po_paper_10x10_20260413-015755/po_10x10/version_0/hparams.yaml","val/gap","min",""
"jssp10x10","bopo","run_path_pattern","g48","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-bopo_paper_10x10_20260413-015755",,"/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-bopo_paper_10x10_20260413-015755/bopo_10x10/version_0/metrics.csv","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-bopo_paper_10x10_20260413-015755/bopo_10x10/version_0/hparams.yaml","val/gap","min",""
