"Problem","Method","Host","RunDir","MetaSubdir","Metric","MetricMode","BestEpoch","LastEpoch","Notes"
"jssp10x10","rl","g53","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-rl_paper_10x10_20260412-083925","rl_10x10/version_0","val/gap","min","0","19","git author gsd53 / commit 9627ebba2"
"jssp10x10","po","g53","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-po_paper_10x10_20260412-083925","po_10x10/version_0","val/gap","min","5","19","git author gsd53 / commit 9627ebba2"
"jssp10x10","bopo","g53","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-bopo_paper_10x10_20260413-015755","bopo_10x10/version_0","val/gap","min","16","19","git author gsd53 / commit 31b6fa73d"
"jssp10x10","sll","g53","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-sll_10x10_20260422-033658","mgl-jssp-sll_10x10/version_0","val/gap","min","11","19","git author gsd_g53 / commit 9371946dd"
"jssp10x10","loss_only","g53","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-bopo-lossonly_10x10_20260423-083149","jssp10x10_loss_only_pref/version_0","val/gap","min","17","19","git author gsd_g53 / commit 726634384"
"jssp10x10","weighting","g53","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-bopo-pref_10x10_20260420-030116","bopo_pref/version_0","val/gap","min","19","19","git author gsd_g53 / commit 6a500a4d3"
"jssp15x15","rl","g48","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-rl_bucketed-multishape_15x15_20260421-050017","rl_15x15/version_1","val/gap","min","18","19","git author gsd_g48 / commit 4c2ea935f"
"jssp15x15","po","g48","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-po_bucketed-multishape_15x15_20260421-050017","po_15x15/version_1","val/gap","min","17","19","git author gsd_g48 / commit 4c2ea935f"
"jssp15x15","bopo","g48","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-bopo_bucketed-multishape_15x15_20260421-050017","bopo_15x15/version_0","val/gap","min","15","19","git author gsd_g48 / commit 4c2ea935f"
"jssp15x15","sll","g48","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-sll_15x15_20260422-153318","mgl-jssp-sll_15x15/version_1","val/gap","min","18","19","git author gsd_g48 / commit 95699abe8"
"jssp15x15","loss_only","g53","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-bopo-lossonly_15x15_20260423-083149","jssp15x15_loss_only_pref/version_0","val/gap","min","11","19","git author gsd_g53 / commit 726634384"
"jssp15x15","weighting","g48","/data1/gushengda/eam-rl4co/logs/train/runs/mgl-jssp-bopo-best_15x15_20260421-035952","mgl_jssp_bopo_best_15x15/version_0","val/gap","min","14","19","git author gsd_g48 / commit 4c2ea935f"
"ffsp50","rl","g48","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_rl_50_20260422-153318","ffsp_matnet_rl_50/version_0","val/reward","max","145","150","git author gsd_g48 / commit 95699abe8"
"ffsp50","po","g49","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_po_50_20260421-003218","ffsp_matnet_po_50/version_0","val/reward","max","131","150","git author gsd_g49 / commit 5462482b0"
"ffsp50","bopo","g49","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp_matnet_bopo_50_20260421-003211","ffsp_matnet_bopo_50/version_0","val/reward","max","118","150","git author gsd_g49 / commit 5462482b0"
"ffsp50","loss_only","g53","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp50_loss_only_pref_20260423-083149","ffsp50_loss_only_pref/version_0","val/reward","max","117","150","git author gsd_g53 / commit 726634384"
"ffsp50","weighting","g53","/data1/gushengda/eam-rl4co/logs/train/runs/ffsp50_weighting_pref_20260423-083149","ffsp50_weighting_pref/version_0","val/reward","max","134","150","git author gsd_g53 / commit 726634384"
