set,instance,shape,ref_makespan,pred_makespan,gap,gap_avg,gap_max,base_pred_makespan,base_gap,aug_factor,aug_batch_size,entropy_mean,time_sec
generated,15x15_0000,15x15,1165.0,1249.0,7.210302352905273,13.6460542678833,23.690998077392578,1249.0,7.210302352905273,1,16,0.6355546116828918,0.8185795228928328
generated,15x15_0001,15x15,1204.0,1307.0,8.554816246032715,16.5133113861084,27.990018844604492,1307.0,8.554816246032715,1,16,0.614449143409729,0.5279653426259756
generated,15x15_0002,15x15,1155.0,1254.9998779296875,8.658003807067871,15.14272689819336,21.731590270996094,1254.9998779296875,8.658003807067871,1,16,0.6100324392318726,0.5260665295645595
generated,15x15_0003,15x15,1214.0,1319.0,8.649086952209473,15.436447143554688,30.230653762817383,1319.0,8.649086952209473,1,16,0.626457929611206,0.5319586787372828
generated,15x15_0004,15x15,1278.0,1369.0,7.12050199508667,14.429891586303711,24.72612762451172,1369.0,7.12050199508667,1,16,0.5708426833152771,0.5256720809265971
generated,15x15_0005,15x15,1207.0,1308.0,8.367860794067383,15.874195098876953,26.429153442382812,1308.0,8.367860794067383,1,16,0.596535861492157,0.5321076791733503
generated,15x15_0006,15x15,1118.0,1185.0001220703125,5.99285364151001,14.863311767578125,26.475847244262695,1185.0001220703125,5.99285364151001,1,16,0.6348514556884766,0.5235432283952832
generated,15x15_0007,15x15,1231.0,1345.0,9.260761260986328,16.088926315307617,25.264013290405273,1345.0,9.260761260986328,1,16,0.630340039730072,0.5301986755803227
generated,15x15_0008,15x15,1157.0,1233.9998779296875,6.65513277053833,14.083433151245117,24.546241760253906,1233.9998779296875,6.65513277053833,1,16,0.6465336680412292,0.5248428033664823
generated,15x15_0009,15x15,1124.0,1217.0,8.274019241333008,13.842164993286133,21.88612174987793,1217.0,8.274019241333008,1,16,0.6423603296279907,0.522374433465302
generated,15x15_0010,15x15,1265.0,1373.0001220703125,8.537554740905762,15.514445304870605,25.454557418823242,1373.0001220703125,8.537554740905762,1,16,0.5723947882652283,0.5231722602620721
generated,15x15_0011,15x15,1136.0,1246.0001220703125,9.68310832977295,21.229230880737305,30.721832275390625,1246.0001220703125,9.68310832977295,1,16,0.6599596738815308,0.5233642105013132
generated,15x15_0012,15x15,1157.0,1277.9998779296875,10.458076477050781,17.78171157836914,27.571308135986328,1277.9998779296875,10.458076477050781,1,16,0.6186222434043884,0.5267965868115425
generated,15x15_0013,15x15,1149.0,1241.0001220703125,8.006965637207031,14.004707336425781,25.67448616027832,1241.0001220703125,8.006965637207031,1,16,0.6390359401702881,0.5268833767622709
generated,15x15_0014,15x15,1122.0,1211.0,7.932257652282715,16.83099365234375,32.53118896484375,1211.0,7.932257652282715,1,16,0.6316822171211243,0.5225315112620592
generated,15x15_0015,15x15,1143.0,1217.9998779296875,6.561672687530518,12.36056137084961,20.909893035888672,1217.9998779296875,6.561672687530518,1,16,0.6360680460929871,0.525444551371038
generated,15x15_0016,15x15,1137.0,1228.9998779296875,8.091449737548828,16.361581802368164,30.255067825317383,1228.9998779296875,8.091449737548828,1,16,0.6333824396133423,0.524060026742518
generated,15x15_0017,15x15,1180.0,1268.0,7.457625865936279,15.429019927978516,26.610183715820312,1268.0,7.457625865936279,1,16,0.6281090974807739,0.524451594799757
generated,15x15_0018,15x15,1259.0,1405.0,11.596512794494629,18.47386360168457,30.103254318237305,1405.0,11.596512794494629,1,16,0.6121035814285278,0.5258050905540586
generated,15x15_0019,15x15,1229.0,1344.0,9.357202529907227,17.421424865722656,26.932477951049805,1344.0,9.357202529907227,1,16,0.6032574772834778,0.5241766162216663
generated,15x15_0020,15x15,1337.0,1426.0001220703125,6.6567063331604,15.287256240844727,26.327598571777344,1426.0001220703125,6.6567063331604,1,16,0.5611398816108704,0.5259513705968857
generated,15x15_0021,15x15,1204.0,1281.0,6.395351886749268,11.012113571166992,17.607975006103516,1281.0,6.395351886749268,1,16,0.6350588202476501,0.5232577798888087
generated,15x15_0022,15x15,1220.0,1332.0,9.180331230163574,15.756916999816895,25.737703323364258,1332.0,9.180331230163574,1,16,0.62237948179245,0.5247936639934778
generated,15x15_0023,15x15,1143.0,1216.0001220703125,6.386709213256836,13.232719421386719,24.4969482421875,1216.0001220703125,6.386709213256836,1,16,0.6291801333427429,0.5234572486951947
generated,15x15_0024,15x15,1141.0,1262.0001220703125,10.60473918914795,17.405927658081055,30.499576568603516,1262.0001220703125,10.60473918914795,1,16,0.6595848798751831,0.5271907970309258
generated,15x15_0025,15x15,1239.0,1313.0,5.972552299499512,15.194332122802734,23.728824615478516,1313.0,5.972552299499512,1,16,0.6060298085212708,0.5240798266604543
generated,15x15_0026,15x15,1177.0,1276.0,8.411216735839844,13.980186462402344,27.442646026611328,1276.0,8.411216735839844,1,16,0.6330661773681641,0.5237438976764679
generated,15x15_0027,15x15,1226.0,1321.0001220703125,7.748782634735107,15.235651016235352,30.016326904296875,1321.0001220703125,7.748782634735107,1,16,0.6092751026153564,0.5238375877961516
generated,15x15_0028,15x15,1306.0,1420.0,8.728944778442383,17.950212478637695,28.86676788330078,1420.0,8.728944778442383,1,16,0.5581854581832886,0.5234828293323517
generated,15x15_0029,15x15,1280.0,1392.9998779296875,8.828115463256836,17.557371139526367,27.031253814697266,1392.9998779296875,8.828115463256836,1,16,0.5959316492080688,0.5237096482887864
generated,15x15_0030,15x15,1232.0,1352.9998779296875,9.821414947509766,17.54958724975586,25.487018585205078,1352.9998779296875,9.821414947509766,1,16,0.5562620759010315,0.5258965408429503
generated,15x15_0031,15x15,1176.0,1249.0001220703125,6.207489967346191,15.115463256835938,26.785707473754883,1249.0001220703125,6.207489967346191,1,16,0.6382862329483032,0.523237120360136
generated,15x15_0032,15x15,1147.0,1223.0,6.625986099243164,14.015507698059082,22.144710540771484,1223.0,6.625986099243164,1,16,0.6217836737632751,0.5257378611713648
generated,15x15_0033,15x15,1208.0,1280.0001220703125,5.960273742675781,14.69888687133789,23.013233184814453,1280.0001220703125,5.960273742675781,1,16,0.5871003270149231,0.5244213165715337
generated,15x15_0034,15x15,1229.0,1289.9998779296875,4.963374137878418,14.848196029663086,24.898290634155273,1289.9998779296875,4.963374137878418,1,16,0.6026524305343628,0.5233896803110838
generated,15x15_0035,15x15,1240.0,1318.9998779296875,6.370961666107178,13.881052017211914,25.322568893432617,1318.9998779296875,6.370961666107178,1,16,0.6046293377876282,0.5241781668737531
