set,instance,shape,ref_makespan,pred_makespan,gap,gap_avg,gap_max,base_pred_makespan,base_gap,aug_factor,aug_batch_size,entropy_mean,time_sec
generated,15x15_0000,15x15,1165.0,1877.0001220703125,61.11589813232422,91.31974029541016,132.96139526367188,1877.0001220703125,61.11589813232422,1,16,2.5809600353240967,0.8102981448173523
generated,15x15_0001,15x15,1204.0,1851.000244140625,53.73755645751953,84.38148498535156,121.01325988769531,1851.000244140625,53.73755645751953,1,16,2.5786705017089844,0.5281762080267072
generated,15x15_0002,15x15,1155.0,1758.9998779296875,52.29436111450195,87.06169128417969,125.627685546875,1758.9998779296875,52.29436111450195,1,16,2.577389717102051,0.524300062097609
generated,15x15_0003,15x15,1214.0,1806.0001220703125,48.76441955566406,88.0733871459961,133.93736267089844,1806.0001220703125,48.76441955566406,1,16,2.5789153575897217,0.5241921711713076
generated,15x15_0004,15x15,1278.0,1868.0,46.1658821105957,77.17869567871094,105.39906311035156,1868.0,46.1658821105957,1,16,2.5767221450805664,0.5301679614931345
generated,15x15_0005,15x15,1207.0,1851.0,53.355430603027344,88.66507720947266,146.89317321777344,1851.0,53.355430603027344,1,16,2.5761029720306396,0.5297785429283977
generated,15x15_0006,15x15,1118.0,1680.0001220703125,50.268341064453125,89.27912902832031,149.46331787109375,1680.0001220703125,50.268341064453125,1,16,2.578728199005127,0.5254802070558071
generated,15x15_0007,15x15,1231.0,1930.0,56.783103942871094,86.96435546875,121.5272216796875,1930.0,56.783103942871094,1,16,2.5781126022338867,0.531009528785944
generated,15x15_0008,15x15,1157.0,1855.9996337890625,60.41484069824219,90.35018920898438,132.32498168945312,1855.9996337890625,60.41484069824219,1,16,2.5791656970977783,0.5241434127092361
generated,15x15_0009,15x15,1124.0,1773.0001220703125,57.7402229309082,88.44597625732422,129.44839477539062,1773.0001220703125,57.7402229309082,1,16,2.579904079437256,0.5244183009490371
generated,15x15_0010,15x15,1265.0,2005.0,58.498023986816406,89.08102416992188,136.20553588867188,2005.0,58.498023986816406,1,16,2.5802860260009766,0.524447432719171
generated,15x15_0011,15x15,1136.0,1736.000244140625,52.816917419433594,91.61531829833984,138.3802947998047,1736.000244140625,52.816917419433594,1,16,2.579030752182007,0.5239188335835934
generated,15x15_0012,15x15,1157.0,1751.0,51.33967590332031,85.1724624633789,127.83057403564453,1751.0,51.33967590332031,1,16,2.576531410217285,0.522984916344285
generated,15x15_0013,15x15,1149.0,1789.0,55.700599670410156,92.07803344726562,127.32810974121094,1789.0,55.700599670410156,1,16,2.577461004257202,0.5234507946297526
generated,15x15_0014,15x15,1122.0,1721.9996337890625,53.47590637207031,88.61825561523438,126.11408233642578,1721.9996337890625,53.47590637207031,1,16,2.579850435256958,0.5265744738280773
generated,15x15_0015,15x15,1143.0,1802.9998779296875,57.742774963378906,88.70502471923828,131.8460693359375,1802.9998779296875,57.742774963378906,1,16,2.579545259475708,0.5228435266762972
generated,15x15_0016,15x15,1137.0,1735.0001220703125,52.59455490112305,88.59113311767578,146.6139373779297,1735.0001220703125,52.59455490112305,1,16,2.5769572257995605,0.5251137800514698
generated,15x15_0017,15x15,1180.0,1848.999755859375,56.694889068603516,90.65015411376953,134.74578857421875,1848.999755859375,56.694889068603516,1,16,2.5800771713256836,0.5236754948273301
generated,15x15_0018,15x15,1259.0,1954.0,55.202545166015625,87.08114624023438,144.55917358398438,1954.0,55.202545166015625,1,16,2.5796170234680176,0.5252143889665604
generated,15x15_0019,15x15,1229.0,1956.9998779296875,59.235145568847656,89.68673706054688,134.82504272460938,1956.9998779296875,59.235145568847656,1,16,2.5807924270629883,0.5233047055080533
generated,15x15_0020,15x15,1337.0,2007.9998779296875,50.186981201171875,79.495849609375,127.82351684570312,2007.9998779296875,50.186981201171875,1,16,2.578455924987793,0.5245664212852716
generated,15x15_0021,15x15,1204.0,1824.0,51.49501419067383,87.77706909179688,127.49166870117188,1824.0,51.49501419067383,1,16,2.5756261348724365,0.524630450643599
generated,15x15_0022,15x15,1220.0,1915.9998779296875,57.04916763305664,90.50460815429688,129.42623901367188,1915.9998779296875,57.04916763305664,1,16,2.5797066688537598,0.5248841196298599
generated,15x15_0023,15x15,1143.0,1747.0001220703125,52.84340286254883,90.92369079589844,137.9702606201172,1747.0001220703125,52.84340286254883,1,16,2.5811944007873535,0.5245647206902504
generated,15x15_0024,15x15,1141.0,1786.999755859375,56.61698532104492,87.84440612792969,124.62751770019531,1786.999755859375,56.61698532104492,1,16,2.579472780227661,0.5247102724388242
generated,15x15_0025,15x15,1239.0,1886.999755859375,52.30021667480469,80.64340209960938,116.22276306152344,1886.999755859375,52.30021667480469,1,16,2.5746030807495117,0.5255109081044793
generated,15x15_0026,15x15,1177.0,1888.0,60.407806396484375,90.72257232666016,127.272705078125,1888.0,60.407806396484375,1,16,2.5781381130218506,0.523823712952435
generated,15x15_0027,15x15,1226.0,1836.0001220703125,49.75531005859375,86.65184020996094,138.4991912841797,1836.0001220703125,49.75531005859375,1,16,2.5795791149139404,0.5243605626747012
generated,15x15_0028,15x15,1306.0,1998.9998779296875,53.06278610229492,84.97918701171875,117.99392700195312,1998.9998779296875,53.06278610229492,1,16,2.5767738819122314,0.5232724463567138
generated,15x15_0029,15x15,1280.0,1979.0,54.60938262939453,83.4228515625,124.06251525878906,1979.0,54.60938262939453,1,16,2.5806236267089844,0.5230457661673427
generated,15x15_0030,15x15,1232.0,1905.0,54.62662124633789,84.75611114501953,132.142822265625,1905.0,54.62662124633789,1,16,2.580467939376831,0.5263870945200324
generated,15x15_0031,15x15,1176.0,1784.000244140625,51.70069885253906,93.83436584472656,133.92860412597656,1784.000244140625,51.70069885253906,1,16,2.576382875442505,0.5246019018813968
generated,15x15_0032,15x15,1147.0,1882.999755859375,64.16736602783203,89.34107971191406,142.72012329101562,1882.999755859375,64.16736602783203,1,16,2.5780651569366455,0.5213221730664372
generated,15x15_0033,15x15,1208.0,1858.9998779296875,53.890716552734375,88.23856353759766,135.76156616210938,1858.9998779296875,53.890716552734375,1,16,2.577091693878174,0.5249084699898958
generated,15x15_0034,15x15,1229.0,1855.0,50.93572235107422,83.11572265625,124.6541748046875,1855.0,50.93572235107422,1,16,2.5802688598632812,0.5259064668789506
generated,15x15_0035,15x15,1240.0,1905.9998779296875,53.70966339111328,85.80770874023438,121.12903594970703,1905.9998779296875,53.70966339111328,1,16,2.5803582668304443,0.5223395302891731
generated,15x15_0036,15x15,1222.0,1948.0,59.41081237792969,90.336669921875,136.90672302246094,1948.0,59.41081237792969,1,16,2.5804319381713867,0.5240076845511794
generated,15x15_0037,15x15,1238.0,1968.0,58.9660758972168,89.46196746826172,124.23267364501953,1968.0,58.9660758972168,1,16,2.5800514221191406,0.5242077521979809
generated,15x15_0038,15x15,1225.0,1834.0001220703125,49.714290618896484,81.90434265136719,122.28575134277344,1834.0001220703125,49.714290618896484,1,16,2.5840554237365723,0.5225528990849853
generated,15x15_0039,15x15,1101.0,1731.9996337890625,57.3115119934082,92.91553497314453,126.61211395263672,1731.9996337890625,57.3115119934082,1,16,2.5789060592651367,0.5245336927473545
generated,15x15_0040,15x15,1115.0,1711.0001220703125,53.452919006347656,92.08940124511719,128.43048095703125,1711.0001220703125,53.452919006347656,1,16,2.5787713527679443,0.5250630406662822
generated,15x15_0041,15x15,1147.0,1858.9998779296875,62.07497024536133,92.16503143310547,130.8631591796875,1858.9998779296875,62.07497024536133,1,16,2.577141523361206,0.5229820478707552
generated,15x15_0042,15x15,1225.0,1944.000244140625,58.69389724731445,88.87627410888672,128.1632843017578,1944.000244140625,58.69389724731445,1,16,2.577880859375,0.5237588649615645
generated,15x15_0043,15x15,1140.0,1774.0003662109375,55.61406707763672,90.53043365478516,131.22808837890625,1774.0003662109375,55.61406707763672,1,16,2.5795469284057617,0.5244364831596613
generated,15x15_0044,15x15,1280.0,1975.0001220703125,54.2968864440918,82.74658966064453,115.39063262939453,1975.0001220703125,54.2968864440918,1,16,2.5801382064819336,0.5236041750758886
generated,15x15_0045,15x15,1194.0,1857.9998779296875,55.611385345458984,86.43936157226562,114.9078598022461,1857.9998779296875,55.611385345458984,1,16,2.579401969909668,0.5229958463460207
generated,15x15_0046,15x15,1257.0,1941.0001220703125,54.415287017822266,90.35712432861328,125.13921356201172,1941.0001220703125,54.415287017822266,1,16,2.578303813934326,0.5220825113356113
generated,15x15_0047,15x15,1277.0,1948.0,52.545021057128906,83.36800384521484,127.01644897460938,1948.0,52.545021057128906,1,16,2.5797905921936035,0.5243206731975079
