set,instance,shape,ref_makespan,pred_makespan,gap,gap_avg,gap_max,base_pred_makespan,base_gap,aug_factor,aug_batch_size,entropy_mean,time_sec
generated,15x15_0000,15x15,1165.0,1244.0,6.781113147735596,13.901556015014648,21.287559509277344,1244.0,6.781113147735596,1,16,1.4981892108917236,0.8221978694200516
generated,15x15_0001,15x15,1204.0,1322.0,9.800661087036133,16.759883880615234,26.162792205810547,1322.0,9.800661087036133,1,16,1.4701980352401733,0.5291700251400471
generated,15x15_0002,15x15,1155.0,1246.9998779296875,7.965362071990967,14.389204978942871,22.42422103881836,1246.9998779296875,7.965362071990967,1,16,1.4849216938018799,0.5253230687230825
generated,15x15_0003,15x15,1214.0,1316.9998779296875,8.484339714050293,13.884878158569336,21.499168395996094,1316.9998779296875,8.484339714050293,1,16,1.4877007007598877,0.5253106094896793
generated,15x15_0004,15x15,1278.0,1350.0,5.633807182312012,11.589765548706055,18.701087951660156,1350.0,5.633807182312012,1,16,1.4501769542694092,0.5264639956876636
generated,15x15_0005,15x15,1207.0,1280.0001220703125,6.048059463500977,14.637923240661621,23.860824584960938,1280.0001220703125,6.048059463500977,1,16,1.475684642791748,0.5317430160939693
generated,15x15_0006,15x15,1118.0,1216.0,8.765649795532227,15.347576141357422,21.556354522705078,1216.0,8.765649795532227,1,16,1.4930052757263184,0.5273099523037672
generated,15x15_0007,15x15,1231.0,1323.0,7.473599910736084,14.97194766998291,24.614131927490234,1323.0,7.473599910736084,1,16,1.5038607120513916,0.5307006500661373
generated,15x15_0008,15x15,1157.0,1242.0,7.346582412719727,12.922704696655273,24.54623031616211,1242.0,7.346582412719727,1,16,1.517789363861084,0.526790994219482
generated,15x15_0009,15x15,1124.0,1190.0,5.871880054473877,12.716854095458984,22.77580451965332,1190.0,5.871880054473877,1,16,1.5255833864212036,0.5302235819399357
generated,15x15_0010,15x15,1265.0,1392.9998779296875,10.118568420410156,16.510618209838867,27.90513038635254,1392.9998779296875,10.118568420410156,1,16,1.4310433864593506,0.5262586567550898
generated,15x15_0011,15x15,1136.0,1276.9998779296875,12.411964416503906,20.536697387695312,28.34507179260254,1276.9998779296875,12.411964416503906,1,16,1.4884364604949951,0.5239292439073324
generated,15x15_0012,15x15,1157.0,1245.0,7.605874538421631,15.71345329284668,24.373388290405273,1245.0,7.605874538421631,1,16,1.492862582206726,0.5248835105448961
generated,15x15_0013,15x15,1149.0,1227.0,6.788504123687744,14.715921401977539,21.409929275512695,1227.0,6.788504123687744,1,16,1.5114718675613403,0.5249697603285313
generated,15x15_0014,15x15,1122.0,1223.0,9.001779556274414,15.883326530456543,23.35115623474121,1223.0,9.001779556274414,1,16,1.5184110403060913,0.5254192091524601
generated,15x15_0015,15x15,1143.0,1205.0,5.424320697784424,13.067996978759766,21.872282028198242,1205.0,5.424320697784424,1,16,1.4833070039749146,0.524312311783433
generated,15x15_0016,15x15,1137.0,1241.0,9.146869659423828,15.277314186096191,23.13104820251465,1241.0,9.146869659423828,1,16,1.4765498638153076,0.5234529552981257
generated,15x15_0017,15x15,1180.0,1276.0,8.13559341430664,13.60633373260498,25.67794418334961,1276.0,8.13559341430664,1,16,1.4879488945007324,0.5236873952671885
generated,15x15_0018,15x15,1259.0,1376.9998779296875,9.372509002685547,15.177595138549805,21.76331329345703,1376.9998779296875,9.372509002685547,1,16,1.4845243692398071,0.5239458838477731
generated,15x15_0019,15x15,1229.0,1330.9998779296875,8.299422264099121,15.52838134765625,24.328720092773438,1330.9998779296875,8.299422264099121,1,16,1.472490906715393,0.5241818530485034
generated,15x15_0020,15x15,1337.0,1423.0,6.432318687438965,11.422502517700195,19.670915603637695,1423.0,6.432318687438965,1,16,1.4275444746017456,0.5235637249425054
generated,15x15_0021,15x15,1204.0,1271.0,5.564785003662109,11.313199996948242,19.102991104125977,1271.0,5.564785003662109,1,16,1.4836310148239136,0.5270817326381803
generated,15x15_0022,15x15,1220.0,1318.9998779296875,8.11474323272705,13.579023361206055,21.80328369140625,1318.9998779296875,8.11474323272705,1,16,1.5077553987503052,0.5242506926879287
generated,15x15_0023,15x15,1143.0,1218.0001220703125,6.561696529388428,12.144577026367188,21.25982093811035,1218.0001220703125,6.561696529388428,1,16,1.4851857423782349,0.5267690438777208
generated,15x15_0024,15x15,1141.0,1238.0,8.501315116882324,17.544233322143555,24.802827835083008,1238.0,8.501315116882324,1,16,1.5408987998962402,0.5246756710112095
generated,15x15_0025,15x15,1239.0,1346.0001220703125,8.635997772216797,15.31161117553711,22.11461067199707,1346.0001220703125,8.635997772216797,1,16,1.4485746622085571,0.5266518536955118
generated,15x15_0026,15x15,1177.0,1243.0,5.607473850250244,12.405073165893555,19.966007232666016,1243.0,5.607473850250244,1,16,1.4985060691833496,0.5249155005440116
