[2026-07-29 12:35:35,361] INFO:fitness.free_loss_fidelity: Stage3 offline mini-train start gen=0 pair_index=8 scenarios=['tsp100']
[2026-07-29 12:35:35,449] INFO:fitness.free_loss_fidelity: Stage3 scenario start gen=0 pair_index=8 scenario=tsp100 K=200 seed=1234 valid_sizes=[100] baseline_json=/data1/gushengda/eam-rl4co_runs/tsp100-joint-matched-init-hf1-r6-20260729-1927/baseline_cache/baseline_minitrain_tsp100_ckpt135_epoch1_inst100000.json
[2026-07-29 12:35:40,240] WARNING:fitness.free_loss_fidelity: weights_only checkpoint load failed (UnpicklingError); retrying weights_only=False for /data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt
[2026-07-29 12:35:40,284] INFO:fitness.free_loss_fidelity: Loaded init checkpoint into policy: path=/data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt prefix=policy. matched=97 missing=0 unexpected=0
[2026-07-29 12:35:40,654] WARNING:fitness.free_loss_fidelity: weights_only checkpoint load failed (UnpicklingError); retrying weights_only=False for /data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt
[2026-07-29 12:35:40,700] INFO:fitness.free_loss_fidelity: Loaded init checkpoint into policy: path=/data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt prefix=policy. matched=97 missing=0 unexpected=0
[2026-07-29 12:35:40,705] INFO:fitness.free_loss_fidelity: RL4CO free-loss phase=warmstart: epochs=1 steps_f1=1563 steps_f2=0 total_steps=1563 (ckpt=/data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt, device=cuda:0, env=tsp)
[2026-07-29 12:35:41,268] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 1/1563: score=7.751812 (avg=7.751812), loss=1.026311 (avg=1.026311), pairs_step=315787, pairs_total=315787
[2026-07-29 12:36:34,063] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 156/1563: score=34.987942 (avg=21.034044), loss=0.345316 (avg=0.546073), pairs_step=316800, pairs_total=49413716
[2026-07-29 12:37:27,152] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 312/1563: score=46.628960 (avg=32.580100), loss=0.217799 (avg=0.396297), pairs_step=316800, pairs_total=98834478
[2026-07-29 12:38:20,192] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 468/1563: score=46.970726 (avg=37.252763), loss=0.200497 (avg=0.330893), pairs_step=316799, pairs_total=148255250
[2026-07-29 12:39:13,450] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 624/1563: score=46.354107 (avg=39.598897), loss=0.194905 (avg=0.297310), pairs_step=316800, pairs_total=197676018
[2026-07-29 12:40:06,445] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 780/1563: score=46.535995 (avg=41.007489), loss=0.193267 (avg=0.277114), pairs_step=316800, pairs_total=247096787
[2026-07-29 12:40:59,444] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 936/1563: score=46.774910 (avg=41.949573), loss=0.194310 (avg=0.263456), pairs_step=316800, pairs_total=296517558
[2026-07-29 12:41:52,578] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 1092/1563: score=46.833019 (avg=42.610242), loss=0.197028 (avg=0.254067), pairs_step=316800, pairs_total=345938324
[2026-07-29 12:42:45,542] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 1248/1563: score=46.290298 (avg=43.115874), loss=0.197076 (avg=0.247044), pairs_step=316800, pairs_total=395359098
[2026-07-29 12:43:38,545] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 1404/1563: score=46.379623 (avg=43.509071), loss=0.196342 (avg=0.241339), pairs_step=316800, pairs_total=444779862
