[2026-07-29 12:35:45,416] INFO:fitness.free_loss_fidelity: Stage3 offline mini-train start gen=0 pair_index=9 scenarios=['tsp100']
[2026-07-29 12:35:45,466] INFO:fitness.free_loss_fidelity: Stage3 scenario start gen=0 pair_index=9 scenario=tsp100 K=200 seed=1234 valid_sizes=[100] baseline_json=/data1/gushengda/eam-rl4co_runs/tsp100-joint-matched-init-hf1-r6-20260729-1927/baseline_cache/baseline_minitrain_tsp100_ckpt135_epoch1_inst100000.json
[2026-07-29 12:35:50,278] WARNING:fitness.free_loss_fidelity: weights_only checkpoint load failed (UnpicklingError); retrying weights_only=False for /data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt
[2026-07-29 12:35:50,324] INFO:fitness.free_loss_fidelity: Loaded init checkpoint into policy: path=/data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt prefix=policy. matched=97 missing=0 unexpected=0
[2026-07-29 12:35:50,697] WARNING:fitness.free_loss_fidelity: weights_only checkpoint load failed (UnpicklingError); retrying weights_only=False for /data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt
[2026-07-29 12:35:50,740] INFO:fitness.free_loss_fidelity: Loaded init checkpoint into policy: path=/data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt prefix=policy. matched=97 missing=0 unexpected=0
[2026-07-29 12:35:50,745] INFO:fitness.free_loss_fidelity: RL4CO free-loss phase=warmstart: epochs=1 steps_f1=1563 steps_f2=0 total_steps=1563 (ckpt=/data1/gushengda/eam-rl4co/baseline/tsp100_epoch_135.ckpt, device=cuda:0, env=tsp)
[2026-07-29 12:35:51,354] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 1/1563: score=7.751812 (avg=7.751812), loss=208465.906250 (avg=208465.906250), pairs_step=315787, pairs_total=315787
[2026-07-29 12:36:43,818] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 156/1563: score=7.756255 (avg=7.795824), loss=165876.468750 (avg=194290.391426), pairs_step=316409, pairs_total=49300847
[2026-07-29 12:37:36,547] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 312/1563: score=7.783965 (avg=7.798699), loss=122897.054688 (avg=165783.853190), pairs_step=316219, pairs_total=98647504
[2026-07-29 12:38:29,245] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 468/1563: score=7.838060 (avg=7.798786), loss=119885.359375 (avg=150782.725227), pairs_step=316565, pairs_total=148001746
[2026-07-29 12:39:22,208] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 624/1563: score=7.784670 (avg=7.797705), loss=116854.476562 (avg=142742.458120), pairs_step=316516, pairs_total=197366938
[2026-07-29 12:40:14,957] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 780/1563: score=7.840241 (avg=7.798347), loss=117045.929688 (avg=137892.676192), pairs_step=316459, pairs_total=246740309
[2026-07-29 12:41:07,666] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 936/1563: score=7.779663 (avg=7.798391), loss=116750.625000 (avg=134394.584210), pairs_step=316613, pairs_total=296117570
[2026-07-29 12:42:00,535] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 1092/1563: score=7.802690 (avg=7.798037), loss=119924.898438 (avg=132068.882233), pairs_step=316543, pairs_total=345500408
[2026-07-29 12:42:53,219] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 1248/1563: score=7.789516 (avg=7.798495), loss=123806.296875 (avg=130373.186430), pairs_step=316592, pairs_total=394888568
[2026-07-29 12:43:45,907] INFO:fitness.free_loss_fidelity: RL4CO free-loss[warmstart] step 1404/1563: score=7.823659 (avg=7.797981), loss=116031.062500 (avg=128848.975778), pairs_step=316571, pairs_total=444278980
