Solver,FFSP50 Cost,FFSP50 Gap_vs_CP-SAT,FFSP50 Time,FFSP50 Source,FFSP100 Cost,FFSP100 Gap_vs_CP-SAT,FFSP100 Time,FFSP100 Source,JSSP10x10 Makespan,JSSP10x10 Gap(%),JSSP10x10 Time,JSSP10x10 Source,JSSP15x15 Makespan,JSSP15x15 Gap(%),JSSP15x15 Time,JSSP15x15 Source
CP-SAT,51.643,0.000000,1801s,logs\classical_benchmark_ffsp50_canonical_seed1234_torch_cpsat_t1800_full\summary.csv,95.431,0.000000,1801s,logs\classical_benchmark_ffsp100_canonical_seed1234_torch_cpsat_t1800_full\summary.csv,1020.75,,1s,logs\classical_benchmark_cp_sat_w192_20260430-052023\summary.csv,1526.81,,11s,logs\classical_benchmark_cp_sat_w192_20260430-052023\summary.csv
SJF,54.911,,0s,logs\classical_benchmark_ffsp50_canonical_seed1234_torch_cpsat_t1800_full\summary.csv,97.092,,1s,logs\classical_benchmark_ffsp100_canonical_seed1234_torch_cpsat_t1800_full\summary.csv,,,,,,,,
MOR,,,,,,,,,2484.49,,0s,logs\classical_benchmark\summary.csv,3806.93,,0s,logs\classical_benchmark\summary.csv
MWR,,,,,,,,,2664.39,,0s,logs\classical_benchmark\summary.csv,4107.11,,0s,logs\classical_benchmark\summary.csv
SPT,,,,,,,,,6154.75,,0s,logs\classical_benchmark\summary.csv,13299.85,,0s,logs\classical_benchmark\summary.csv
GA,55.343,0.071646,1321.6s,logs\heuristic_baseline_supplement_w1_20260505\summary.csv,102.599,0.075112,2595.3s,logs\heuristic_baseline_supplement_w1_20260505\summary.csv,873.185484,6.193355,92.7s,logs\heuristic_baseline_supplement_w1_20260505\summary.csv,1346.63,11.712736,228.6s,logs\heuristic_baseline_supplement_w1_20260505\summary.csv
PSO,55.31,0.071007,1288.9s,logs\heuristic_baseline_supplement_w1_20260505\summary.csv,102.444,0.073488,2558.0s,logs\heuristic_baseline_supplement_w1_20260505\summary.csv,873.451613,6.225721,88.4s,logs\heuristic_baseline_supplement_w1_20260505\summary.csv,1347.26,11.764999,223.2s,logs\heuristic_baseline_supplement_w1_20260505\summary.csv
RL,49.845,-0.034816,442s,downloads/tsp_cvrp_ffsp_checkpoint_test_results.csv,91.925003,-0.036739,458s,curves\ffsp100_rl.csv,1817.890015,9.572144,1942s,curves\jssp10x10_rl.csv,2725.830078,11.408172,1918s,curves\jssp15x15_rl.csv
PO,49.769,-0.036288,348s,downloads/tsp_cvrp_ffsp_checkpoint_test_results.csv,89.68,-0.060263,1113s,downloads/tsp_cvrp_ffsp_checkpoint_test_results.csv,2166.040039,30.623842,1947s,curves\jssp10x10_po.csv,3349.870117,36.976082,1903s,curves\jssp15x15_po.csv
SLL,,,,,,,,,2206.209961,33.063061,1838s,curves\jssp10x10_sll.csv,3806.820068,55.713379,3984s,curves\jssp15x15_sll.csv
BOPO,49.741,-0.036830,356s,downloads/tsp_cvrp_ffsp_checkpoint_test_results.csv,89.672,-0.060347,1143s,downloads/tsp_cvrp_ffsp_checkpoint_test_results.csv,1719.930054,3.687972,2078s,curves\jssp10x10_bopo.csv,2643.26001,8.041456,2057s,curves\jssp15x15_bopo.csv
Loss-only,51.839001,0.003795,184s,curves\ffsp50_loss_only.csv,91.652,-0.039599,469s,curves\ffsp100_loss_only.csv,1712.050049,3.206554,2556s,curves\jssp10x10_loss_only.csv,2646.199951,8.169024,1911s,curves\jssp15x15_loss_only.csv
Loss-weighting,51.763000,0.002324,186s,curves\ffsp50_weighting.csv,91.703003,-0.039065,488s,curves\ffsp100_weighting.csv,1709.310059,3.047962,1743s,curves\jssp10x10_best.csv,2625.540039,7.316164,3778s,curves\jssp15x15_best.csv
