scenario,solver,count,ok_count,optimal_count,feasible_count,failed_count,total_elapsed_s,sum_instance_elapsed_s,avg_elapsed_s,avg_objective_ok,best_objective_ok,workers,solver_threads
cvrp100,nearest_feasible,10000,10000,0,0,0,5.430537021718919,51.5410469355993,0.00515410469355993,2090036.9942,1465904.0,192,1
cvrp100,savings,10000,10000,0,0,0,5.353335896972567,232.74460434075445,0.023274460434075446,1649653.3192,1215813.0,192,1
cvrp100,sweep,10000,10000,0,0,0,5.406028480269015,11.72419361770153,0.001172419361770153,3061817.6972,1866310.0,192,1
cvrp50,nearest_feasible,10000,10000,0,0,0,4.872803775127977,19.522010433953255,0.0019522010433953255,1398055.0848,896177.0,192,1
cvrp50,savings,10000,10000,0,0,0,5.160740931984037,29.880998886190355,0.0029880998886190357,1089823.347,756317.0,192,1
cvrp50,sweep,10000,10000,0,0,0,5.672665737103671,4.839755698572844,0.00048397556985728445,1704010.3192,987889.0,192,1
ffsp100,ga,1000,1000,0,0,0,34.49013237003237,6134.959450560156,6.134959450560157,102.599,94.0,192,1
ffsp100,pso,1000,1000,0,0,0,32.55062975687906,5746.630009682383,5.7466300096823835,102.444,93.0,192,1
ffsp50,ga,1000,1000,0,0,0,19.045182023197412,3349.8314570472576,3.3498314570472574,55.343,49.0,192,1
ffsp50,pso,1000,1000,0,0,0,17.496008864603937,3059.3347313785926,3.0593347313785926,55.31,50.0,192,1
jssp10x10,ga,124,124,0,0,0,2.105854499619454,174.5501559767872,1.4076625481998968,873.1854838709677,732.0,124,1
jssp10x10,pso,124,124,0,0,0,1.9773450829088688,159.07059234380722,1.2828273576113485,873.4516129032259,732.0,124,1
jssp15x15,ga,100,100,0,0,0,4.5933364988304675,375.5088706794195,3.755088706794195,1346.63,1172.0,100,1
jssp15x15,pso,100,100,0,0,0,4.341166561003774,355.99198213452473,3.559919821345247,1347.26,1215.0,100,1
tsp100,nearest_insertion,10000,10000,0,0,0,8.191058438271284,886.5713907014579,0.08865713907014579,885409.3321,762672.0,192,1
tsp100,nn_2opt,10000,10000,0,0,0,4.885943125002086,124.70468797534704,0.012470468797534703,922447.7946,726777.0,192,1
tsp50,nearest_insertion,10000,10000,0,0,0,5.315963178873062,115.79751564003527,0.011579751564003527,636696.4176,515997.0,192,1
tsp50,nn_2opt,10000,10000,0,0,0,5.045182642061263,45.69141696905717,0.004569141696905718,647112.2715,494408.0,192,1
