scenario,solver,count,ok_count,optimal_count,feasible_count,failed_count,total_elapsed_s,sum_instance_elapsed_s,avg_elapsed_s,avg_objective_ok,best_objective_ok,workers,solver_threads
cvrp100,nearest_feasible,10000,10000,0,0,0,24.21854647109285,24.20905922818929,0.002420905922818929,2090036.9942,1465904.0,1,1
cvrp100,savings,10000,10000,0,0,0,48.7817245637998,48.77031710091978,0.004877031710091979,1649653.3192,1215813.0,1,1
cvrp100,sweep,10000,10000,0,0,0,3.482068625744432,3.474966294132173,0.00034749662941321733,3061817.6972,1866310.0,1,1
cvrp50,nearest_feasible,10000,10000,0,0,0,6.304803406819701,6.296642130240798,0.0006296642130240798,1398055.0848,896177.0,1,1
cvrp50,savings,10000,10000,0,0,0,11.209288467187434,11.200075200293213,0.0011200075200293214,1089823.347,756317.0,1,1
cvrp50,sweep,10000,10000,0,0,0,1.3065442377701402,1.2997724926099181,0.00012997724926099182,1704010.3192,987889.0,1,1
ffsp100,ga,1000,1000,0,0,0,2595.3465585107915,2595.3067518728785,2.5953067518728785,102.599,94.0,1,1
ffsp100,pso,1000,1000,0,0,0,2557.95202742517,2557.9113565655425,2.5579113565655427,102.444,93.0,1,1
ffsp50,ga,1000,1000,0,0,0,1321.5801280708984,1321.5418704082258,1.3215418704082258,55.343,49.0,1,1
ffsp50,pso,1000,1000,0,0,0,1288.9385006688535,1288.900324952323,1.288900324952323,55.31,50.0,1,1
jssp10x10,ga,124,124,0,0,0,92.65875957300887,92.643272400368,0.7471231645190968,873.1854838709677,732.0,1,1
jssp10x10,pso,124,124,0,0,0,88.3994625788182,88.38466662354767,0.7127795695447393,873.4516129032259,732.0,1,1
jssp15x15,ga,100,100,0,0,0,228.56483856169507,228.5461379652843,2.2854613796528427,1346.63,1172.0,1,1
jssp15x15,pso,100,100,0,0,0,223.18224274367094,223.16432879399508,2.231643287939951,1347.26,1215.0,1,1
tsp100,nearest_insertion,10000,10000,0,0,0,480.8051086599007,480.79346474213526,0.048079346474213525,885409.3321,762672.0,1,1
tsp100,nn_2opt,10000,10000,0,0,0,85.71575672505423,85.70560107054189,0.008570560107054188,922447.7946,726777.0,1,1
tsp50,nearest_insertion,10000,10000,0,0,0,76.63910059118643,76.62901233369485,0.007662901233369485,636696.4176,515997.0,1,1
tsp50,nn_2opt,10000,10000,0,0,0,21.147138413973153,21.137073774356395,0.0021137073774356394,647112.2715,494408.0,1,1
