scenario,solver,instance_id,status,objective,elapsed_s,notes
tsp50,nn_2opt,tsp50_00000,ok,626001.0,0.00178829999640584,
tsp50,nn_2opt,tsp50_00001,ok,624036.0,0.0016479000332765281,
tsp50,nn_2opt,tsp50_00002,ok,638175.0,0.0014516999945044518,
tsp50,nearest_insertion,tsp50_00000,ok,695202.0,0.014579600014258176,
tsp50,nearest_insertion,tsp50_00001,ok,660829.0,0.014533600013237447,
tsp50,nearest_insertion,tsp50_00002,ok,670530.0,0.014749899972230196,
cvrp50,nearest_feasible,cvrp50_00000,ok,1757353.0,0.0011740000336430967,
cvrp50,nearest_feasible,cvrp50_00001,ok,1553178.0,0.0012250000145286322,
cvrp50,nearest_feasible,cvrp50_00002,ok,1434829.0,0.000679899996612221,
cvrp50,sweep,cvrp50_00000,ok,2136047.0,0.0005926999729126692,
cvrp50,sweep,cvrp50_00001,ok,1741129.0,0.00015889998758211732,
cvrp50,sweep,cvrp50_00002,ok,1798475.0,0.00021109997760504484,
cvrp50,savings,cvrp50_00000,ok,1175423.0,0.0014943999703973532,
cvrp50,savings,cvrp50_00001,ok,1163676.0,0.0012500000302679837,
cvrp50,savings,cvrp50_00002,ok,1076565.0,0.0009083999902941287,
ffsp50,ga,ffsp50_00000,ok,56.0,0.014492899994365871,
ffsp50,ga,ffsp50_00001,ok,58.0,0.01334920001681894,
ffsp50,ga,ffsp50_00002,ok,62.0,0.01519830001052469,
ffsp50,pso,ffsp50_00000,ok,59.0,0.01247060002060607,
ffsp50,pso,ffsp50_00001,ok,58.0,0.012671699980273843,
ffsp50,pso,ffsp50_00002,ok,59.0,0.010962200001813471,
jssp10x10,ga,10x10_random_00000.jsp,ok,884.0,0.012277000001631677,
jssp10x10,ga,10x10_random_00001.jsp,ok,856.0,0.012115599995013326,
jssp10x10,ga,10x10_random_00002.jsp,ok,1018.0,0.012426800036337227,
jssp10x10,pso,10x10_random_00000.jsp,ok,935.0,0.010054000013042241,
jssp10x10,pso,10x10_random_00001.jsp,ok,855.0,0.010936200036667287,
jssp10x10,pso,10x10_random_00002.jsp,ok,1073.0,0.010936299979221076,
