scenario,solver,count,ok_count,optimal_count,feasible_count,failed_count,total_elapsed_s,sum_instance_elapsed_s,avg_elapsed_s,avg_objective_ok,best_objective_ok,workers,solver_threads
cvrp100,ga,10000,10000,0,0,0,110.45518283452839,7015.628644214012,0.7015628644214011,1642219.5898,1215813.0,64,1
cvrp100,pso,10000,10000,0,0,0,92.4507962539792,5855.968167868443,0.5855968167868443,1642219.5898,1215813.0,64,1
cvrp100,two_opt,10000,10000,0,0,0,3.9268625238910317,102.58464047964662,0.010258464047964662,1642223.5172,1215813.0,64,1
cvrp50,ga,10000,10000,0,0,0,66.7016393924132,4226.431855452247,0.4226431855452247,1085718.9364,746471.0,64,1
cvrp50,pso,10000,10000,0,0,0,45.1175845451653,2856.010333603248,0.2856010333603248,1085713.5145,746471.0,64,1
cvrp50,two_opt,10000,10000,0,0,0,3.2968377331271768,26.504974425770342,0.0026504974425770344,1085746.6481,746471.0,64,1
tsp100,ga,10000,10000,0,0,0,165.87648722250015,10570.360222840682,1.0570360222840682,920516.5238,726777.0,64,1
tsp100,pso,10000,10000,0,0,0,138.94345249421895,8840.491514977999,0.8840491514978,920665.8403,726777.0,64,1
tsp100,two_opt,10000,10000,0,0,0,3.021170014515519,129.55289480276406,0.012955289480276405,922447.7946,726777.0,64,1
tsp50,ga,10000,10000,0,0,0,77.60794597771019,4920.921686078422,0.49209216860784216,630063.5238,494408.0,64,1
tsp50,pso,10000,10000,0,0,0,53.47241793572903,3385.8246389050037,0.33858246389050034,629872.3944,494408.0,64,1
tsp50,two_opt,10000,10000,0,0,0,3.3575205504894257,43.72553616575897,0.004372553616575897,647112.2715,494408.0,64,1
