scenario,solver,count,ok_count,optimal_count,feasible_count,failed_count,total_elapsed_s,sum_instance_elapsed_s,avg_elapsed_s,avg_objective_ok,best_objective_ok,workers,solver_threads
cvrp100,ga,20,20,0,0,0,0.8850668999948539,0.8783042999857571,0.043915214999287855,1683325.75,1390487.0,1,1
cvrp100,pso,20,20,0,0,0,0.7928110000066226,0.7850843999913195,0.03925421999956598,1683325.75,1390487.0,1,1
cvrp100,two_opt,20,20,0,0,0,0.07699420000426471,0.07101359999796841,0.0035506799998984207,1683325.75,1390487.0,1,1
cvrp50,ga,20,20,0,0,0,0.44308909999381285,0.4384850000496954,0.02192425000248477,1094682.0,893366.0,1,1
cvrp50,pso,20,20,0,0,0,0.3668767999915872,0.3625289999617962,0.01812644999808981,1094682.0,893366.0,1,1
cvrp50,two_opt,20,20,0,0,0,0.01822879999235738,0.016218899967498146,0.0008109449983749073,1094682.0,893366.0,1,1
tsp100,ga,20,20,0,0,0,3.5956530999974348,3.588138099948992,0.1794069049974496,929595.75,831012.0,1,1
tsp100,pso,20,20,0,0,0,3.208350499990047,3.201228000005358,0.1600614000002679,929595.75,831012.0,1,1
tsp100,two_opt,20,20,0,0,0,0.10231360000034329,0.09681190001720097,0.004840595000860049,929595.75,831012.0,1,1
tsp50,ga,20,20,0,0,0,1.1067806999926688,1.102224899965222,0.0551112449982611,640441.9,581131.0,1,1
tsp50,pso,20,20,0,0,0,0.8683467999944696,0.8641737000434659,0.0432086850021733,644007.95,581131.0,1,1
tsp50,two_opt,20,20,0,0,0,0.03085520000604447,0.028638000032515265,0.0014319000016257632,656642.3,581131.0,1,1
