scenario,solver,instance_id,status,objective,elapsed_s,notes
tsp50,two_opt,tsp50_00000,ok,541455.0,0.004621498286724091,
tsp50,two_opt,tsp50_00001,ok,609582.0,0.0045990971848368645,
tsp50,two_opt,tsp50_00002,ok,815970.0,0.006586593575775623,
tsp50,two_opt,tsp50_00003,ok,639464.0,0.0063518015667796135,
tsp50,two_opt,tsp50_00004,ok,638242.0,0.00454906839877367,
tsp50,two_opt,tsp50_00005,ok,667650.0,0.004573957994580269,
tsp50,two_opt,tsp50_00006,ok,823953.0,0.0046344781294465065,
tsp50,two_opt,tsp50_00007,ok,614222.0,0.004610637202858925,
tsp50,two_opt,tsp50_00008,ok,575773.0,0.00461247842758894,
tsp50,two_opt,tsp50_00009,ok,630859.0,0.004535467363893986,
tsp50,two_opt,tsp50_00010,ok,621726.0,0.004631307907402515,
tsp50,two_opt,tsp50_00011,ok,723907.0,0.004627197980880737,
tsp50,two_opt,tsp50_00012,ok,596469.0,0.004646948538720608,
tsp50,two_opt,tsp50_00013,ok,594487.0,0.004527566954493523,
tsp50,two_opt,tsp50_00014,ok,707207.0,0.00609503872692585,
tsp50,two_opt,tsp50_00015,ok,594308.0,0.004534036852419376,
tsp50,two_opt,tsp50_00016,ok,609920.0,0.006434452719986439,
tsp50,two_opt,tsp50_00017,ok,634290.0,0.004794909618794918,
tsp50,two_opt,tsp50_00018,ok,593034.0,0.0020583076402544975,
tsp50,two_opt,tsp50_00019,ok,591603.0,0.0045365262776613235,
tsp50,two_opt,tsp50_00020,ok,611442.0,0.005584225058555603,
tsp50,two_opt,tsp50_00021,ok,608715.0,0.005264262668788433,
tsp50,two_opt,tsp50_00022,ok,700678.0,0.0046090977266430855,
tsp50,two_opt,tsp50_00023,ok,695195.0,0.004639538004994392,
tsp50,two_opt,tsp50_00024,ok,624566.0,0.005435585044324398,
tsp50,two_opt,tsp50_00025,ok,657793.0,0.004708359017968178,
tsp50,two_opt,tsp50_00026,ok,561030.0,0.005305263213813305,
tsp50,two_opt,tsp50_00027,ok,605879.0,0.004583197645843029,
tsp50,two_opt,tsp50_00028,ok,624727.0,0.005442844703793526,
tsp50,two_opt,tsp50_00029,ok,938954.0,0.00463118776679039,
tsp50,two_opt,tsp50_00030,ok,605059.0,0.004616677761077881,
tsp50,two_opt,tsp50_00031,ok,604361.0,0.005975209176540375,
tsp50,two_opt,tsp50_00032,ok,623533.0,0.0047521693632006645,
tsp50,two_opt,tsp50_00033,ok,825833.0,0.006020969711244106,
tsp50,two_opt,tsp50_00034,ok,568228.0,0.004636119119822979,
tsp50,two_opt,tsp50_00035,ok,679102.0,0.006230391561985016,
tsp50,two_opt,tsp50_00036,ok,628646.0,0.00463457778096199,
tsp50,two_opt,tsp50_00037,ok,663834.0,0.0045819878578186035,
tsp50,two_opt,tsp50_00038,ok,599717.0,0.004536306485533714,
tsp50,two_opt,tsp50_00039,ok,756462.0,0.0046156179159879684,
tsp50,two_opt,tsp50_00040,ok,732441.0,0.006901207379996777,
tsp50,two_opt,tsp50_00041,ok,702883.0,0.004733189009130001,
tsp50,two_opt,tsp50_00042,ok,613187.0,0.003950892016291618,
tsp50,two_opt,tsp50_00043,ok,805045.0,0.004672168754041195,
tsp50,two_opt,tsp50_00044,ok,632204.0,0.003552359528839588,
tsp50,two_opt,tsp50_00045,ok,606820.0,0.004552948288619518,
tsp50,two_opt,tsp50_00046,ok,600856.0,0.004621726460754871,
tsp50,two_opt,tsp50_00047,ok,677566.0,0.004547247663140297,
tsp50,two_opt,tsp50_00048,ok,722213.0,0.004608087241649628,
tsp50,two_opt,tsp50_00049,ok,729042.0,0.004645547829568386,
tsp50,two_opt,tsp50_00050,ok,636335.0,0.006920887157320976,
tsp50,two_opt,tsp50_00051,ok,684456.0,0.004658249206840992,
tsp50,two_opt,tsp50_00052,ok,701324.0,0.004131913185119629,
tsp50,two_opt,tsp50_00053,ok,590097.0,0.004783160053193569,
tsp50,two_opt,tsp50_00054,ok,685001.0,0.005724706687033176,
tsp50,two_opt,tsp50_00055,ok,624998.0,0.004861769266426563,
tsp50,two_opt,tsp50_00056,ok,660465.0,0.004740029573440552,
tsp50,two_opt,tsp50_00057,ok,597769.0,0.00531037338078022,
tsp50,two_opt,tsp50_00058,ok,712009.0,0.004820219241082668,
tsp50,two_opt,tsp50_00059,ok,812750.0,0.004639077931642532,
tsp50,two_opt,tsp50_00060,ok,693480.0,0.004903988912701607,
tsp50,two_opt,tsp50_00061,ok,597382.0,0.004552807658910751,
tsp50,two_opt,tsp50_00062,ok,620259.0,0.0041711339727044106,
tsp50,two_opt,tsp50_00063,ok,607226.0,0.004578476771712303,
tsp50,two_opt,tsp50_00064,ok,733603.0,0.004385906271636486,
tsp50,two_opt,tsp50_00065,ok,580717.0,0.006432201713323593,
tsp50,two_opt,tsp50_00066,ok,708551.0,0.003390357829630375,
tsp50,two_opt,tsp50_00067,ok,593058.0,0.003354148007929325,
tsp50,two_opt,tsp50_00068,ok,655091.0,0.0024629803374409676,
tsp50,two_opt,tsp50_00069,ok,683023.0,0.0068086544051766396,
tsp50,two_opt,tsp50_00070,ok,624703.0,0.006794724613428116,
tsp50,two_opt,tsp50_00071,ok,589461.0,0.00674800481647253,
tsp50,two_opt,tsp50_00072,ok,593958.0,0.0074447207152843475,
tsp50,two_opt,tsp50_00073,ok,570759.0,0.006825135089457035,
tsp50,two_opt,tsp50_00074,ok,648838.0,0.0068496763706207275,
tsp50,two_opt,tsp50_00075,ok,631418.0,0.0090585146099329,
tsp50,two_opt,tsp50_00076,ok,790578.0,0.002424679696559906,
tsp50,two_opt,tsp50_00077,ok,652637.0,0.003168686293065548,
tsp50,two_opt,tsp50_00078,ok,654254.0,0.0032141758129000664,
tsp50,two_opt,tsp50_00079,ok,548249.0,0.003419307991862297,
tsp50,two_opt,tsp50_00080,ok,600721.0,0.003183395601809025,
tsp50,two_opt,tsp50_00081,ok,570429.0,0.0031426353380084038,
tsp50,two_opt,tsp50_00082,ok,719908.0,0.0033027473837137222,
tsp50,two_opt,tsp50_00083,ok,668940.0,0.0024406397715210915,
tsp50,two_opt,tsp50_00084,ok,729642.0,0.0024546394124627113,
tsp50,two_opt,tsp50_00085,ok,679622.0,0.005537365563213825,
tsp50,two_opt,tsp50_00086,ok,775369.0,0.004036783240735531,
tsp50,two_opt,tsp50_00087,ok,628840.0,0.0070919981226325035,
tsp50,two_opt,tsp50_00088,ok,632625.0,0.0031626662239432335,
tsp50,two_opt,tsp50_00089,ok,585291.0,0.006551522761583328,
tsp50,two_opt,tsp50_00090,ok,588633.0,0.0028389431536197662,
tsp50,two_opt,tsp50_00091,ok,601248.0,0.007050817832350731,
tsp50,two_opt,tsp50_00092,ok,748990.0,0.006982297636568546,
tsp50,two_opt,tsp50_00093,ok,578081.0,0.005723156966269016,
tsp50,two_opt,tsp50_00094,ok,684623.0,0.007010007277131081,
tsp50,two_opt,tsp50_00095,ok,630047.0,0.0026641208678483963,
tsp50,two_opt,tsp50_00096,ok,751262.0,0.006988028064370155,
tsp50,two_opt,tsp50_00097,ok,610661.0,0.0037780608981847763,
tsp50,two_opt,tsp50_00098,ok,614908.0,0.002371000126004219,
tsp50,two_opt,tsp50_00099,ok,820551.0,0.007170168682932854,
tsp50,two_opt,tsp50_00100,ok,596625.0,0.0070902081206440926,
tsp50,two_opt,tsp50_00101,ok,748273.0,0.0071808090433478355,
tsp50,two_opt,tsp50_00102,ok,652169.0,0.007071377709507942,
tsp50,two_opt,tsp50_00103,ok,589004.0,0.0029549039900302887,
tsp50,two_opt,tsp50_00104,ok,661561.0,0.0070549072697758675,
tsp50,two_opt,tsp50_00105,ok,631561.0,0.0025834012776613235,
tsp50,two_opt,tsp50_00106,ok,670380.0,0.0030796751379966736,
tsp50,two_opt,tsp50_00107,ok,647415.0,0.0046463580802083015,
tsp50,two_opt,tsp50_00108,ok,591567.0,0.0032913759350776672,
tsp50,two_opt,tsp50_00109,ok,623017.0,0.004654888063669205,
tsp50,two_opt,tsp50_00110,ok,578921.0,0.0030557243153452873,
tsp50,two_opt,tsp50_00111,ok,674870.0,0.0071274284273386,
tsp50,two_opt,tsp50_00112,ok,641556.0,0.007274060510098934,
tsp50,two_opt,tsp50_00113,ok,625892.0,0.0071361493319272995,
tsp50,two_opt,tsp50_00114,ok,621884.0,0.007055497728288174,
tsp50,two_opt,tsp50_00115,ok,647980.0,0.007146199233829975,
tsp50,two_opt,tsp50_00116,ok,763920.0,0.004982389509677887,
tsp50,two_opt,tsp50_00117,ok,693841.0,0.003254646435379982,
tsp50,two_opt,tsp50_00118,ok,630730.0,0.0055345045402646065,
tsp50,two_opt,tsp50_00119,ok,635952.0,0.005477055907249451,
tsp50,two_opt,tsp50_00120,ok,739018.0,0.0024909209460020065,
tsp50,two_opt,tsp50_00121,ok,630950.0,0.0069374870508909225,
tsp50,two_opt,tsp50_00122,ok,496653.0,0.0023606596514582634,
tsp50,two_opt,tsp50_00123,ok,830681.0,0.002734973095357418,
tsp50,two_opt,tsp50_00124,ok,665657.0,0.006953537464141846,
tsp50,two_opt,tsp50_00125,ok,677709.0,0.004454206675291061,
tsp50,two_opt,tsp50_00126,ok,638238.0,0.007109967991709709,
tsp50,two_opt,tsp50_00127,ok,710872.0,0.007057507522404194,
tsp50,two_opt,tsp50_00128,ok,711656.0,0.00467491801828146,
tsp50,two_opt,tsp50_00129,ok,647342.0,0.007015087641775608,
tsp50,two_opt,tsp50_00130,ok,660282.0,0.006956317462027073,
tsp50,two_opt,tsp50_00131,ok,659626.0,0.005410734564065933,
tsp50,two_opt,tsp50_00132,ok,598141.0,0.0030712243169546127,
tsp50,two_opt,tsp50_00133,ok,627302.0,0.006383753381669521,
tsp50,two_opt,tsp50_00134,ok,630484.0,0.004599917680025101,
tsp50,two_opt,tsp50_00135,ok,605467.0,0.006281561218202114,
tsp50,two_opt,tsp50_00136,ok,659988.0,0.007177678868174553,
tsp50,two_opt,tsp50_00137,ok,640532.0,0.0023556193336844444,
tsp50,two_opt,tsp50_00138,ok,555457.0,0.004636868834495544,
tsp50,two_opt,tsp50_00139,ok,628214.0,0.00308250542730093,
tsp50,two_opt,tsp50_00140,ok,777701.0,0.0047484589740633965,
tsp50,two_opt,tsp50_00141,ok,599410.0,0.0020992886275053024,
tsp50,two_opt,tsp50_00142,ok,553109.0,0.003597159869968891,
tsp50,two_opt,tsp50_00143,ok,659236.0,0.006044240668416023,
tsp50,two_opt,tsp50_00144,ok,639984.0,0.004629448056221008,
tsp50,two_opt,tsp50_00145,ok,624103.0,0.0026959720999002457,
tsp50,two_opt,tsp50_00146,ok,703286.0,0.0046922592446208,
tsp50,two_opt,tsp50_00147,ok,624151.0,0.004600537940859795,
tsp50,two_opt,tsp50_00148,ok,583648.0,0.003085436299443245,
tsp50,two_opt,tsp50_00149,ok,612125.0,0.0023708296939730644,
tsp50,two_opt,tsp50_00150,ok,619346.0,0.005812108516693115,
tsp50,two_opt,tsp50_00151,ok,600734.0,0.0030908752232789993,
tsp50,two_opt,tsp50_00152,ok,612271.0,0.004829949699342251,
tsp50,two_opt,tsp50_00153,ok,625509.0,0.002973334863781929,
tsp50,two_opt,tsp50_00154,ok,641718.0,0.0023600589483976364,
tsp50,two_opt,tsp50_00155,ok,683217.0,0.0023818789049983025,
tsp50,two_opt,tsp50_00156,ok,681610.0,0.0023827701807022095,
tsp50,two_opt,tsp50_00157,ok,588513.0,0.006961226463317871,
tsp50,two_opt,tsp50_00158,ok,618501.0,0.0032113268971443176,
tsp50,two_opt,tsp50_00159,ok,665980.0,0.0023957695811986923,
tsp50,two_opt,tsp50_00160,ok,560012.0,0.005065561272203922,
tsp50,two_opt,tsp50_00161,ok,587953.0,0.002355028875172138,
tsp50,two_opt,tsp50_00162,ok,653514.0,0.002062086947262287,
tsp50,two_opt,tsp50_00163,ok,595037.0,0.004633198492228985,
tsp50,two_opt,tsp50_00164,ok,945838.0,0.0033160075545310974,
tsp50,two_opt,tsp50_00165,ok,622602.0,0.004664038307964802,
tsp50,two_opt,tsp50_00166,ok,594977.0,0.0045211659744381905,
tsp50,two_opt,tsp50_00167,ok,601956.0,0.003128405660390854,
tsp50,two_opt,tsp50_00168,ok,749025.0,0.0024328595027327538,
tsp50,two_opt,tsp50_00169,ok,617454.0,0.0024485597386956215,
tsp50,two_opt,tsp50_00170,ok,615044.0,0.0058478666469454765,
tsp50,two_opt,tsp50_00171,ok,616122.0,0.00277075357735157,
tsp50,two_opt,tsp50_00172,ok,692063.0,0.0024240706115961075,
tsp50,two_opt,tsp50_00173,ok,544520.0,0.0025229603052139282,
tsp50,two_opt,tsp50_00174,ok,640427.0,0.002451249398291111,
tsp50,two_opt,tsp50_00175,ok,644928.0,0.0038953321054577827,
tsp50,two_opt,tsp50_00176,ok,705011.0,0.004040363244712353,
tsp50,two_opt,tsp50_00177,ok,698936.0,0.004674898460507393,
tsp50,two_opt,tsp50_00178,ok,586890.0,0.0023678187280893326,
tsp50,two_opt,tsp50_00179,ok,601196.0,0.0031459657475352287,
tsp50,two_opt,tsp50_00180,ok,565746.0,0.0029600635170936584,
tsp50,two_opt,tsp50_00181,ok,615571.0,0.005273423157632351,
tsp50,two_opt,tsp50_00182,ok,582441.0,0.004714207723736763,
tsp50,two_opt,tsp50_00183,ok,652186.0,0.0035523278638720512,
tsp50,two_opt,tsp50_00184,ok,551735.0,0.006309951655566692,
tsp50,two_opt,tsp50_00185,ok,712841.0,0.006355402059853077,
tsp50,two_opt,tsp50_00186,ok,591883.0,0.0023519890382885933,
tsp50,two_opt,tsp50_00187,ok,663405.0,0.003055555745959282,
tsp50,two_opt,tsp50_00188,ok,716270.0,0.003504267893731594,
tsp50,two_opt,tsp50_00189,ok,606109.0,0.0020499564707279205,
tsp50,two_opt,tsp50_00190,ok,641859.0,0.007217869162559509,
tsp50,two_opt,tsp50_00191,ok,978589.0,0.005531545728445053,
tsp50,two_opt,tsp50_00192,ok,682349.0,0.0021197786554694176,
tsp50,two_opt,tsp50_00193,ok,714429.0,0.006304352544248104,
tsp50,two_opt,tsp50_00194,ok,569719.0,0.006972846575081348,
tsp50,two_opt,tsp50_00195,ok,572241.0,0.0029891543090343475,
tsp50,two_opt,tsp50_00196,ok,573337.0,0.0024213390424847603,
tsp50,two_opt,tsp50_00197,ok,679668.0,0.0070067280903458595,
tsp50,two_opt,tsp50_00198,ok,698054.0,0.007118937559425831,
tsp50,two_opt,tsp50_00199,ok,690728.0,0.006197771057486534,
tsp50,two_opt,tsp50_00200,ok,706540.0,0.007042377255856991,
tsp50,two_opt,tsp50_00201,ok,700156.0,0.0071073975414037704,
tsp50,two_opt,tsp50_00202,ok,629254.0,0.00314999558031559,
tsp50,two_opt,tsp50_00203,ok,638343.0,0.003218117170035839,
tsp50,two_opt,tsp50_00204,ok,662965.0,0.0067582763731479645,
tsp50,two_opt,tsp50_00205,ok,588149.0,0.0036086589097976685,
tsp50,two_opt,tsp50_00206,ok,572051.0,0.007544111460447311,
tsp50,two_opt,tsp50_00207,ok,597167.0,0.004153174348175526,
tsp50,two_opt,tsp50_00208,ok,634930.0,0.007514412514865398,
tsp50,two_opt,tsp50_00209,ok,662111.0,0.0065110428258776665,
tsp50,two_opt,tsp50_00210,ok,646582.0,0.004067922942340374,
tsp50,two_opt,tsp50_00211,ok,587914.0,0.007419019937515259,
tsp50,two_opt,tsp50_00212,ok,637126.0,0.00466447789222002,
tsp50,two_opt,tsp50_00213,ok,681156.0,0.0031789354979991913,
tsp50,two_opt,tsp50_00214,ok,617028.0,0.0025278013199567795,
tsp50,two_opt,tsp50_00215,ok,621151.0,0.00440959632396698,
tsp50,two_opt,tsp50_00216,ok,618529.0,0.0031473366543650627,
tsp50,two_opt,tsp50_00217,ok,797772.0,0.0025702407583594322,
tsp50,two_opt,tsp50_00218,ok,608244.0,0.003284056670963764,
tsp50,two_opt,tsp50_00219,ok,592421.0,0.0024911900982260704,
tsp50,two_opt,tsp50_00220,ok,962114.0,0.0032511865720152855,
tsp50,two_opt,tsp50_00221,ok,585340.0,0.002508731558918953,
tsp50,two_opt,tsp50_00222,ok,610340.0,0.003184676170349121,
tsp50,two_opt,tsp50_00223,ok,630118.0,0.0031193550676107407,
tsp50,two_opt,tsp50_00224,ok,610667.0,0.002066747285425663,
tsp50,two_opt,tsp50_00225,ok,631636.0,0.006729475222527981,
tsp50,two_opt,tsp50_00226,ok,664348.0,0.00248664990067482,
tsp50,two_opt,tsp50_00227,ok,733157.0,0.005145872011780739,
