scenario,solver,instance_id,status,objective,elapsed_s,notes
tsp50,two_opt,tsp50_00000,ok,626001.0,0.0011585000029299408,
tsp50,two_opt,tsp50_00001,ok,624036.0,0.0011433999898144975,
tsp50,two_opt,tsp50_00002,ok,638175.0,0.0011855999910039827,
tsp50,ga,tsp50_00000,ok,626001.0,0.003630100007285364,
tsp50,ga,tsp50_00001,ok,624036.0,0.0017056999931810424,
tsp50,ga,tsp50_00002,ok,638175.0,0.0019678999960888177,
tsp50,pso,tsp50_00000,ok,626001.0,0.0019878000020980835,
tsp50,pso,tsp50_00001,ok,624036.0,0.0018758999940473586,
tsp50,pso,tsp50_00002,ok,638175.0,0.0018111000099452212,
cvrp50,two_opt,cvrp50_00000,ok,1169270.0,0.0012486000050557777,
cvrp50,two_opt,cvrp50_00001,ok,1162126.0,0.0008512999920640141,
cvrp50,two_opt,cvrp50_00002,ok,1074401.0,0.0007458000036422163,
cvrp50,ga,cvrp50_00000,ok,1437200.0,0.0015918999997666106,
cvrp50,ga,cvrp50_00001,ok,1371384.0,0.0014725000073667616,
cvrp50,ga,cvrp50_00002,ok,1259060.0,0.0014714999997522682,
cvrp50,pso,cvrp50_00000,ok,1437200.0,0.0013940999924670905,
cvrp50,pso,cvrp50_00001,ok,1371384.0,0.0012907999916933477,
cvrp50,pso,cvrp50_00002,ok,1259060.0,0.001851699998951517,
