epoch,lr-Adam,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,0.0001,0,,,,,,,,,,
0,,31,,,,,,,,,-93.82599639892578,-97.28912353515625
,,32,,,537.5011658668518,,,,,,,
,0.0001,32,,,,,,,,,,
,,49,,,,,7642.360687255859,,,,,
,,49,,,,24.35922622680664,,,,,,
1,,49,,,,,,0.6824784874916077,-95.375,-99.5,,
1,,63,,,,,,,,,-93.62100219726562,-96.99703979492188
,,64,,,519.3096113204956,,,,,,,
,0.0001,64,,,,,,,,,,
2,,95,,,,,,,,,-93.46800231933594,-96.87261962890625
,,96,,,450.3836154937744,,,,,,,
,0.0001,96,,,,,,,,,,
,,99,,,,,7483.377933502197,,,,,
,,99,,,,38.03110122680664,,,,,,
3,,99,,,,,,0.6834666132926941,-94.6875,-99.00521087646484,,
3,,127,,,,,,,,,-93.46700286865234,-96.79279327392578
,,128,,,459.8083665370941,,,,,,,
,0.0001,128,,,,,,,,,,
,,149,,,,,8193.342447280884,,,,,
,,149,,,,26.881694793701172,,,,,,
4,,149,,,,,,0.6868719458580017,-94.25,-98.53515625,,
4,,159,,,,,,,,,-93.47899627685547,-96.81866455078125
,,160,,,461.0396885871887,,,,,,,
,0.0001,160,,,,,,,,,,
5,,191,,,,,,,,,-93.69999694824219,-97.09379577636719
,,192,,,465.6074070930481,,,,,,,
,0.0001,192,,,,,,,,,,
,,199,,,,,7942.371606826782,,,,,
,,199,,,,39.337873458862305,,,,,,
6,,199,,,,,,0.679750919342041,-94.625,-98.484375,,
6,,223,,,,,,,,,-93.58699798583984,-96.94347381591797
,,224,,,458.32371711730957,,,,,,,
,0.0001,224,,,,,,,,,,
,,249,,,,,7943.59827041626,,,,,
,,249,,,,25.956392288208008,,,,,,
7,,249,,,,,,0.6871426105499268,-94.0625,-98.29817962646484,,
7,,255,,,,,,,,,-93.39800262451172,-96.70208740234375
,,256,,,485.0711123943329,,,,,,,
,0.0001,256,,,,,,,,,,
8,,287,,,,,,,,,-93.0739974975586,-96.41275024414062
,,288,,,456.73139667510986,,,,,,,
,0.0001,288,,,,,,,,,,
,,299,,,,,7537.355661392212,,,,,
,,299,,,,40.35663604736328,,,,,,
9,,299,,,,,,0.6827667355537415,-93.90625,-98.33984375,,
9,,319,,,,,,,,,-92.94599914550781,-96.3126449584961
,,320,,,559.5561511516571,,,,,,,
,0.0001,320,,,,,,,,,,
,,349,,,,,7897.622346878052,,,,,
,,349,,,,25.422334671020508,,,,,,
10,,349,,,,,,0.6852464079856873,-94.3125,-98.28515625,,
10,,351,,,,,,,,,-92.99099731445312,-96.35497283935547
,,352,,,462.253267288208,,,,,,,
,0.0001,352,,,,,,,,,,
11,,383,,,,,,,,,-93.01799774169922,-96.4295883178711
,,384,,,452.9000656604767,,,,,,,
,0.0001,384,,,,,,,,,,
,,399,,,,,7909.136533737183,,,,,
,,399,,,,39.79849815368652,,,,,,
12,,399,,,,,,0.6852418780326843,-93.75,-97.61067962646484,,
12,,415,,,,,,,,,-92.78800201416016,-96.1512451171875
,,416,,,460.46352672576904,,,,,,,
,0.0001,416,,,,,,,,,,
13,,447,,,,,,,,,-92.66999816894531,-96.01338195800781
,,448,,,460.6655366420746,,,,,,,
,0.0001,448,,,,,,,,,,
,,449,,,,,8099.243402481079,,,,,
,,449,,,,26.026010513305664,,,,,,
14,,449,,,,,,0.6880359649658203,-93.75,-97.79427337646484,,
14,,479,,,,,,,,,-92.83399963378906,-96.24333190917969
,,480,,,457.6863934993744,,,,,,,
,0.0001,480,,,,,,,,,,
,,499,,,,,7922.884941101074,,,,,
,,499,,,,42.58155822753906,,,,,,
15,,499,,,,,,0.6839433908462524,-94.25,-98.2578125,,
15,,511,,,,,,,,,-92.77799987792969,-96.20413208007812
,,512,,,472.92512941360474,,,,,,,
,0.0001,512,,,,,,,,,,
16,,543,,,,,,,,,-92.76300048828125,-96.1038818359375
,,544,,,503.6778943538666,,,,,,,
,0.0001,544,,,,,,,,,,
,,549,,,,,7576.361417770386,,,,,
,,549,,,,27.581214904785156,,,,,,
17,,549,,,,,,0.6849334239959717,-93.8125,-97.8671875,,
17,,575,,,,,,,,,-92.46099853515625,-95.88542175292969
,,576,,,444.99999713897705,,,,,,,
,0.0001,576,,,,,,,,,,
,,599,,,,,7775.401592254639,,,,,
,,599,,,,39.89291191101074,,,,,,
18,,599,,,,,,0.6888995170593262,-92.75,-96.9296875,,
18,,607,,,,,,,,,-92.6520004272461,-96.1451644897461
,,608,,,457.07957124710083,,,,,,,
,0.0001,608,,,,,,,,,,
19,,639,,,,,,,,,-92.52799987792969,-95.90503692626953
,,640,,,547.9729692935944,,,,,,,
,0.0001,640,,,,,,,,,,
,,649,,,,,8242.49005317688,,,,,
,,649,,,,26.195287704467773,,,,,,
20,,649,,,,,,0.6857709288597107,-93.375,-97.41276550292969,,
20,,671,,,,,,,,,-92.42900085449219,-95.7632064819336
