epoch,lr-Adam,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
,0.0001,0,,,,,,,,
,,9,,,7627.138376235962,,,,,
,,9,,29.93035316467285,,,,,,
0,,9,,,,-11.737768173217773,-98.59375,-103.17448425292969,,
,,19,,,7988.797903060913,,,,,
,,19,,37.581682205200195,,,,,,
0,,19,,,,-10.216605186462402,-96.3125,-100.45052337646484,,
,,29,,,7433.530330657959,,,,,
,,29,,29.694557189941406,,,,,,
0,,29,,,,-9.002939224243164,-94.625,-98.69921875,,
0,,31,,,,,,,-93.78399658203125,-97.21519470214844
,,32,510.2912595272064,,,,,,,
