epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
0,19,,,,,,,-53.53200149536133,-57.09971618652344
,20,210.63107109069824,,,,,,,
1,39,,,,,,,-53.137001037597656,-56.55741500854492
,40,178.467848777771,,,,,,,
,49,,,5126.596927642822,,,,,
,49,,14.491081237792969,,,,,,
2,49,,,,0.6889578104019165,-52.73999786376953,-56.90833282470703,,
2,59,,,,,,,-53.02000045776367,-56.40737533569336
,60,182.21624422073364,,,,,,,
3,79,,,,,,,-53.047000885009766,-56.407623291015625
,80,181.09807777404785,,,,,,,
,99,,,5094.894647598267,,,,,
,99,,28.20420265197754,,,,,,
4,99,,,,0.6899014711380005,-53.87999725341797,-57.82250213623047,,
4,99,,,,,,,-53.0099983215332,-56.42454147338867
,100,183.86725878715515,,,,,,,
5,119,,,,,,,-53.027000427246094,-56.37125015258789
,120,242.06611466407776,,,,,,,
6,139,,,,,,,-53.020999908447266,-56.351165771484375
,140,250.2013816833496,,,,,,,
,149,,,5062.54506111145,,,,,
,149,,12.821674346923828,,,,,,
7,149,,,,0.6900174617767334,-53.29999923706055,-57.301666259765625,,
7,159,,,,,,,-52.91299819946289,-56.19820785522461
,160,182.6224889755249,,,,,,,
8,179,,,,,,,-53.042999267578125,-56.384620666503906
,180,182.72326922416687,,,,,,,
,199,,,5130.567789077759,,,,,
,199,,27.06289291381836,,,,,,
9,199,,,,0.68939208984375,-52.84000015258789,-56.64833450317383,,
9,199,,,,,,,-52.89400100708008,-56.2703742980957
,200,187.7140989303589,,,,,,,
10,219,,,,,,,-52.92499923706055,-56.24083709716797
,220,188.2965157032013,,,,,,,
11,239,,,,,,,-52.801998138427734,-56.12725067138672
,240,183.10298943519592,,,,,,,
,249,,,4851.785659790039,,,,,
,249,,11.823415756225586,,,,,,
12,249,,,,0.6909415125846863,-52.68000030517578,-56.624168395996094,,
12,259,,,,,,,-52.64099884033203,-56.048744201660156
,260,184.0199019908905,,,,,,,
13,279,,,,,,,-52.900001525878906,-56.211666107177734
,280,183.55391025543213,,,,,,,
,299,,,5471.514701843262,,,,,
,299,,28.040647506713867,,,,,,
14,299,,,,0.689297616481781,-52.65999984741211,-56.35750198364258,,
14,299,,,,,,,-52.7400016784668,-55.998085021972656
,300,187.44837307929993,,,,,,,
15,319,,,,,,,-52.744998931884766,-55.972206115722656
,320,187.37020611763,,,,,,,
16,339,,,,,,,-52.617000579833984,-55.93454360961914
,340,186.61729764938354,,,,,,,
,349,,,5006.69264793396,,,,,
,349,,12.135982513427734,,,,,,
17,349,,,,0.6890929937362671,-52.34000015258789,-56.423336029052734,,
17,359,,,,,,,-52.59199905395508,-55.85457992553711
,360,189.0369737148285,,,,,,,
18,379,,,,,,,-52.597999572753906,-55.816837310791016
,380,190.01922392845154,,,,,,,
,399,,,5205.15775680542,,,,,
,399,,27.65965461730957,,,,,,
19,399,,,,0.6902191042900085,-52.52000045776367,-56.3125,,
19,399,,,,,,,-52.6510009765625,-55.93650436401367
,400,190.4151701927185,,,,,,,
20,419,,,,,,,-52.54999923706055,-55.80891418457031
,420,190.73939871788025,,,,,,,
21,439,,,,,,,-52.5260009765625,-55.76008224487305
,440,188.85816168785095,,,,,,,
