epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward,val/max_reward,val/reward
0,19,,,,,,,,,-54.332000732421875,-58.238624572753906
,20,215.2370846271515,,,,,,,,,
1,39,,,,,,,,,-53.698001861572266,-57.32736587524414
,40,212.5192677974701,,,,,,,,,
,49,,,5520.665168762207,,,,,,,
,49,,15.677213668823242,,,,,,,,
2,49,,,,0.676934003829956,250.0,0.676934003829956,-53.459999084472656,-57.586669921875,,
2,59,,,,,,,,,-53.68299865722656,-57.43236541748047
,60,207.7493176460266,,,,,,,,,
3,79,,,,,,,,,-53.439998626708984,-56.939247131347656
,80,211.27908277511597,,,,,,,,,
,99,,,5640.5651569366455,,,,,,,
,99,,34.89184379577637,,,,,,,,
4,99,,,,0.6936307549476624,250.0,0.6936307549476624,-54.18000030517578,-58.048336029052734,,
4,99,,,,,,,,,-53.11199951171875,-56.64408493041992
,100,210.3015034198761,,,,,,,,,
5,119,,,,,,,,,-53.361000061035156,-56.88679504394531
,120,213.26469683647156,,,,,,,,,
6,139,,,,,,,,,-53.49700164794922,-57.08700180053711
,140,212.5538547039032,,,,,,,,,
,149,,,5872.465133666992,,,,,,,
,149,,25.41804313659668,,,,,,,,
7,149,,,,0.6865290403366089,250.0,0.6865290403366089,-53.71999740600586,-57.921669006347656,,
7,159,,,,,,,,,-53.42100143432617,-57.08182907104492
,160,220.43501496315002,,,,,,,,,
8,179,,,,,,,,,-53.12799835205078,-56.613792419433594
,180,221.5473611354828,,,,,,,,,
,199,,,5577.29959487915,,,,,,,
,199,,35.81953048706055,,,,,,,,
9,199,,,,0.6808435320854187,250.0,0.6808435320854187,-53.15999984741211,-57.33250045776367,,
9,199,,,,,,,,,-53.1349983215332,-56.693458557128906
,200,209.75023698806763,,,,,,,,,
10,219,,,,,,,,,-53.332000732421875,-56.97854232788086
,220,229.7387011051178,,,,,,,,,
11,239,,,,,,,,,-53.21500015258789,-56.81874465942383
,240,233.83834791183472,,,,,,,,,
,249,,,5902.597188949585,,,,,,,
,249,,16.878128051757812,,,,,,,,
12,249,,,,0.6861497163772583,250.0,0.6861497163772583,-53.21999740600586,-57.38750076293945,,
12,259,,,,,,,,,-53.10300064086914,-56.61216735839844
,260,227.134592294693,,,,,,,,,
13,279,,,,,,,,,-53.143001556396484,-56.63725280761719
,280,209.59351181983948,,,,,,,,,
,299,,,5609.695196151733,,,,,,,
,299,,37.23454475402832,,,,,,,,
14,299,,,,0.6831383109092712,250.0,0.6831383109092712,-53.19999694824219,-57.200836181640625,,
14,299,,,,,,,,,-52.98699951171875,-56.47996139526367
,300,210.0553638935089,,,,,,,,,
15,319,,,,,,,,,-53.10499954223633,-56.615997314453125
,320,220.14211750030518,,,,,,,,,
16,339,,,,,,,,,-53.172000885009766,-56.6452522277832
,340,223.64437460899353,,,,,,,,,
,349,,,5618.938684463501,,,,,,,
,349,,15.452384948730469,,,,,,,,
17,349,,,,0.6895200610160828,250.0,0.6895200610160828,-53.55999755859375,-57.60499954223633,,
17,359,,,,,,,,,-52.999000549316406,-56.464134216308594
,360,209.60780692100525,,,,,,,,,
18,379,,,,,,,,,-53.11800003051758,-56.73058319091797
,380,214.65930819511414,,,,,,,,,
,399,,,5973.657608032227,,,,,,,
,399,,61.10525131225586,,,,,,,,
19,399,,,,0.6828834414482117,250.0,0.6828834414482117,-53.0,-57.57250213623047,,
19,399,,,,,,,,,-53.34600067138672,-57.11354064941406
,400,240.22286295890808,,,,,,,,,
20,419,,,,,,,,,-53.040000915527344,-56.67903518676758
,420,226.32628059387207,,,,,,,,,
21,439,,,,,,,,,-53.28799819946289,-56.909122467041016
,440,222.15707802772522,,,,,,,,,
,449,,,6464.0045166015625,,,,,,,
,449,,17.705917358398438,,,,,,,,
22,449,,,,0.684281587600708,250.0,0.684281587600708,-53.03999710083008,-57.35166931152344,,
22,459,,,,,,,,,-52.95800018310547,-56.438079833984375
,460,216.47802424430847,,,,,,,,,
23,479,,,,,,,,,-52.95000076293945,-56.37358474731445
,480,213.98089361190796,,,,,,,,,
,499,,,5643.48292350769,,,,,,,
,499,,34.36636924743652,,,,,,,,
24,499,,,,0.6878064274787903,250.0,0.6878064274787903,-52.779998779296875,-57.128334045410156,,
24,499,,,,,,,,,-52.821998596191406,-56.36308288574219
,500,212.16654920578003,,,,,,,,,
25,519,,,,,,,,,-52.84199905395508,-56.25204086303711
,520,207.45650458335876,,,,,,,,,
26,539,,,,,,,,,-52.93199920654297,-56.37117004394531
,540,214.6911964416504,,,,,,,,,
,549,,,6040.878534317017,,,,,,,
,549,,16.484498977661133,,,,,,,,
27,549,,,,0.6844026446342468,250.0,0.6844026446342468,-53.23999786376953,-57.32500076293945,,
27,559,,,,,,,,,-52.85200119018555,-56.26220703125
,560,205.77526140213013,,,,,,,,,
28,579,,,,,,,,,-53.20899963378906,-56.787418365478516
,580,227.89146733283997,,,,,,,,,
,599,,,5751.016139984131,,,,,,,
,599,,35.0041389465332,,,,,,,,
29,599,,,,0.6850438714027405,250.0,0.6850438714027405,-53.57999801635742,-57.89500045776367,,
29,599,,,,,,,,,-53.11399841308594,-56.595001220703125
,600,210.6284806728363,,,,,,,,,
30,619,,,,,,,,,-53.06999969482422,-56.645503997802734
,620,213.58978700637817,,,,,,,,,
