epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/bopo_loss,train/bopo_pair_count,train/loss,train/max_reward,train/reward,val/max_reward,val/reward
0,19,,,,,,,,,,,-54.332000732421875,-58.238624572753906
,20,,,203.8820013999939,,,,,,,,,
1,39,,,,,,,,,,,-53.698001861572266,-57.32736587524414
,40,,,191.3852469921112,,,,,,,,,
,49,,,,,5302.726745605469,,,,,,,
,49,,,,19.777774810791016,,,,,,,,
2,49,,,,,,0.676934003829956,250.0,0.676934003829956,-53.459999084472656,-57.586669921875,,
2,59,,,,,,,,,,,-53.68299865722656,-57.43236541748047
,60,,,196.77420043945312,,,,,,,,,
3,79,,,,,,,,,,,-53.439998626708984,-56.939247131347656
,80,,,198.95835375785828,,,,,,,,,
,99,,,,,5458.847761154175,,,,,,,
,99,,,,35.11762619018555,,,,,,,,
4,99,,,,,,0.6936307549476624,250.0,0.6936307549476624,-54.18000030517578,-58.048336029052734,,
4,99,,,,,,,,,,,-53.11199951171875,-56.64408493041992
,100,,,194.85312342643738,,,,,,,,,
5,119,,,,,,,,,,,-53.361000061035156,-56.88679504394531
,120,,,195.09324502944946,,,,,,,,,
6,139,,,,,,,,,,,-53.49700164794922,-57.08700180053711
,140,,,201.08354663848877,,,,,,,,,
,149,,,,,5776.560068130493,,,,,,,
,149,,,,16.82281494140625,,,,,,,,
7,149,,,,,,0.6865290403366089,250.0,0.6865290403366089,-53.71999740600586,-57.921669006347656,,
7,159,,,,,,,,,,,-53.42100143432617,-57.08182907104492
,160,,,209.51911067962646,,,,,,,,,
8,179,,,,,,,,,,,-53.12799835205078,-56.613792419433594
,180,,,201.79691076278687,,,,,,,,,
,199,,,,,5289.026975631714,,,,,,,
,199,,,,34.65604782104492,,,,,,,,
9,199,,,,,,0.6808435320854187,250.0,0.6808435320854187,-53.15999984741211,-57.33250045776367,,
9,199,,,,,,,,,,,-53.1349983215332,-56.693458557128906
,200,,,202.58579325675964,,,,,,,,,
10,219,,,,,,,,,,,-53.332000732421875,-56.97854232788086
,220,,,204.85912108421326,,,,,,,,,
11,239,,,,,,,,,,,-53.21500015258789,-56.81874465942383
,240,,,208.70286440849304,,,,,,,,,
,249,,,,,5622.870206832886,,,,,,,
,249,,,,16.37434959411621,,,,,,,,
12,249,,,,,,0.6861497163772583,250.0,0.6861497163772583,-53.21999740600586,-57.38750076293945,,
12,259,,,,,,,,,,,-53.10300064086914,-56.61216735839844
,260,,,196.43691515922546,,,,,,,,,
13,279,,,,,,,,,,,-53.143001556396484,-56.63725280761719
,280,,,195.53146386146545,,,,,,,,,
,299,,,,,5375.229597091675,,,,,,,
,299,,,,33.797264099121094,,,,,,,,
14,299,,,,,,0.6831383109092712,250.0,0.6831383109092712,-53.19999694824219,-57.200836181640625,,
14,299,,,,,,,,,,,-52.98699951171875,-56.47996139526367
,300,,,198.19613695144653,,,,,,,,,
15,319,,,,,,,,,,,-53.10499954223633,-56.615997314453125
,320,,,201.37164998054504,,,,,,,,,
16,339,,,,,,,,,,,-53.172000885009766,-56.6452522277832
,340,,,198.8797104358673,,,,,,,,,
,349,,,,,5451.7199993133545,,,,,,,
,349,,,,16.193151473999023,,,,,,,,
17,349,,,,,,0.6895200610160828,250.0,0.6895200610160828,-53.55999755859375,-57.60499954223633,,
17,359,,,,,,,,,,,-52.999000549316406,-56.464134216308594
,360,,,195.75511527061462,,,,,,,,,
18,379,,,,,,,,,,,-53.11800003051758,-56.73058319091797
,380,,,205.17493629455566,,,,,,,,,
,399,,,,,5828.880310058594,,,,,,,
,399,,,,36.56005859375,,,,,,,,
19,399,,,,,,0.6828834414482117,250.0,0.6828834414482117,-53.0,-57.57250213623047,,
19,399,,,,,,,,,,,-53.34600067138672,-57.11354064941406
,400,,,212.34959387779236,,,,,,,,,
20,419,,,,,,,,,,,-53.040000915527344,-56.67903518676758
,420,,,209.4432327747345,,,,,,,,,
21,439,,,,,,,,,,,-53.28799819946289,-56.909122467041016
,440,,,208.0786588191986,,,,,,,,,
,449,,,,,6085.1569175720215,,,,,,,
,449,,,,17.367839813232422,,,,,,,,
22,449,,,,,,0.684281587600708,250.0,0.684281587600708,-53.03999710083008,-57.35166931152344,,
22,459,,,,,,,,,,,-52.95800018310547,-56.438079833984375
,460,,,203.48302483558655,,,,,,,,,
23,479,,,,,,,,,,,-52.95000076293945,-56.37358474731445
,480,,,198.8234715461731,,,,,,,,,
,499,,,,,5578.984260559082,,,,,,,
,499,,,,35.31813621520996,,,,,,,,
24,499,,,,,,0.6878064274787903,250.0,0.6878064274787903,-52.779998779296875,-57.128334045410156,,
