epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/po_loss,train/po_pref_rate,train/reward,val/max_reward,val/reward
0,19,,,,,,,,,-53.415000915527344,-56.95528793334961
,20,214.85018396377563,,,,,,,,,
1,39,,,,,,,,,-53.08700180053711,-56.634376525878906
,40,194.87337398529053,,,,,,,,,
,49,,,5377.126932144165,,,,,,,
,49,,15.231132507324219,,,,,,,,
2,49,,,,-1.2013226747512817,-53.13999938964844,-1.2013226747512817,0.42125001549720764,-57.020835876464844,,
2,59,,,,,,,,,-53.047000885009766,-56.5369987487793
,60,192.0928406715393,,,,,,,,,
3,79,,,,,,,,,-53.077999114990234,-56.480533599853516
,80,196.44089484214783,,,,,,,,,
,99,,,5635.681390762329,,,,,,,
,99,,34.75642204284668,,,,,,,,
4,99,,,,-1.2308220863342285,-54.18000030517578,-1.2308220863342285,0.42027777433395386,-58.040000915527344,,
4,99,,,,,,,,,-53.104000091552734,-56.502716064453125
,100,196.1437122821808,,,,,,,,,
5,119,,,,,,,,,-53.0260009765625,-56.4387092590332
,120,193.4317193031311,,,,,,,,,
6,139,,,,,,,,,-52.893001556396484,-56.2493782043457
,140,191.66960263252258,,,,,,,,,
,149,,,5112.229824066162,,,,,,,
,149,,15.022039413452148,,,,,,,,
7,149,,,,-0.7685747742652893,-53.13999938964844,-0.7685747742652893,0.4240625202655792,-57.249168395996094,,
7,159,,,,,,,,,-52.85900115966797,-56.224666595458984
,160,194.1182165145874,,,,,,,,,
8,179,,,,,,,,,-52.933998107910156,-56.29250717163086
,180,191.33457398414612,,,,,,,,,
,199,,,5241.33038520813,,,,,,,
,199,,34.25288200378418,,,,,,,,
9,199,,,,-1.1021353006362915,-52.55999755859375,-1.1021353006362915,0.42166668176651,-56.62750244140625,,
9,199,,,,,,,,,-52.85900115966797,-56.209373474121094
,200,195.00754761695862,,,,,,,,,
10,219,,,,,,,,,-52.904998779296875,-56.223915100097656
,220,193.8155632019043,,,,,,,,,
11,239,,,,,,,,,-52.9379997253418,-56.29574203491211
,240,195.14382243156433,,,,,,,,,
,249,,,5383.63790512085,,,,,,,
,249,,17.17519760131836,,,,,,,,
12,249,,,,-0.9627470374107361,-52.53999710083008,-0.9627470374107361,0.41979166865348816,-56.461669921875,,
12,259,,,,,,,,,-52.70800018310547,-56.07912826538086
,260,193.71299505233765,,,,,,,,,
13,279,,,,,,,,,-52.78200149536133,-56.19237518310547
,280,198.70513772964478,,,,,,,,,
,299,,,5881.174325942993,,,,,,,
,299,,66.83921813964844,,,,,,,,
14,299,,,,-0.9961878657341003,-52.619998931884766,-0.9961878657341003,0.4184722304344177,-56.53166961669922,,
14,299,,,,,,,,,-52.683998107910156,-56.055877685546875
,300,199.65411496162415,,,,,,,,,
15,319,,,,,,,,,-52.63600158691406,-56.03958511352539
,320,197.6518087387085,,,,,,,,,
16,339,,,,,,,,,-52.516998291015625,-55.87995910644531
,340,196.60794734954834,,,,,,,,,
,349,,,5412.7197265625,,,,,,,
,349,,13.962745666503906,,,,,,,,
17,349,,,,-0.5112831592559814,-52.5,-0.5112831592559814,0.4230555593967438,-56.45333480834961,,
17,359,,,,,,,,,-52.680999755859375,-56.023834228515625
,360,200.3143298625946,,,,,,,,,
18,379,,,,,,,,,-52.64699935913086,-55.9995002746582
,380,196.62308859825134,,,,,,,,,
,399,,,5466.432809829712,,,,,,,
,399,,33.69760513305664,,,,,,,,
19,399,,,,-1.0638600587844849,-52.439998626708984,-1.0638600587844849,0.41996529698371887,-56.44750213623047,,
19,399,,,,,,,,,-52.66699981689453,-55.99254608154297
,400,197.19672298431396,,,,,,,,,
20,419,,,,,,,,,-52.654998779296875,-55.91566848754883
,420,198.26485919952393,,,,,,,,,
21,439,,,,,,,,,-52.42300033569336,-55.74125289916992
,440,199.71417474746704,,,,,,,,,
,449,,,5604.6082973480225,,,,,,,
,449,,17.903566360473633,,,,,,,,
22,449,,,,-0.9214859008789062,-52.15999984741211,-0.9214859008789062,0.42190971970558167,-56.176666259765625,,
22,459,,,,,,,,,-52.50899887084961,-55.7990837097168
,460,200.20365929603577,,,,,,,,,
23,479,,,,,,,,,-52.57699966430664,-55.90774917602539
,480,197.0113205909729,,,,,,,,,
,499,,,5135.094165802002,,,,,,,
,499,,32.71675109863281,,,,,,,,
24,499,,,,-0.687933087348938,-52.13999938964844,-0.687933087348938,0.4226388931274414,-56.36750030517578,,
