epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/po_loss,train/po_pref_rate,train/reward,val/max_reward,val/reward
0,19,,,,,,,,,,,-53.415000915527344,-56.95528793334961
,20,,,209.57526969909668,,,,,,,,,
1,39,,,,,,,,,,,-53.08700180053711,-56.634376525878906
,40,,,209.61621403694153,,,,,,,,,
,49,,,,,5390.583515167236,,,,,,,
,49,,,,14.937877655029297,,,,,,,,
2,49,,,,,,-1.2013226747512817,-53.13999938964844,-1.2013226747512817,0.42125001549720764,-57.020835876464844,,
2,59,,,,,,,,,,,-53.047000885009766,-56.5369987487793
,60,,,190.8054003715515,,,,,,,,,
3,79,,,,,,,,,,,-53.077999114990234,-56.480533599853516
,80,,,196.23939490318298,,,,,,,,,
,99,,,,,5408.780574798584,,,,,,,
,99,,,,33.84852409362793,,,,,,,,
4,99,,,,,,-1.2308220863342285,-54.18000030517578,-1.2308220863342285,0.42027777433395386,-58.040000915527344,,
4,99,,,,,,,,,,,-53.104000091552734,-56.502716064453125
,100,,,194.9886178970337,,,,,,,,,
5,119,,,,,,,,,,,-53.0260009765625,-56.4387092590332
,120,,,254.3145182132721,,,,,,,,,
6,139,,,,,,,,,,,-52.893001556396484,-56.2493782043457
,140,,,255.96356964111328,,,,,,,,,
,149,,,,,6686.387062072754,,,,,,,
,149,,,,14.121770858764648,,,,,,,,
7,149,,,,,,-0.7685747742652893,-53.13999938964844,-0.7685747742652893,0.4240625202655792,-57.249168395996094,,
7,159,,,,,,,,,,,-52.85900115966797,-56.224666595458984
,160,,,213.78509259223938,,,,,,,,,
8,179,,,,,,,,,,,-52.933998107910156,-56.29250717163086
,180,,,192.36338353157043,,,,,,,,,
,199,,,,,5217.327833175659,,,,,,,
,199,,,,33.432960510253906,,,,,,,,
9,199,,,,,,-1.1021353006362915,-52.55999755859375,-1.1021353006362915,0.42166668176651,-56.62750244140625,,
9,199,,,,,,,,,,,-52.85900115966797,-56.209373474121094
,200,,,195.34609842300415,,,,,,,,,
10,219,,,,,,,,,,,-52.904998779296875,-56.223915100097656
,220,,,194.4086365699768,,,,,,,,,
11,239,,,,,,,,,,,-52.9379997253418,-56.29574203491211
,240,,,196.34065747261047,,,,,,,,,
,249,,,,,5369.908094406128,,,,,,,
,249,,,,14.766454696655273,,,,,,,,
12,249,,,,,,-0.9627470374107361,-52.53999710083008,-0.9627470374107361,0.41979166865348816,-56.461669921875,,
12,259,,,,,,,,,,,-52.70800018310547,-56.07912826538086
,260,,,196.39165139198303,,,,,,,,,
13,279,,,,,,,,,,,-52.78200149536133,-56.19237518310547
,280,,,202.48366022109985,,,,,,,,,
,299,,,,,5984.985828399658,,,,,,,
,299,,,,34.967899322509766,,,,,,,,
14,299,,,,,,-0.9961878657341003,-52.619998931884766,-0.9961878657341003,0.4184722304344177,-56.53166961669922,,
14,299,,,,,,,,,,,-52.683998107910156,-56.055877685546875
,300,,,201.7644863128662,,,,,,,,,
15,319,,,,,,,,,,,-52.63600158691406,-56.03958511352539
,320,,,259.94407081604004,,,,,,,,,
16,339,,,,,,,,,,,-52.516998291015625,-55.87995910644531
,340,,,198.08601808547974,,,,,,,,,
,349,,,,,5315.592050552368,,,,,,,
,349,,,,14.596223831176758,,,,,,,,
17,349,,,,,,-0.5112831592559814,-52.5,-0.5112831592559814,0.4230555593967438,-56.45333480834961,,
17,359,,,,,,,,,,,-52.680999755859375,-56.023834228515625
,360,,,199.40444707870483,,,,,,,,,
18,379,,,,,,,,,,,-52.64699935913086,-55.9995002746582
,380,,,196.18007469177246,,,,,,,,,
,399,,,,,5547.813177108765,,,,,,,
,399,,,,34.2710018157959,,,,,,,,
19,399,,,,,,-1.0638600587844849,-52.439998626708984,-1.0638600587844849,0.41996529698371887,-56.44750213623047,,
19,399,,,,,,,,,,,-52.66699981689453,-55.99254608154297
,400,,,200.72440028190613,,,,,,,,,
20,419,,,,,,,,,,,-52.654998779296875,-55.91566848754883
,420,,,260.98682951927185,,,,,,,,,
21,439,,,,,,,,,,,-52.42300033569336,-55.74125289916992
,440,,,196.47949194908142,,,,,,,,,
,449,,,,,5625.262260437012,,,,,,,
,449,,,,14.621496200561523,,,,,,,,
22,449,,,,,,-0.9214859008789062,-52.15999984741211,-0.9214859008789062,0.42190971970558167,-56.176666259765625,,
22,459,,,,,,,,,,,-52.50899887084961,-55.7990837097168
,460,,,201.0291349887848,,,,,,,,,
23,479,,,,,,,,,,,-52.57699966430664,-55.90774917602539
,480,,,199.09289598464966,,,,,,,,,
,499,,,,,5303.199291229248,,,,,,,
,499,,,,37.52851486206055,,,,,,,,
24,499,,,,,,-0.687933087348938,-52.13999938964844,-0.687933087348938,0.4226388931274414,-56.36750030517578,,
24,499,,,,,,,,,,,-52.4370002746582,-55.77149963378906
,500,,,203.36186265945435,,,,,,,,,
25,519,,,,,,,,,,,-52.417999267578125,-55.672874450683594
,520,,,200.20249700546265,,,,,,,,,
26,539,,,,,,,,,,,-52.25199890136719,-55.5759162902832
,540,,,194.96487474441528,,,,,,,,,
,549,,,,,5455.010890960693,,,,,,,
,549,,,,13.329267501831055,,,,,,,,
27,549,,,,,,-0.8053606748580933,-52.0,-0.8053606748580933,0.4221875071525574,-56.060001373291016,,
27,559,,,,,,,,,,,-52.38100051879883,-55.62029266357422
,560,,,192.6536693572998,,,,,,,,,
28,579,,,,,,,,,,,-52.2760009765625,-55.59892272949219
,580,,,230.80047392845154,,,,,,,,,
,599,,,,,5421.109676361084,,,,,,,
,599,,,,32.48715400695801,,,,,,,,
29,599,,,,,,-0.6551092863082886,-52.41999816894531,-0.6551092863082886,0.4194791913032532,-56.484169006347656,,
