epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
0,19,,,,,,,-94.68399810791016,-98.15755462646484
,20,388.27972888946533,,,,,,,
1,39,,,,,,,-93.63999938964844,-97.088623046875
,40,340.7917740345001,,,,,,,
,49,,,8466.971158981323,,,,,
,49,,44.25549507141113,,,,,,
2,49,,,,-6.413980484008789,-95.05999755859375,-99.06500244140625,,
2,59,,,,,,,-93.35700225830078,-96.6705551147461
,60,315.8826251029968,,,,,,,
3,79,,,,,,,-93.39199829101562,-96.75154876708984
,80,324.5056414604187,,,,,,,
,99,,,8300.04358291626,,,,,
,99,,40.3141975402832,,,,,,
4,99,,,,-8.260008811950684,-94.6199951171875,-98.48916625976562,,
4,99,,,,,,,-93.35700225830078,-96.6880111694336
,100,314.58652114868164,,,,,,,
5,119,,,,,,,-93.25499725341797,-96.5535888671875
,120,323.2867679595947,,,,,,,
6,139,,,,,,,-93.30699920654297,-96.56793212890625
,140,363.34719157218933,,,,,,,
,149,,,7903.24854850769,,,,,
,149,,26.928186416625977,,,,,,
7,149,,,,-5.449490547180176,-94.05999755859375,-98.16083526611328,,
7,159,,,,,,,-93.29299926757812,-96.59746551513672
,160,313.5246639251709,,,,,,,
8,179,,,,,,,-93.21700286865234,-96.52871704101562
,180,328.4872863292694,,,,,,,
,199,,,8355.714797973633,,,,,
,199,,39.86167907714844,,,,,,
9,199,,,,-6.002768516540527,-94.83999633789062,-98.82749938964844,,
9,199,,,,,,,-93.43000030517578,-96.63812255859375
,200,369.5706512928009,,,,,,,
10,219,,,,,,,-93.11100006103516,-96.37579345703125
,220,371.7525067329407,,,,,,,
11,239,,,,,,,-92.94499969482422,-96.1531753540039
,240,328.5980522632599,,,,,,,
,249,,,11071.629047393799,,,,,
,249,,33.99085998535156,,,,,,
12,249,,,,-5.955750942230225,-93.77999877929688,-97.59000396728516,,
12,259,,,,,,,-93.197998046875,-96.57258605957031
,260,349.44132113456726,,,,,,,
13,279,,,,,,,-93.0250015258789,-96.30921173095703
,280,330.7570798397064,,,,,,,
,299,,,8744.580507278442,,,,,
,299,,42.606353759765625,,,,,,
14,299,,,,-4.3960957527160645,-93.55999755859375,-97.62750244140625,,
14,299,,,,,,,-92.99600219726562,-96.36483001708984
,300,322.4654858112335,,,,,,,
15,319,,,,,,,-92.85099792480469,-96.12032318115234
,320,324.6883156299591,,,,,,,
16,339,,,,,,,-92.65399932861328,-95.95550537109375
,340,338.1919193267822,,,,,,,
,349,,,7962.815999984741,,,,,
,349,,48.67124557495117,,,,,,
17,349,,,,-4.0499372482299805,-93.29999542236328,-97.1875,,
17,359,,,,,,,-92.81900024414062,-96.0512466430664
,360,351.1077604293823,,,,,,,
18,379,,,,,,,-92.4729995727539,-95.82361602783203
