epoch,step,test/max_reward,test/reward,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/max_reward,train/reward,val/max_reward,val/reward
0,19,,,,,,,,,-54.069000244140625,-57.74125671386719
,20,,,201.06543636322021,,,,,,,
1,39,,,,,,,,,-53.28200149536133,-56.804832458496094
,40,,,171.63311004638672,,,,,,,
,49,,,,,4834.437370300293,,,,,
,49,,,,14.598608016967773,,,,,,
2,49,,,,,,-2.9634013175964355,-52.63999938964844,-56.80833435058594,,
2,59,,,,,,,,,-53.0,-56.43241882324219
,60,,,174.3735330104828,,,,,,,
3,79,,,,,,,,,-53.12900161743164,-56.5047492980957
,80,,,174.16941809654236,,,,,,,
,99,,,,,5174.442291259766,,,,,
,99,,,,28.243541717529297,,,,,,
4,99,,,,,,-3.827786445617676,-53.69999694824219,-57.735836029052734,,
4,99,,,,,,,,,-53.14799880981445,-56.48179626464844
,100,,,176.32037329673767,,,,,,,
5,119,,,,,,,,,-52.933998107910156,-56.272621154785156
,120,,,242.08954215049744,,,,,,,
6,139,,,,,,,,,-52.992000579833984,-56.38154220581055
,140,,,236.40898823738098,,,,,,,
,149,,,,,6137.734651565552,,,,,
,149,,,,14.787435531616211,,,,,,
7,149,,,,,,-4.178469181060791,-53.31999969482422,-57.29166793823242,,
7,159,,,,,,,,,-52.94300079345703,-56.26292419433594
,160,,,215.1770737171173,,,,,,,
8,179,,,,,,,,,-52.832000732421875,-56.18595886230469
,180,,,182.38802242279053,,,,,,,
,199,,,,,5095.880508422852,,,,,
,199,,,,28.841495513916016,,,,,,
9,199,,,,,,-2.8175392150878906,-53.02000045776367,-56.837501525878906,,
9,199,,,,,,,,,-52.99700164794922,-56.35871124267578
,200,,,181.74131774902344,,,,,,,
10,219,,,,,,,,,-52.78799819946289,-56.1007080078125
,220,,,183.72126054763794,,,,,,,
11,239,,,,,,,,,-52.72999954223633,-56.01658630371094
,240,,,182.54139971733093,,,,,,,
,249,,,,,4816.3018226623535,,,,,
,249,,,,14.937400817871094,,,,,,
12,249,,,,,,-2.417950391769409,-52.86000061035156,-56.790000915527344,,
12,259,,,,,,,,,-52.720001220703125,-56.053871154785156
,260,,,184.08583188056946,,,,,,,
13,279,,,,,,,,,-52.76900100708008,-56.112831115722656
,280,,,185.74983978271484,,,,,,,
,299,,,,,6636.810302734375,,,,,
,299,,,,27.794599533081055,,,,,,
14,299,,,,,,-2.5508012771606445,-52.599998474121094,-56.622501373291016,,
14,299,,,,,,,,,-52.73899841308594,-56.076751708984375
,300,,,248.91469740867615,,,,,,,
15,319,,,,,,,,,-52.766998291015625,-56.198246002197266
,320,,,247.7227053642273,,,,,,,
16,339,,,,,,,,,-52.65800094604492,-55.93617248535156
,340,,,218.7213146686554,,,,,,,
,349,,,,,5194.802284240723,,,,,
,349,,,,12.799739837646484,,,,,,
17,349,,,,,,-1.533955693244934,-52.57999801635742,-56.391666412353516,,
17,359,,,,,,,,,-52.61399841308594,-55.93387985229492
,360,,,184.46511125564575,,,,,,,
18,379,,,,,,,,,-52.599998474121094,-55.920833587646484
,380,,,187.4805932044983,,,,,,,
,399,,,,,5391.616106033325,,,,,
,399,,,,27.279138565063477,,,,,,
19,399,,,,,,-3.2514145374298096,-52.23999786376953,-56.234169006347656,,
19,399,,,,,,,,,-52.67499923706055,-55.85966873168945
,400,,,187.15728306770325,,,,,,,
20,419,,,,,,,,,-52.49700164794922,-55.7728271484375
,420,,,180.57689881324768,,,,,,,
21,439,,,,,,,,,-52.64099884033203,-55.93070602416992
,440,,,182.63671135902405,,,,,,,
,449,,,,,5376.312494277954,,,,,
,449,,,,14.409303665161133,,,,,,
22,449,,,,,,-2.625836133956909,-52.2599983215332,-56.228336334228516,,
22,459,,,,,,,,,-52.49100112915039,-55.82182312011719
,460,,,186.8676199913025,,,,,,,
23,479,,,,,,,,,-52.534000396728516,-55.815494537353516
,480,,,245.48109674453735,,,,,,,
,499,,,,,6302.17981338501,,,,,
,499,,,,26.965856552124023,,,,,,
24,499,,,,,,-2.8515725135803223,-52.15999984741211,-56.30000305175781,,
24,499,,,,,,,,,-52.369998931884766,-55.71083068847656
,500,,,239.41003394126892,,,,,,,
25,519,,,,,,,,,-52.25899887084961,-55.57229232788086
,520,,,181.06904315948486,,,,,,,
26,539,,,,,,,,,-52.32899856567383,-55.6374626159668
,540,,,182.1672990322113,,,,,,,
,549,,,,,5300.550937652588,,,,,
,549,,,,14.165639877319336,,,,,,
27,549,,,,,,-2.490342378616333,-52.07999801635742,-56.192501068115234,,
27,559,,,,,,,,,-52.255001068115234,-55.59267044067383
,560,,,185.86126255989075,,,,,,,
28,579,,,,,,,,,-52.54399871826172,-55.89004135131836
,580,,,183.18167638778687,,,,,,,
,599,,,,,4991.265535354614,,,,,
,599,,,,26.004314422607422,,,,,,
29,599,,,,,,-2.803250312805176,-52.63999938964844,-56.56500244140625,,
29,599,,,,,,,,,-52.36800003051758,-55.6523323059082
,600,,,178.73311281204224,,,,,,,
30,619,,,,,,,,,-52.4109992980957,-55.708534240722656
,620,,,178.7388117313385,,,,,,,
31,639,,,,,,,,,-52.5,-55.6757926940918
,640,,,178.732515335083,,,,,,,
,649,,,,,5206.631422042847,,,,,
,649,,,,13.450860977172852,,,,,,
32,649,,,,,,-0.840579628944397,-52.5,-56.4091682434082,,
32,659,,,,,,,,,-52.28799819946289,-55.52959060668945
,660,,,181.94178080558777,,,,,,,
33,679,,,,,,,,,-52.24700164794922,-55.52366256713867
,680,,,178.420485496521,,,,,,,
,699,,,,,4898.281097412109,,,,,
,699,,,,25.13289451599121,,,,,,
