epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/pair_count,train/quality,train/reward,train/shape_j,train/shape_m,val/gap,val/makespan,val/reward
,49,,,1580.8539390563965,,,,,,,,,
,49,,1.0919570922851562,,,,,,,,,,
0,49,,,,0.7079392671585083,32472.0,1.1933948993682861,-2674.0,15.0,15.0,,,
,99,,,1560.1656436920166,,,,,,,,,
,99,,10.275840759277344,,,,,,,,,,
0,99,,,,0.7030107975006104,32468.0,1.1663084030151367,-2625.0,15.0,15.0,,,
,149,,,1572.2167491912842,,,,,,,,,
,149,,5.42140007019043,,,,,,,,,,
0,149,,,,0.7040680050849915,32457.0,1.195521593093872,-2522.0,15.0,15.0,,,
,199,,,1564.1701221466064,,,,,,,,,
,199,,10.421991348266602,,,,,,,,,,
0,199,,,,0.7088371515274048,32439.0,1.152429223060608,-2721.000244140625,15.0,15.0,,,
,249,,,1556.5507411956787,,,,,,,,,
,249,,1.861572265625,,,,,,,,,,
0,249,,,,0.7044936418533325,32464.0,1.1791309118270874,-2493.0,15.0,15.0,,,
,299,,,1559.485673904419,,,,,,,,,
,299,,10.256052017211914,,,,,,,,,,
0,299,,,,0.6982815861701965,32459.0,1.1400339603424072,-2587.000244140625,15.0,15.0,,,
,349,,,1578.8235664367676,,,,,,,,,
,349,,2.0046234130859375,,,,,,,,,,
0,349,,,,0.7002854943275452,32463.0,1.1574585437774658,-2610.0,15.0,15.0,,,
,399,,,1556.7958354949951,,,,,,,,,
,399,,9.282588958740234,,,,,,,,,,
0,399,,,,0.6986793875694275,32458.0,1.1470173597335815,-2634.0,15.0,15.0,,,
,449,,,1559.8630905151367,,,,,,,,,
,449,,1.8849372863769531,,,,,,,,,,
0,449,,,,0.7048867344856262,32452.0,1.1581274271011353,-2650.0,15.0,15.0,,,
,499,,,1573.0540752410889,,,,,,,,,
,499,,9.30643081665039,,,,,,,,,,
0,499,,,,0.7083114981651306,32452.0,1.1556346416473389,-2632.000244140625,15.0,15.0,,,
,549,,,1572.6938247680664,,,,,,,,,
,549,,3.3044815063476562,,,,,,,,,,
0,549,,,,0.6977094411849976,32461.0,1.1598925590515137,-2409.0,15.0,15.0,,,
,599,,,1573.7967491149902,,,,,,,,,
,599,,10.348796844482422,,,,,,,,,,
0,599,,,,0.7074815034866333,32463.0,1.1751470565795898,-2500.000244140625,15.0,15.0,,,
,649,,,1562.063217163086,,,,,,,,,
,649,,2.0465850830078125,,,,,,,,,,
0,649,,,,0.7082986831665039,32449.0,1.1432616710662842,-2462.000244140625,15.0,15.0,,,
,699,,,1575.1328468322754,,,,,,,,,
,699,,9.319067001342773,,,,,,,,,,
0,699,,,,0.7085924744606018,32469.0,1.1605678796768188,-2658.000244140625,15.0,15.0,,,
,749,,,1570.058822631836,,,,,,,,,
,749,,1.9431114196777344,,,,,,,,,,
0,749,,,,0.7165101766586304,32457.0,1.1568937301635742,-2503.999755859375,15.0,15.0,,,
,799,,,1574.472427368164,,,,,,,,,
,799,,11.811017990112305,,,,,,,,,,
0,799,,,,0.7001519799232483,32454.0,1.1241116523742676,-2514.000244140625,15.0,15.0,,,
,849,,,1565.6204223632812,,,,,,,,,
,849,,3.1824111938476562,,,,,,,,,,
0,849,,,,0.7052838802337646,32456.0,1.1653954982757568,-2523.0,15.0,15.0,,,
,899,,,1560.4698657989502,,,,,,,,,
,899,,15.569686889648438,,,,,,,,,,
0,899,,,,0.7047560214996338,32468.0,1.1822543144226074,-2523.000244140625,15.0,15.0,,,
,949,,,1592.3051834106445,,,,,,,,,
,949,,0.9660720825195312,,,,,,,,,,
0,949,,,,0.7040497660636902,32461.0,1.166321039199829,-2506.000244140625,15.0,15.0,,,
,999,,,1567.4595832824707,,,,,,,,,
,999,,9.891510009765625,,,,,,,,,,
0,999,,,,0.6999187469482422,32474.0,1.1626018285751343,-2483.0,15.0,15.0,,,
,1049,,,1563.3912086486816,,,,,,,,,
,1049,,1.943826675415039,,,,,,,,,,
0,1049,,,,0.7143497467041016,32450.0,1.159067988395691,-2500.000244140625,15.0,15.0,,,
,1099,,,1571.0082054138184,,,,,,,,,
,1099,,10.935783386230469,,,,,,,,,,
0,1099,,,,0.7070794701576233,32473.0,1.1431350708007812,-2579.000244140625,15.0,15.0,,,
,1149,,,1586.1990451812744,,,,,,,,,
,1149,,1.9421577453613281,,,,,,,,,,
0,1149,,,,0.7123677730560303,32452.0,1.1485681533813477,-2578.0,15.0,15.0,,,
,1199,,,1455.672264099121,,,,,,,,,
,1199,,10.608673095703125,,,,,,,,,,
0,1199,,,,0.7029696106910706,32453.0,1.1428382396697998,-2411.000244140625,15.0,15.0,,,
,1249,,,1429.4579029083252,,,,,,,,,
,1249,,2.0558834075927734,,,,,,,,,,
0,1249,,,,0.6955885887145996,32463.0,1.1502230167388916,-2489.00048828125,15.0,15.0,,,
0,1249,,,,,,,,,,8.414017677307129,2652.280029296875,-2652.280029296875
,1250,2017.4491937160492,,,,,,,,,,,
,1299,,,1423.3808517456055,,,,,,,,,
,1299,,11.475086212158203,,,,,,,,,,
1,1299,,,,0.7053808569908142,32455.0,1.1468899250030518,-2688.00048828125,15.0,15.0,,,
,1349,,,1419.935703277588,,,,,,,,,
,1349,,1.9421577453613281,,,,,,,,,,
1,1349,,,,0.7001259922981262,32464.0,1.1540167331695557,-2484.0,15.0,15.0,,,
,1399,,,1427.4044036865234,,,,,,,,,
,1399,,10.808944702148438,,,,,,,,,,
1,1399,,,,0.7031745910644531,32457.0,1.143969178199768,-2405.000244140625,15.0,15.0,,,
,1449,,,1658.625841140747,,,,,,,,,
,1449,,5.580425262451172,,,,,,,,,,
1,1449,,,,0.7017301321029663,32451.0,1.1530637741088867,-2532.0,15.0,15.0,,,
,1499,,,1433.969259262085,,,,,,,,,
,1499,,12.581110000610352,,,,,,,,,,
1,1499,,,,0.7019328474998474,32464.0,1.1427124738693237,-2647.999755859375,15.0,15.0,,,
,1549,,,1418.1149005889893,,,,,,,,,
,1549,,1.8596649169921875,,,,,,,,,,
1,1549,,,,0.7004537582397461,32459.0,1.1329655647277832,-2481.000244140625,15.0,15.0,,,
,1599,,,1419.9669361114502,,,,,,,,,
,1599,,14.487028121948242,,,,,,,,,,
1,1599,,,,0.6959255933761597,32464.0,1.149938941001892,-2574.0,15.0,15.0,,,
,1649,,,1447.9477405548096,,,,,,,,,
,1649,,3.4246444702148438,,,,,,,,,,
1,1649,,,,0.6982059478759766,32460.0,1.1548986434936523,-2556.999755859375,15.0,15.0,,,
,1699,,,1421.6701984405518,,,,,,,,,
,1699,,10.240554809570312,,,,,,,,,,
1,1699,,,,0.7154192328453064,32456.0,1.1467982530593872,-2566.0,15.0,15.0,,,
,1749,,,1432.7030181884766,,,,,,,,,
,1749,,1.9617080688476562,,,,,,,,,,
1,1749,,,,0.6979998350143433,32453.0,1.157719373703003,-2525.0,15.0,15.0,,,
,1799,,,1444.8721408843994,,,,,,,,,
,1799,,10.880470275878906,,,,,,,,,,
1,1799,,,,0.7076408267021179,32464.0,1.169273018836975,-2567.999755859375,15.0,15.0,,,
,1849,,,1431.3232898712158,,,,,,,,,
,1849,,1.9245147705078125,,,,,,,,,,
1,1849,,,,0.7125537991523743,32447.0,1.1538879871368408,-2469.0,15.0,15.0,,,
,1899,,,1443.652868270874,,,,,,,,,
,1899,,10.756969451904297,,,,,,,,,,
1,1899,,,,0.6892044544219971,32454.0,1.1307978630065918,-2455.0,15.0,15.0,,,
,1949,,,1437.9138946533203,,,,,,,,,
,1949,,3.3283233642578125,,,,,,,,,,
1,1949,,,,0.7027072906494141,32445.0,1.1239631175994873,-2626.0,15.0,15.0,,,
,1999,,,1472.132682800293,,,,,,,,,
,1999,,10.472297668457031,,,,,,,,,,
1,1999,,,,0.7030630707740784,32461.0,1.1553106307983398,-2581.0,15.0,15.0,,,
,2049,,,1480.311393737793,,,,,,,,,
,2049,,1.9211769104003906,,,,,,,,,,
1,2049,,,,0.702811062335968,32470.0,1.151705026626587,-2622.999755859375,15.0,15.0,,,
,2099,,,1443.751573562622,,,,,,,,,
,2099,,10.414361953735352,,,,,,,,,,
