step,time/inter_step (ms),time/intra_step (ms)
49,,2334.1891765594482
49,2.2907257080078125,
99,,1780.3330421447754
99,14.684438705444336,
149,,1839.6050930023193
149,2.2802352905273438,
199,,2211.0321521759033
199,37.71400451660156,
249,,1865.4558658599854
249,2.1500587463378906,
299,,2098.470449447632
299,27.919530868530273,
349,,2242.7115440368652
349,2.3126602172851562,
399,,2210.322856903076
399,19.00482177734375,
449,,2229.369878768921
449,0.7863044738769531,
499,,1658.3168506622314
499,22.967815399169922,
549,,2342.571973800659
549,5.519866943359375,
599,,2094.9947834014893
599,18.718242645263672,
649,,1789.5185947418213
649,2.095937728881836,
699,,1681.610107421875
699,19.04916763305664,
749,,1725.0914573669434
749,1.7783641815185547,
799,,1672.339916229248
799,31.250953674316406,
849,,1928.293228149414
849,2.120494842529297,
899,,2124.0293979644775
899,14.096975326538086,
949,,1904.2096138000488
949,2.2323131561279297,
999,,2028.8262367248535
999,14.80865478515625,
1049,,1922.9533672332764
1049,2.637147903442383,
1099,,1716.588020324707
1099,24.313926696777344,
1149,,1796.0009574890137
1149,2.262115478515625,
1199,,1911.201000213623
1199,13.651371002197266,
1249,,2339.043140411377
1249,1.0542869567871094,
1299,,2153.3114910125732
1299,13.727664947509766,
1349,,1978.175163269043
1349,0.8213520050048828,
1399,,2013.2055282592773
1399,23.346900939941406,
1449,,1907.1729183197021
1449,2.0830631256103516,
1499,,1673.3982563018799
1499,13.768434524536133,
1549,,2070.5959796905518
1549,2.106189727783203,
1599,,1775.9475708007812
1599,23.377418518066406,
1649,,2050.8618354797363
1649,2.159595489501953,
1699,,1695.4588890075684
1699,18.976688385009766,
1749,,1830.522060394287
1749,2.2161006927490234,
1799,,1610.2404594421387
1799,27.7554988861084,
1849,,1938.1566047668457
1849,2.1944046020507812,
1899,,2076.507806777954
1899,35.12263298034668,
1949,,1896.066665649414
1949,11.837959289550781,
1999,,1855.3187847137451
1999,24.310827255249023,
2049,,1653.5181999206543
2049,1.9173622131347656,
2099,,1691.2455558776855
2099,12.391090393066406,
2149,,1916.4726734161377
2149,6.796121597290039,
2199,,2048.7120151519775
2199,20.403623580932617,
2249,,1912.4572277069092
2249,1.8994808197021484,
2299,,1716.8586254119873
2299,18.47052574157715,
2349,,1508.312702178955
2349,1.8079280853271484,
2399,,1452.7015686035156
2399,17.377376556396484,
2449,,1484.5023155212402
2449,1.9071102142333984,
2499,,1434.2095851898193
2499,18.242835998535156,
2549,,1481.2836647033691
2549,2.031564712524414,
2599,,1375.6442070007324
2599,13.393402099609375,
2649,,1389.3005847930908
2649,1.817464828491211,
2699,,1523.1208801269531
2699,14.780044555664062,
2749,,1398.3361721038818
2749,2.336263656616211,
2799,,1473.4230041503906
2799,13.479948043823242,
2849,,1367.0222759246826
2849,4.750728607177734,
2899,,1470.3152179718018
2899,12.281656265258789,
2949,,1418.8566207885742
2949,2.0673274993896484,
2999,,1426.4986515045166
2999,24.117708206176758,
3049,,1549.2489337921143
3049,1.8329620361328125,
3099,,1537.1301174163818
3099,13.800621032714844,
3149,,1527.557611465454
3149,2.341747283935547,
3199,,1117.9046630859375
3199,9.854555130004883,
3249,,1140.265703201294
3249,2.6814937591552734,
3299,,1151.2987613677979
3299,12.01486587524414,
3349,,1074.9003887176514
3349,3.4422874450683594,
3399,,1145.9178924560547
3399,18.28789710998535,
3449,,1283.22434425354
3449,2.382993698120117,
3499,,1174.743413925171
3499,11.995553970336914,
3549,,1154.1497707366943
3549,2.4154186248779297,
3599,,1159.5048904418945
3599,10.942697525024414,
3649,,1184.9489212036133
3649,1.3332366943359375,
3699,,1152.634859085083
3699,11.728525161743164,
3749,,1136.289358139038
3749,1.811981201171875,
3799,,1140.4249668121338
3799,10.727643966674805,
3849,,1237.8978729248047
3849,1.9996166229248047,
3899,,1159.2347621917725
3899,10.38217544555664,
