epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/pair_count,train/quality,train/reward,val/gap,val/makespan,val/reward
,49,,,1134.8869800567627,,,,,,,
,49,,2.298593521118164,,,,,,,,
,99,,,1101.3820171356201,,,,,,,
,99,,12.598991394042969,,,,,,,,
,149,,,1363.0633354187012,,,,,,,
,149,,2.02178955078125,,,,,,,,
,199,,,1120.6800937652588,,,,,,,
,199,,10.845184326171875,,,,,,,,
,249,,,1123.830795288086,,,,,,,
,249,,4.277706146240234,,,,,,,,
,299,,,1117.3059940338135,,,,,,,
,299,,9.411334991455078,,,,,,,,
,349,,,1136.824607849121,,,,,,,
,349,,1.7118453979492188,,,,,,,,
,399,,,1109.3943119049072,,,,,,,
,399,,9.4451904296875,,,,,,,,
,449,,,1188.1232261657715,,,,,,,
,449,,1.1060237884521484,,,,,,,,
,499,,,1125.4467964172363,,,,,,,
,499,,10.59579849243164,,,,,,,,
,549,,,1127.9323101043701,,,,,,,
,549,,2.191781997680664,,,,,,,,
,599,,,1132.9798698425293,,,,,,,
,599,,10.71786880493164,,,,,,,,
,649,,,1118.2467937469482,,,,,,,
,649,,1.8930435180664062,,,,,,,,
,699,,,1119.1978454589844,,,,,,,
,699,,11.541604995727539,,,,,,,,
,749,,,1151.8597602844238,,,,,,,
,749,,1.8739700317382812,,,,,,,,
,799,,,1142.7440643310547,,,,,,,
,799,,10.13636589050293,,,,,,,,
,849,,,1104.7844886779785,,,,,,,
,849,,1.7650127410888672,,,,,,,,
,899,,,1098.5143184661865,,,,,,,
,899,,10.612964630126953,,,,,,,,
,949,,,1117.3205375671387,,,,,,,
,949,,1.895904541015625,,,,,,,,
,999,,,1185.4259967803955,,,,,,,
,999,,10.70857048034668,,,,,,,,
,1049,,,1372.6317882537842,,,,,,,
,1049,,2.944469451904297,,,,,,,,
,1099,,,1354.572057723999,,,,,,,
,1099,,13.456583023071289,,,,,,,,
,1149,,,1350.7897853851318,,,,,,,
,1149,,1.8372535705566406,,,,,,,,
,1199,,,1337.0678424835205,,,,,,,
