epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/quality,train/reward,val/gap,val/makespan,val/reward
,49,,,1040.625810623169,,,,,,
,49,,1.2972354888916016,,,,,,,
,99,,,1050.9133338928223,,,,,,
,99,,12.678146362304688,,,,,,,
,149,,,1038.959264755249,,,,,,
,149,,1.2683868408203125,,,,,,,
,199,,,1043.5400009155273,,,,,,
,199,,15.042304992675781,,,,,,,
,249,,,1048.3732223510742,,,,,,
,249,,1.2881755828857422,,,,,,,
,299,,,1070.9295272827148,,,,,,
,299,,9.051322937011719,,,,,,,
,349,,,1039.7167205810547,,,,,,
,349,,1.277923583984375,,,,,,,
,399,,,1042.921543121338,,,,,,
,399,,8.976459503173828,,,,,,,
,449,,,1043.473720550537,,,,,,
,449,,1.2829303741455078,,,,,,,
,499,,,1038.8953685760498,,,,,,
,499,,9.009361267089844,,,,,,,
,549,,,1136.8439197540283,,,,,,
,549,,0.5125999450683594,,,,,,,
,599,,,1133.0673694610596,,,,,,
,599,,9.04226303100586,,,,,,,
,649,,,1134.2318058013916,,,,,,
,649,,3.583192825317383,,,,,,,
,699,,,1125.9589195251465,,,,,,
,699,,9.062528610229492,,,,,,,
,749,,,1133.2685947418213,,,,,,
,749,,1.2750625610351562,,,,,,,
,799,,,1127.3460388183594,,,,,,
,799,,9.125471115112305,,,,,,,
,849,,,1125.8840560913086,,,,,,
,849,,1.2860298156738281,,,,,,,
,899,,,1122.0529079437256,,,,,,
,899,,8.810758590698242,,,,,,,
,949,,,1132.1868896484375,,,,,,
,949,,3.6504268646240234,,,,,,,
,999,,,1136.7483139038086,,,,,,
,999,,9.019136428833008,,,,,,,
,1049,,,1134.5417499542236,,,,,,
,1049,,1.2843608856201172,,,,,,,
,1099,,,1138.5960578918457,,,,,,
,1099,,9.003400802612305,,,,,,,
,1149,,,1049.774408340454,,,,,,
,1149,,1.2848377227783203,,,,,,,
,1199,,,1046.7252731323242,,,,,,
,1199,,8.196115493774414,,,,,,,
,1249,,,1044.4796085357666,,,,,,
,1249,,0.5087852478027344,,,,,,,
,1299,,,1038.8617515563965,,,,,,
,1299,,9.05609130859375,,,,,,,
,1349,,,1048.9764213562012,,,,,,
,1349,,1.3768672943115234,,,,,,,
,1399,,,1039.2661094665527,,,,,,
,1399,,8.543968200683594,,,,,,,
,1449,,,1054.0010929107666,,,,,,
,1449,,1.2629032135009766,,,,,,,
,1499,,,1049.54195022583,,,,,,
,1499,,8.929729461669922,,,,,,,
,1549,,,1049.8664379119873,,,,,,
,1549,,0.7312297821044922,,,,,,,
,1599,,,1040.2276515960693,,,,,,
,1599,,8.783578872680664,,,,,,,
,1649,,,1040.1134490966797,,,,,,
,1649,,1.2593269348144531,,,,,,,
,1699,,,1040.041208267212,,,,,,
,1699,,8.192777633666992,,,,,,,
,1749,,,1047.440528869629,,,,,,
,1749,,1.3530254364013672,,,,,,,
,1799,,,1048.5329627990723,,,,,,
,1799,,9.01651382446289,,,,,,,
,1849,,,1041.0332679748535,,,,,,
,1849,,1.2621879577636719,,,,,,,
,1899,,,1046.280860900879,,,,,,
,1899,,9.031295776367188,,,,,,,
,1949,,,1040.5116081237793,,,,,,
,1949,,1.2590885162353516,,,,,,,
,1999,,,1056.7817687988281,,,,,,
,1999,,8.979082107543945,,,,,,,
,2049,,,1053.112506866455,,,,,,
,2049,,1.279592514038086,,,,,,,
,2099,,,1054.1112422943115,,,,,,
,2099,,8.731842041015625,,,,,,,
,2149,,,1053.0006885528564,,,,,,
,2149,,3.704547882080078,,,,,,,
,2199,,,1051.2731075286865,,,,,,
,2199,,8.26406478881836,,,,,,,
,2249,,,1051.405668258667,,,,,,
,2249,,1.3003349304199219,,,,,,,
,2299,,,1047.534704208374,,,,,,
,2299,,8.949041366577148,,,,,,,
,2349,,,1066.878318786621,,,,,,
,2349,,2.1653175354003906,,,,,,,
,2399,,,1049.1783618927002,,,,,,
,2399,,8.998870849609375,,,,,,,
,2449,,,1060.2896213531494,,,,,,
,2449,,1.2822151184082031,,,,,,,
,2499,,,1048.2866764068604,,,,,,
,2499,,9.039640426635742,,,,,,,
,2549,,,1048.6643314361572,,,,,,
,2549,,1.3370513916015625,,,,,,,
,2599,,,1052.3297786712646,,,,,,
,2599,,8.856058120727539,,,,,,,
,2649,,,1059.3407154083252,,,,,,
,2649,,1.3117790222167969,,,,,,,
,2699,,,1049.3440628051758,,,,,,
,2699,,9.01174545288086,,,,,,,
,2749,,,1113.6500835418701,,,,,,
,2749,,1.5323162078857422,,,,,,,
,2799,,,1059.2715740203857,,,,,,
,2799,,9.103536605834961,,,,,,,
,2849,,,1307.9237937927246,,,,,,
,2849,,2.9420852661132812,,,,,,,
,2899,,,1272.2883224487305,,,,,,
,2899,,9.336471557617188,,,,,,,
,2949,,,1289.0527248382568,,,,,,
,2949,,2.532482147216797,,,,,,,
,2999,,,1104.2613983154297,,,,,,
,2999,,9.790182113647461,,,,,,,
,3049,,,1135.0700855255127,,,,,,
,3049,,0.6062984466552734,,,,,,,
,3099,,,1180.295467376709,,,,,,
,3099,,9.923458099365234,,,,,,,
,3149,,,1099.0445613861084,,,,,,
,3149,,2.4576187133789062,,,,,,,
,3199,,,1093.083143234253,,,,,,
,3199,,8.589029312133789,,,,,,,
,3249,,,1153.8350582122803,,,,,,
,3249,,1.7216205596923828,,,,,,,
,3299,,,1092.2589302062988,,,,,,
,3299,,9.613752365112305,,,,,,,
,3349,,,1084.0086936950684,,,,,,
,3349,,1.605987548828125,,,,,,,
,3399,,,1084.7508907318115,,,,,,
,3399,,8.771419525146484,,,,,,,
,3449,,,1086.820125579834,,,,,,
,3449,,1.6252994537353516,,,,,,,
,3499,,,1099.0469455718994,,,,,,
,3499,,12.03775405883789,,,,,,,
,3549,,,1106.417179107666,,,,,,
,3549,,0.8978843688964844,,,,,,,
,3599,,,1102.0658016204834,,,,,,
,3599,,13.582706451416016,,,,,,,
,3649,,,1096.9433784484863,,,,,,
,3649,,0.6816387176513672,,,,,,,
,3699,,,1098.3562469482422,,,,,,
,3699,,9.50002670288086,,,,,,,
,3749,,,1300.3590106964111,,,,,,
,3749,,0.7812976837158203,,,,,,,
,3799,,,1265.6779289245605,,,,,,
,3799,,9.049177169799805,,,,,,,
,3849,,,1271.1899280548096,,,,,,
,3849,,3.8080215454101562,,,,,,,
,3899,,,1257.4713230133057,,,,,,
,3899,,9.050607681274414,,,,,,,
,3949,,,1262.6304626464844,,,,,,
,3949,,1.5151500701904297,,,,,,,
,3999,,,1259.3202590942383,,,,,,
,3999,,8.134841918945312,,,,,,,
,4049,,,1259.7520351409912,,,,,,
,4049,,1.3470649719238281,,,,,,,
,4099,,,1259.84787940979,,,,,,
,4099,,15.812873840332031,,,,,,,
,4149,,,1262.9308700561523,,,,,,
,4149,,1.5938282012939453,,,,,,,
,4199,,,1265.6850814819336,,,,,,
,4199,,9.026527404785156,,,,,,,
