epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/quality,train/reward,train/shape_j,train/shape_m,val/gap,val/makespan,val/reward
,21299,,,1448.340654373169,,,,,,,,
,21299,,9.98997688293457,,,,,,,,,
17,21299,,,,0.6752583980560303,1.3817952871322632,-2940.999755859375,15.0,15.0,,,
,21349,,,1455.5082321166992,,,,,,,,
,21349,,1.0557174682617188,,,,,,,,,
17,21349,,,,0.6894606351852417,1.335722804069519,-3174.999755859375,15.0,15.0,,,
,21399,,,1525.6977081298828,,,,,,,,
,21399,,11.680841445922852,,,,,,,,,
17,21399,,,,0.6612083911895752,1.3663941621780396,-3087.999755859375,15.0,15.0,,,
,21449,,,1490.504264831543,,,,,,,,
,21449,,0.9672641754150391,,,,,,,,,
17,21449,,,,0.6463528275489807,1.3837237358093262,-2945.999755859375,15.0,15.0,,,
,21499,,,1435.7144832611084,,,,,,,,
,21499,,9.675741195678711,,,,,,,,,
17,21499,,,,0.6157791018486023,1.3391860723495483,-3073.0,15.0,15.0,,,
,21549,,,1448.2009410858154,,,,,,,,
,21549,,1.0111331939697266,,,,,,,,,
17,21549,,,,0.6486286520957947,1.3363713026046753,-3225.0,15.0,15.0,,,
,21599,,,1496.2637424468994,,,,,,,,
,21599,,11.215925216674805,,,,,,,,,
17,21599,,,,0.6525660753250122,1.3841681480407715,-3037.00048828125,15.0,15.0,,,
,21649,,,1433.8371753692627,,,,,,,,
,21649,,1.9695758819580078,,,,,,,,,
17,21649,,,,0.6303628087043762,1.3269904851913452,-3222.0,15.0,15.0,,,
,21699,,,1437.469482421875,,,,,,,,
,21699,,10.751485824584961,,,,,,,,,
17,21699,,,,0.6560588479042053,1.3176366090774536,-3149.000244140625,15.0,15.0,,,
,21749,,,1460.8154296875,,,,,,,,
,21749,,2.0210742950439453,,,,,,,,,
17,21749,,,,0.6491925716400146,1.350516438484192,-3034.99951171875,15.0,15.0,,,
,21799,,,1448.5645294189453,,,,,,,,
,21799,,11.713981628417969,,,,,,,,,
17,21799,,,,0.6353269815444946,1.3316855430603027,-3239.0,15.0,15.0,,,
,21849,,,1436.171293258667,,,,,,,,
,21849,,1.9867420196533203,,,,,,,,,
17,21849,,,,0.674094557762146,1.3667360544204712,-3195.0,15.0,15.0,,,
,21899,,,1460.83664894104,,,,,,,,
,21899,,11.05642318725586,,,,,,,,,
17,21899,,,,0.6761511564254761,1.3198094367980957,-3225.999267578125,15.0,15.0,,,
,21949,,,1585.3862762451172,,,,,,,,
,21949,,1.9886493682861328,,,,,,,,,
17,21949,,,,0.6073123812675476,1.3372154235839844,-3228.0,15.0,15.0,,,
,21999,,,1445.4119205474854,,,,,,,,
,21999,,9.643793106079102,,,,,,,,,
17,21999,,,,0.6256114840507507,1.3138424158096313,-3412.0,15.0,15.0,,,
,22049,,,1426.2773990631104,,,,,,,,
,22049,,1.9450187683105469,,,,,,,,,
17,22049,,,,0.6753447651863098,1.3403767347335815,-3126.0,15.0,15.0,,,
,22099,,,1440.1988983154297,,,,,,,,
,22099,,10.773420333862305,,,,,,,,,
17,22099,,,,0.6209408640861511,1.3479162454605103,-3280.999755859375,15.0,15.0,,,
,22149,,,1438.1084442138672,,,,,,,,
,22149,,2.060413360595703,,,,,,,,,
17,22149,,,,0.6210459470748901,1.316327452659607,-3316.0,15.0,15.0,,,
,22199,,,1448.1091499328613,,,,,,,,
,22199,,11.054754257202148,,,,,,,,,
17,22199,,,,0.612147867679596,1.3621141910552979,-3070.999755859375,15.0,15.0,,,
,22249,,,1418.5094833374023,,,,,,,,
,22249,,1.8575191497802734,,,,,,,,,
17,22249,,,,0.5988389849662781,1.3199197053909302,-3279.999755859375,15.0,15.0,,,
,22299,,,1433.8352680206299,,,,,,,,
,22299,,10.729074478149414,,,,,,,,,
17,22299,,,,0.665057361125946,1.341086506843567,-3251.000244140625,15.0,15.0,,,
,22349,,,1499.9799728393555,,,,,,,,
,22349,,1.3227462768554688,,,,,,,,,
17,22349,,,,0.6489793658256531,1.3348338603973389,-3341.999755859375,15.0,15.0,,,
,22399,,,1457.6048851013184,,,,,,,,
,22399,,12.947559356689453,,,,,,,,,
17,22399,,,,0.64022296667099,1.3094031810760498,-3112.99951171875,15.0,15.0,,,
,22449,,,1624.2644786834717,,,,,,,,
,22449,,1.0476112365722656,,,,,,,,,
17,22449,,,,0.6635017991065979,1.371103048324585,-3057.999755859375,15.0,15.0,,,
,22499,,,1422.9247570037842,,,,,,,,
,22499,,10.808229446411133,,,,,,,,,
17,22499,,,,0.6262385845184326,1.350242257118225,-3138.999755859375,15.0,15.0,,,
17,22499,,,,,,,,,36.57661437988281,3339.89990234375,-3339.89990234375
,22500,1891.7138004302979,,,,,,,,,,
,22549,,,1419.203281402588,,,,,,,,
,22549,,1.9464492797851562,,,,,,,,,
18,22549,,,,0.6712068319320679,1.2885081768035889,-3159.0,15.0,15.0,,,
,22599,,,1458.970308303833,,,,,,,,
,22599,,10.677099227905273,,,,,,,,,
18,22599,,,,0.6580362319946289,1.3328464031219482,-3180.00048828125,15.0,15.0,,,
,22649,,,1415.4636859893799,,,,,,,,
,22649,,0.9167194366455078,,,,,,,,,
18,22649,,,,0.6414545178413391,1.3518412113189697,-3321.0,15.0,15.0,,,
,22699,,,1433.9380264282227,,,,,,,,
,22699,,10.754585266113281,,,,,,,,,
18,22699,,,,0.6669609546661377,1.2957894802093506,-3296.000244140625,15.0,15.0,,,
,22749,,,1437.3438358306885,,,,,,,,
,22749,,1.93023681640625,,,,,,,,,
18,22749,,,,0.658157467842102,1.3062113523483276,-3050.0,15.0,15.0,,,
,22799,,,1489.5992279052734,,,,,,,,
,22799,,10.885000228881836,,,,,,,,,
18,22799,,,,0.6418488621711731,1.298694133758545,-3208.999755859375,15.0,15.0,,,
,22849,,,1447.483777999878,,,,,,,,
,22849,,2.009153366088867,,,,,,,,,
18,22849,,,,0.6757187843322754,1.3262546062469482,-3086.0,15.0,15.0,,,
,22899,,,1460.599422454834,,,,,,,,
,22899,,10.842323303222656,,,,,,,,,
18,22899,,,,0.610107421875,1.3505542278289795,-3068.0,15.0,15.0,,,
,22949,,,1422.6830005645752,,,,,,,,
,22949,,1.013040542602539,,,,,,,,,
18,22949,,,,0.6362119913101196,1.3044021129608154,-3325.999267578125,15.0,15.0,,,
,22999,,,1429.4168949127197,,,,,,,,
,22999,,13.88096809387207,,,,,,,,,
18,22999,,,,0.6460428237915039,1.3163094520568848,-3121.0,15.0,15.0,,,
,23049,,,1438.8232231140137,,,,,,,,
,23049,,1.9114017486572266,,,,,,,,,
18,23049,,,,0.6344168186187744,1.3365904092788696,-3126.0,15.0,15.0,,,
,23099,,,1412.8987789154053,,,,,,,,
,23099,,10.154247283935547,,,,,,,,,
18,23099,,,,0.6405892968177795,1.3480263948440552,-3204.000244140625,15.0,15.0,,,
,23149,,,1477.2262573242188,,,,,,,,
,23149,,1.0347366333007812,,,,,,,,,
18,23149,,,,0.6891224384307861,1.3159767389297485,-3178.000244140625,15.0,15.0,,,
,23199,,,1478.0282974243164,,,,,,,,
,23199,,10.329246520996094,,,,,,,,,
