epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/pref_rate,train/reward,val/gap,val/makespan,val/reward
,49,,,363.7521266937256,,,,,,
,49,,0.8418560028076172,,,,,,,
,99,,,378.56078147888184,,,,,,
,99,,9.378910064697266,,,,,,,
,149,,,377.9613971710205,,,,,,
,149,,0.6592273712158203,,,,,,,
,199,,,438.29870223999023,,,,,,
,199,,8.753061294555664,,,,,,,
,249,,,385.22863388061523,,,,,,
,249,,0.6716251373291016,,,,,,,
,299,,,422.3449230194092,,,,,,
,299,,9.272575378417969,,,,,,,
,349,,,367.90966987609863,,,,,,
,349,,0.6685256958007812,,,,,,,
,399,,,366.01972579956055,,,,,,
,399,,9.185314178466797,,,,,,,
,449,,,367.57731437683105,,,,,,
,449,,0.7297992706298828,,,,,,,
,499,,,373.5618591308594,,,,,,
,499,,9.093761444091797,,,,,,,
,549,,,364.66002464294434,,,,,,
,549,,0.6983280181884766,,,,,,,
,599,,,366.95003509521484,,,,,,
,599,,8.76760482788086,,,,,,,
,649,,,367.10548400878906,,,,,,
,649,,0.7107257843017578,,,,,,,
,699,,,380.4757595062256,,,,,,
,699,,8.551597595214844,,,,,,,
,749,,,368.2441711425781,,,,,,
,749,,0.7202625274658203,,,,,,,
,799,,,371.4888095855713,,,,,,
,799,,8.70513916015625,,,,,,,
,849,,,383.3484649658203,,,,,,
,849,,0.7159709930419922,,,,,,,
,899,,,379.5473575592041,,,,,,
,899,,9.380102157592773,,,,,,,
,949,,,379.7271251678467,,,,,,
,949,,0.7450580596923828,,,,,,,
,999,,,366.6238784790039,,,,,,
,999,,8.833646774291992,,,,,,,
,1049,,,369.0991401672363,,,,,,
,1049,,0.736236572265625,,,,,,,
,1099,,,369.86351013183594,,,,,,
,1099,,9.309530258178711,,,,,,,
,1149,,,377.1791458129883,,,,,,
,1149,,0.7352828979492188,,,,,,,
,1199,,,451.6160488128662,,,,,,
,1199,,12.579202651977539,,,,,,,
,1249,,,365.2989864349365,,,,,,
,1249,,0.7033348083496094,,,,,,,
,1299,,,379.20522689819336,,,,,,
,1299,,9.093284606933594,,,,,,,
,1349,,,379.0123462677002,,,,,,
,1349,,0.7410049438476562,,,,,,,
,1399,,,454.2250633239746,,,,,,
,1399,,9.102821350097656,,,,,,,
,1449,,,381.8469047546387,,,,,,
,1449,,0.7410049438476562,,,,,,,
,1499,,,371.69766426086426,,,,,,
,1499,,9.066343307495117,,,,,,,
,1549,,,382.7784061431885,,,,,,
,1549,,0.7455348968505859,,,,,,,
,1599,,,375.9324550628662,,,,,,
,1599,,8.866310119628906,,,,,,,
,1649,,,380.01346588134766,,,,,,
,1649,,1.8460750579833984,,,,,,,
,1699,,,370.96524238586426,,,,,,
,1699,,8.743762969970703,,,,,,,
,1749,,,379.98080253601074,,,,,,
,1749,,1.8999576568603516,,,,,,,
,1799,,,366.131067276001,,,,,,
,1799,,8.88824462890625,,,,,,,
,1849,,,366.1680221557617,,,,,,
,1849,,0.6275177001953125,,,,,,,
,1899,,,367.0675754547119,,,,,,
,1899,,15.082836151123047,,,,,,,
,1949,,,380.8481693267822,,,,,,
,1949,,0.6642341613769531,,,,,,,
,1999,,,387.9883289337158,,,,,,
,1999,,9.389162063598633,,,,,,,
,2049,,,367.21348762512207,,,,,,
,2049,,0.7433891296386719,,,,,,,
,2099,,,375.81944465637207,,,,,,
,2099,,9.042501449584961,,,,,,,
,2149,,,368.3154582977295,,,,,,
,2149,,0.7009506225585938,,,,,,,
,2199,,,372.5748062133789,,,,,,
,2199,,8.860588073730469,,,,,,,
,2249,,,370.7747459411621,,,,,,
,2249,,0.7128715515136719,,,,,,,
,2299,,,375.61607360839844,,,,,,
,2299,,8.580684661865234,,,,,,,
,2349,,,364.8719787597656,,,,,,
,2349,,0.6663799285888672,,,,,,,
,2399,,,367.6471710205078,,,,,,
,2399,,9.061813354492188,,,,,,,
,2449,,,396.91805839538574,,,,,,
,2449,,0.7486343383789062,,,,,,,
,2499,,,370.96285820007324,,,,,,
,2499,,8.398771286010742,,,,,,,
,2549,,,370.1746463775635,,,,,,
,2549,,0.7474422454833984,,,,,,,
,2599,,,369.4303035736084,,,,,,
,2599,,8.840322494506836,,,,,,,
,2649,,,374.3875026702881,,,,,,
,2649,,2.0122528076171875,,,,,,,
,2699,,,374.4025230407715,,,,,,
,2699,,9.34600830078125,,,,,,,
,2749,,,370.2695369720459,,,,,,
,2749,,0.7097721099853516,,,,,,,
,2799,,,370.9146976470947,,,,,,
,2799,,8.511781692504883,,,,,,,
,2849,,,365.9858703613281,,,,,,
,2849,,0.6709098815917969,,,,,,,
,2899,,,366.17422103881836,,,,,,
,2899,,9.099483489990234,,,,,,,
,2949,,,368.9382076263428,,,,,,
,2949,,0.7293224334716797,,,,,,,
,2999,,,368.55149269104004,,,,,,
,2999,,9.097099304199219,,,,,,,
,3049,,,364.060640335083,,,,,,
,3049,,0.720977783203125,,,,,,,
,3099,,,378.51977348327637,,,,,,
,3099,,9.13381576538086,,,,,,,
,3149,,,378.6802291870117,,,,,,
,3149,,0.7128715515136719,,,,,,,
,3199,,,362.75434494018555,,,,,,
,3199,,8.430719375610352,,,,,,,
,3249,,,358.95276069641113,,,,,,
,3249,,0.6945133209228516,,,,,,,
,3299,,,346.09317779541016,,,,,,
,3299,,8.55112075805664,,,,,,,
,3349,,,366.74022674560547,,,,,,
,3349,,0.6170272827148438,,,,,,,
,3399,,,349.46537017822266,,,,,,
,3399,,8.514404296875,,,,,,,
,3449,,,348.77943992614746,,,,,,
,3449,,0.5931854248046875,,,,,,,
,3499,,,361.59396171569824,,,,,,
,3499,,8.91566276550293,,,,,,,
,3549,,,349.28011894226074,,,,,,
,3549,,0.5898475646972656,,,,,,,
,3599,,,364.14146423339844,,,,,,
,3599,,8.522987365722656,,,,,,,
,3649,,,371.02437019348145,,,,,,
,3649,,0.7512569427490234,,,,,,,
,3699,,,440.0808811187744,,,,,,
,3699,,9.192943572998047,,,,,,,
,3749,,,364.74609375,,,,,,
,3749,,0.7467269897460938,,,,,,,
,3799,,,370.6035614013672,,,,,,
,3799,,9.08660888671875,,,,,,,
,3849,,,365.07582664489746,,,,,,
,3849,,0.7193088531494141,,,,,,,
,3899,,,451.28822326660156,,,,,,
,3899,,17.424821853637695,,,,,,,
,3949,,,370.26524543762207,,,,,,
,3949,,0.7486343383789062,,,,,,,
,3999,,,389.97912406921387,,,,,,
,3999,,9.063005447387695,,,,,,,
,4049,,,362.7197742462158,,,,,,
,4049,,0.7033348083496094,,,,,,,
,4099,,,423.72751235961914,,,,,,
,4099,,16.786813735961914,,,,,,,
,4149,,,352.23865509033203,,,,,,
,4149,,1.7671585083007812,,,,,,,
,4199,,,364.818811416626,,,,,,
,4199,,8.698701858520508,,,,,,,
,4249,,,358.78539085388184,,,,,,
,4249,,0.8676052093505859,,,,,,,
,4299,,,379.8484802246094,,,,,,
,4299,,9.11259651184082,,,,,,,
,4349,,,385.3435516357422,,,,,,
,4349,,0.6229877471923828,,,,,,,
,4399,,,389.2037868499756,,,,,,
,4399,,9.068489074707031,,,,,,,
,4449,,,357.8784465789795,,,,,,
,4449,,0.7128715515136719,,,,,,,
,4499,,,356.6625118255615,,,,,,
,4499,,8.855342864990234,,,,,,,
,4549,,,349.0936756134033,,,,,,
,4549,,0.6573200225830078,,,,,,,
,4599,,,424.79634284973145,,,,,,
,4599,,9.131669998168945,,,,,,,
,4649,,,357.6328754425049,,,,,,
,4649,,0.9298324584960938,,,,,,,
,4699,,,426.07760429382324,,,,,,
,4699,,9.350776672363281,,,,,,,
,4749,,,376.6169548034668,,,,,,
,4749,,0.713348388671875,,,,,,,
,4799,,,389.15109634399414,,,,,,
,4799,,15.798330307006836,,,,,,,
,4849,,,388.5354995727539,,,,,,
,4849,,0.7436275482177734,,,,,,,
,4899,,,351.7565727233887,,,,,,
,4899,,8.574247360229492,,,,,,,
,4949,,,349.8730659484863,,,,,,
,4949,,0.6117820739746094,,,,,,,
,4999,,,400.19869804382324,,,,,,
,4999,,10.771512985229492,,,,,,,
0,4999,,,,,,,31.670061111450195,2183.47998046875,-2183.47998046875
,5000,1905.3359715938568,,,,,,,,
0,4999,,,,0.3695141673088074,0.4958437383174896,-2183.436767578125,,,
,5049,,,358.4246635437012,,,,,,
,5049,,0.6577968597412109,,,,,,,
,5099,,,359.16590690612793,,,,,,
,5099,,8.879423141479492,,,,,,,
,5149,,,361.65452003479004,,,,,,
,5149,,1.5349388122558594,,,,,,,
,5199,,,420.51053047180176,,,,,,
,5199,,8.465766906738281,,,,,,,
,5249,,,360.7802391052246,,,,,,
,5249,,0.7898807525634766,,,,,,,
,5299,,,368.33763122558594,,,,,,
,5299,,14.868497848510742,,,,,,,
,5349,,,364.3810749053955,,,,,,
,5349,,0.8111000061035156,,,,,,,
,5399,,,361.6507053375244,,,,,,
,5399,,8.908271789550781,,,,,,,
,5449,,,364.41493034362793,,,,,,
,5449,,0.7846355438232422,,,,,,,
,5499,,,355.41558265686035,,,,,,
,5499,,8.706331253051758,,,,,,,
,5549,,,366.0309314727783,,,,,,
,5549,,0.8099079132080078,,,,,,,
,5599,,,366.5034770965576,,,,,,
,5599,,9.124994277954102,,,,,,,
,5649,,,362.440824508667,,,,,,
,5649,,0.820159912109375,,,,,,,
