epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/quality,train/reward,val/gap,val/makespan,val/reward
,49,,,1255.6886672973633,,,,,,
,49,,1.5511512756347656,,,,,,,
,99,,,1050.2660274505615,,,,,,
,99,,11.29913330078125,,,,,,,
,149,,,1061.6414546966553,,,,,,
,149,,1.2955665588378906,,,,,,,
,199,,,1060.8563423156738,,,,,,
,199,,8.804798126220703,,,,,,,
,249,,,1049.7045516967773,,,,,,
,249,,1.2929439544677734,,,,,,,
,299,,,1048.9275455474854,,,,,,
,299,,8.932352066040039,,,,,,,
,349,,,1035.5331897735596,,,,,,
,349,,1.3408660888671875,,,,,,,
,399,,,1144.4597244262695,,,,,,
,399,,8.190631866455078,,,,,,,
,449,,,1795.7918643951416,,,,,,
,449,,1.4619827270507812,,,,,,,
,499,,,1038.6242866516113,,,,,,
,499,,8.89277458190918,,,,,,,
,549,,,1047.6319789886475,,,,,,
,549,,1.2798309326171875,,,,,,,
,599,,,1058.2411289215088,,,,,,
,599,,9.724140167236328,,,,,,,
,649,,,1045.3531742095947,,,,,,
,649,,1.260995864868164,,,,,,,
,699,,,1059.4215393066406,,,,,,
,699,,8.893728256225586,,,,,,,
,749,,,1050.5735874176025,,,,,,
,749,,1.2760162353515625,,,,,,,
,799,,,1079.6289443969727,,,,,,
,799,,8.867502212524414,,,,,,,
,849,,,1046.156406402588,,,,,,
,849,,3.6187171936035156,,,,,,,
,899,,,1051.1934757232666,,,,,,
,899,,13.89002799987793,,,,,,,
,949,,,1049.2336750030518,,,,,,
,949,,1.264810562133789,,,,,,,
,999,,,1047.3670959472656,,,,,,
,999,,8.895635604858398,,,,,,,
,1049,,,1058.9220523834229,,,,,,
,1049,,1.4042854309082031,,,,,,,
,1099,,,1043.4849262237549,,,,,,
,1099,,8.470535278320312,,,,,,,
,1149,,,1043.3411598205566,,,,,,
,1149,,1.2636184692382812,,,,,,,
,1199,,,1050.2705574035645,,,,,,
,1199,,9.050130844116211,,,,,,,
,1249,,,1054.0835857391357,,,,,,
,1249,,0.5068778991699219,,,,,,,
,1299,,,1042.656421661377,,,,,,
,1299,,8.942604064941406,,,,,,,
,1349,,,1088.0722999572754,,,,,,
,1349,,1.2705326080322266,,,,,,,
,1399,,,1043.2331562042236,,,,,,
,1399,,8.8043212890625,,,,,,,
,1449,,,1047.304630279541,,,,,,
,1449,,1.2929439544677734,,,,,,,
,1499,,,1034.379243850708,,,,,,
,1499,,8.807182312011719,,,,,,,
,1549,,,1080.010175704956,,,,,,
,1549,,1.2447834014892578,,,,,,,
,1599,,,1057.3558807373047,,,,,,
,1599,,8.482694625854492,,,,,,,
,1649,,,1045.9036827087402,,,,,,
,1649,,3.0465126037597656,,,,,,,
,1699,,,1036.2744331359863,,,,,,
,1699,,8.79526138305664,,,,,,,
,1749,,,1034.2228412628174,,,,,,
,1749,,1.2454986572265625,,,,,,,
,1799,,,1046.586275100708,,,,,,
,1799,,8.91733169555664,,,,,,,
,1849,,,1263.6914253234863,,,,,,
,1849,,1.3265609741210938,,,,,,,
,1899,,,1049.7653484344482,,,,,,
,1899,,8.123159408569336,,,,,,,
,1949,,,1054.1419982910156,,,,,,
,1949,,0.4761219024658203,,,,,,,
,1999,,,1050.9271621704102,,,,,,
,1999,,8.852481842041016,,,,,,,
,2049,,,1037.7106666564941,,,,,,
,2049,,1.237630844116211,,,,,,,
,2099,,,1048.1300354003906,,,,,,
,2099,,8.343696594238281,,,,,,,
,2149,,,1040.5926704406738,,,,,,
,2149,,1.2905597686767578,,,,,,,
,2199,,,1058.501958847046,,,,,,
,2199,,9.53221321105957,,,,,,,
,2249,,,1040.8697128295898,,,,,,
,2249,,3.270387649536133,,,,,,,
,2299,,,1039.7400856018066,,,,,,
,2299,,17.055988311767578,,,,,,,
,2349,,,1090.256690979004,,,,,,
,2349,,3.717184066772461,,,,,,,
,2399,,,1059.6680641174316,,,,,,
,2399,,8.755207061767578,,,,,,,
,2449,,,1051.274061203003,,,,,,
,2449,,3.5550594329833984,,,,,,,
,2499,,,1054.091453552246,,,,,,
,2499,,11.075735092163086,,,,,,,
,2549,,,1058.1207275390625,,,,,,
,2549,,3.292083740234375,,,,,,,
,2599,,,1118.7667846679688,,,,,,
,2599,,8.274555206298828,,,,,,,
,2649,,,1148.4761238098145,,,,,,
,2649,,1.287698745727539,,,,,,,
,2699,,,1060.0388050079346,,,,,,
,2699,,8.998632431030273,,,,,,,
,2749,,,1092.6737785339355,,,,,,
,2749,,2.5887489318847656,,,,,,,
,2799,,,1150.8936882019043,,,,,,
,2799,,9.07278060913086,,,,,,,
,2849,,,1050.741195678711,,,,,,
,2849,,0.7383823394775391,,,,,,,
,2899,,,1048.8641262054443,,,,,,
,2899,,16.968250274658203,,,,,,,
,2949,,,1057.7397346496582,,,,,,
,2949,,1.3108253479003906,,,,,,,
,2999,,,1049.1173267364502,,,,,,
,2999,,9.14621353149414,,,,,,,
,3049,,,1071.7637538909912,,,,,,
,3049,,3.237009048461914,,,,,,,
,3099,,,1064.171552658081,,,,,,
,3099,,9.160280227661133,,,,,,,
,3149,,,1064.8226737976074,,,,,,
,3149,,1.5234947204589844,,,,,,,
,3199,,,1192.687749862671,,,,,,
,3199,,9.073257446289062,,,,,,,
,3249,,,1059.8375797271729,,,,,,
,3249,,1.6553401947021484,,,,,,,
,3299,,,1223.116159439087,,,,,,
,3299,,9.740591049194336,,,,,,,
,3349,,,1070.8825588226318,,,,,,
,3349,,1.674652099609375,,,,,,,
,3399,,,1056.8008422851562,,,,,,
,3399,,15.723466873168945,,,,,,,
,3449,,,1276.8971920013428,,,,,,
,3449,,1.3909339904785156,,,,,,,
,3499,,,1139.270544052124,,,,,,
,3499,,8.988380432128906,,,,,,,
,3549,,,1075.547456741333,,,,,,
,3549,,2.2416114807128906,,,,,,,
,3599,,,1105.7872772216797,,,,,,
,3599,,11.16943359375,,,,,,,
,3649,,,1090.8153057098389,,,,,,
,3649,,1.575469970703125,,,,,,,
,3699,,,1081.0208320617676,,,,,,
,3699,,10.538578033447266,,,,,,,
,3749,,,1087.043285369873,,,,,,
,3749,,1.6829967498779297,,,,,,,
,3799,,,1045.5291271209717,,,,,,
,3799,,8.836984634399414,,,,,,,
,3849,,,1043.3998107910156,,,,,,
,3849,,2.3603439331054688,,,,,,,
,3899,,,1054.4612407684326,,,,,,
,3899,,11.417627334594727,,,,,,,
,3949,,,1041.9206619262695,,,,,,
,3949,,1.2493133544921875,,,,,,,
,3999,,,1057.51371383667,,,,,,
,3999,,8.863210678100586,,,,,,,
,4049,,,1054.0132522583008,,,,,,
,4049,,1.3439655303955078,,,,,,,
,4099,,,1059.638261795044,,,,,,
,4099,,8.835792541503906,,,,,,,
,4149,,,1047.834873199463,,,,,,
,4149,,1.2307167053222656,,,,,,,
,4199,,,1035.2342128753662,,,,,,
,4199,,8.759498596191406,,,,,,,
,4249,,,1040.1697158813477,,,,,,
,4249,,1.2249946594238281,,,,,,,
,4299,,,1044.259786605835,,,,,,
,4299,,8.69297981262207,,,,,,,
,4349,,,1060.2035522460938,,,,,,
,4349,,0.7443428039550781,,,,,,,
,4399,,,1055.0622940063477,,,,,,
,4399,,8.918285369873047,,,,,,,
,4449,,,1068.2754516601562,,,,,,
,4449,,2.668619155883789,,,,,,,
,4499,,,1044.9938774108887,,,,,,
,4499,,8.808374404907227,,,,,,,
,4549,,,1040.1172637939453,,,,,,
,4549,,1.2066364288330078,,,,,,,
,4599,,,1039.6578311920166,,,,,,
,4599,,8.7738037109375,,,,,,,
,4649,,,1048.9332675933838,,,,,,
,4649,,1.2006759643554688,,,,,,,
,4699,,,1098.4907150268555,,,,,,
,4699,,8.86988639831543,,,,,,,
,4749,,,1056.4136505126953,,,,,,
,4749,,1.3644695281982422,,,,,,,
,4799,,,1067.3096179962158,,,,,,
,4799,,8.828401565551758,,,,,,,
,4849,,,1059.4985485076904,,,,,,
,4849,,3.097057342529297,,,,,,,
,4899,,,1057.058572769165,,,,,,
,4899,,16.51597023010254,,,,,,,
,4949,,,1055.283546447754,,,,,,
,4949,,1.2598037719726562,,,,,,,
,4999,,,1063.3153915405273,,,,,,
,4999,,16.317129135131836,,,,,,,
,5049,,,357.17105865478516,,,,,,
,5049,,0.38886070251464844,,,,,,,
,5099,,,352.3375988006592,,,,,,
,5099,,7.94219970703125,,,,,,,
,5149,,,353.0411720275879,,,,,,
,5149,,0.3559589385986328,,,,,,,
,5199,,,353.3642292022705,,,,,,
,5199,,7.87663459777832,,,,,,,
,5249,,,352.32067108154297,,,,,,
,5249,,0.36215782165527344,,,,,,,
,5299,,,362.6537322998047,,,,,,
,5299,,7.462263107299805,,,,,,,
,5349,,,352.98871994018555,,,,,,
,5349,,0.3490447998046875,,,,,,,
,5399,,,354.16579246520996,,,,,,
,5399,,7.571220397949219,,,,,,,
,5449,,,351.5472412109375,,,,,,
,5449,,0.34737586975097656,,,,,,,
,5499,,,352.44297981262207,,,,,,
,5499,,7.311582565307617,,,,,,,
,5549,,,346.0698127746582,,,,,,
,5549,,0.3705024719238281,,,,,,,
,5599,,,347.63550758361816,,,,,,
,5599,,16.5555477142334,,,,,,,
,5649,,,357.9397201538086,,,,,,
,5649,,0.35309791564941406,,,,,,,
,5699,,,349.80225563049316,,,,,,
,5699,,7.843971252441406,,,,,,,
,5749,,,350.445032119751,,,,,,
,5749,,0.35452842712402344,,,,,,,
,5799,,,408.16664695739746,,,,,,
,5799,,8.447408676147461,,,,,,,
,5849,,,380.56206703186035,,,,,,
,5849,,0.530242919921875,,,,,,,
,5899,,,378.10730934143066,,,,,,
,5899,,8.015632629394531,,,,,,,
,5949,,,382.4429512023926,,,,,,
,5949,,0.3764629364013672,,,,,,,
,5999,,,376.9674301147461,,,,,,
,5999,,8.017539978027344,,,,,,,
,6049,,,431.7622184753418,,,,,,
,6049,,0.4532337188720703,,,,,,,
,6099,,,352.41127014160156,,,,,,
,6099,,8.257627487182617,,,,,,,
,6149,,,350.0173091888428,,,,,,
,6149,,0.3540515899658203,,,,,,,
,6199,,,349.2727279663086,,,,,,
,6199,,8.011102676391602,,,,,,,
,6249,,,359.97915267944336,,,,,,
,6249,,0.35500526428222656,,,,,,,
,6299,,,351.1772155761719,,,,,,
,6299,,7.941007614135742,,,,,,,
,6349,,,348.70100021362305,,,,,,
,6349,,0.3619194030761719,,,,,,,
,6399,,,349.14207458496094,,,,,,
,6399,,7.687568664550781,,,,,,,
,6449,,,357.4225902557373,,,,,,
,6449,,0.3638267517089844,,,,,,,
,6499,,,349.7772216796875,,,,,,
,6499,,7.736921310424805,,,,,,,
,6549,,,348.95896911621094,,,,,,
,6549,,0.3752708435058594,,,,,,,
,6599,,,348.9346504211426,,,,,,
,6599,,7.905244827270508,,,,,,,
,6649,,,349.2269515991211,,,,,,
,6649,,0.35452842712402344,,,,,,,
,6699,,,347.6119041442871,,,,,,
,6699,,7.734060287475586,,,,,,,
,6749,,,354.780912399292,,,,,,
,6749,,0.3476142883300781,,,,,,,
,6799,,,349.04932975769043,,,,,,
,6799,,7.501125335693359,,,,,,,
,6849,,,357.15484619140625,,,,,,
,6849,,0.39005279541015625,,,,,,,
,6899,,,348.97613525390625,,,,,,
,6899,,8.055448532104492,,,,,,,
,6949,,,348.9575386047363,,,,,,
,6949,,0.354766845703125,,,,,,,
,6999,,,356.1084270477295,,,,,,
,6999,,7.332324981689453,,,,,,,
,7049,,,347.8281497955322,,,,,,
,7049,,0.3821849822998047,,,,,,,
,7099,,,348.56581687927246,,,,,,
,7099,,7.822751998901367,,,,,,,
,7149,,,347.29623794555664,,,,,,
,7149,,0.3769397735595703,,,,,,,
,7199,,,357.616662979126,,,,,,
,7199,,7.862091064453125,,,,,,,
,7249,,,349.43294525146484,,,,,,
,7249,,0.3688335418701172,,,,,,,
,7299,,,347.3644256591797,,,,,,
,7299,,7.60960578918457,,,,,,,
,7349,,,357.71632194519043,,,,,,
,7349,,0.38123130798339844,,,,,,,
,7399,,,350.03113746643066,,,,,,
,7399,,7.836341857910156,,,,,,,
,7449,,,347.89204597473145,,,,,,
,7449,,0.3514289855957031,,,,,,,
,7499,,,354.2335033416748,,,,,,
,7499,,7.878541946411133,,,,,,,
,7549,,,348.94657135009766,,,,,,
,7549,,0.3554821014404297,,,,,,,
,7599,,,349.3316173553467,,,,,,
,7599,,7.28154182434082,,,,,,,
,7649,,,349.3168354034424,,,,,,
,7649,,0.36144256591796875,,,,,,,
,7699,,,348.29163551330566,,,,,,
,7699,,7.929801940917969,,,,,,,
,7749,,,365.4825687408447,,,,,,
,7749,,0.3533363342285156,,,,,,,
,7799,,,349.09820556640625,,,,,,
,7799,,7.697820663452148,,,,,,,
,7849,,,348.4153747558594,,,,,,
,7849,,0.3619194030761719,,,,,,,
,7899,,,350.94285011291504,,,,,,
,7899,,7.567405700683594,,,,,,,
,7949,,,360.66508293151855,,,,,,
,7949,,0.4143714904785156,,,,,,,
,7999,,,347.52917289733887,,,,,,
,7999,,16.62302017211914,,,,,,,
,8049,,,348.32191467285156,,,,,,
,8049,,0.35071372985839844,,,,,,,
,8099,,,348.1018543243408,,,,,,
,8099,,7.958650588989258,,,,,,,
,8149,,,353.93357276916504,,,,,,
,8149,,0.34809112548828125,,,,,,,
,8199,,,348.5147953033447,,,,,,
,8199,,7.488250732421875,,,,,,,
,8249,,,350.14843940734863,,,,,,
,8249,,0.38051605224609375,,,,,,,
,8299,,,348.1605052947998,,,,,,
,8299,,7.818937301635742,,,,,,,
,8349,,,357.3031425476074,,,,,,
,8349,,0.3516674041748047,,,,,,,
,8399,,,347.7921485900879,,,,,,
,8399,,7.380962371826172,,,,,,,
,8449,,,346.73047065734863,,,,,,
,8449,,0.3972053527832031,,,,,,,
,8499,,,358.28351974487305,,,,,,
,8499,,7.849454879760742,,,,,,,
,8549,,,348.0381965637207,,,,,,
,8549,,0.35190582275390625,,,,,,,
,8599,,,347.2580909729004,,,,,,
,8599,,7.783174514770508,,,,,,,
