epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/quality,train/reward,val/gap,val/makespan,val/reward
,49,,,410.76111793518066,,,,,,
,49,,0.9317398071289062,,,,,,,
,99,,,386.45124435424805,,,,,,
,99,,9.285211563110352,,,,,,,
,149,,,358.0584526062012,,,,,,
,149,,0.7047653198242188,,,,,,,
,199,,,360.10193824768066,,,,,,
,199,,9.121179580688477,,,,,,,
,249,,,366.2707805633545,,,,,,
,249,,0.6365776062011719,,,,,,,
,299,,,352.1251678466797,,,,,,
,299,,8.381366729736328,,,,,,,
,349,,,355.84282875061035,,,,,,
,349,,1.7502307891845703,,,,,,,
,399,,,380.1283836364746,,,,,,
,399,,9.250402450561523,,,,,,,
,449,,,366.8045997619629,,,,,,
,449,,0.7567405700683594,,,,,,,
,499,,,370.835542678833,,,,,,
,499,,8.942127227783203,,,,,,,
,549,,,361.2046241760254,,,,,,
,549,,0.6742477416992188,,,,,,,
,599,,,365.7338619232178,,,,,,
,599,,8.936166763305664,,,,,,,
,649,,,365.8256530761719,,,,,,
,649,,0.6620883941650391,,,,,,,
,699,,,372.35331535339355,,,,,,
,699,,8.943319320678711,,,,,,,
,749,,,397.0499038696289,,,,,,
,749,,0.6928443908691406,,,,,,,
,799,,,364.107608795166,,,,,,
,799,,8.763313293457031,,,,,,,
,849,,,367.5963878631592,,,,,,
,849,,0.6594657897949219,,,,,,,
,899,,,367.7804470062256,,,,,,
,899,,8.03518295288086,,,,,,,
,949,,,368.54052543640137,,,,,,
,949,,0.6785392761230469,,,,,,,
,999,,,368.5755729675293,,,,,,
,999,,8.654594421386719,,,,,,,
,1049,,,362.65039443969727,,,,,,
,1049,,0.6844997406005859,,,,,,,
,1099,,,379.8940181732178,,,,,,
,1099,,9.255647659301758,,,,,,,
,1149,,,396.4052200317383,,,,,,
,1149,,0.7140636444091797,,,,,,,
,1199,,,409.99889373779297,,,,,,
,1199,,9.015560150146484,,,,,,,
,1249,,,357.7234745025635,,,,,,
,1249,,0.6837844848632812,,,,,,,
,1299,,,435.44721603393555,,,,,,
,1299,,8.970022201538086,,,,,,,
,1349,,,358.55889320373535,,,,,,
,1349,,0.6976127624511719,,,,,,,
,1399,,,361.27305030822754,,,,,,
