step,time/inter_step (ms),time/intra_step (ms)
49,,3422.0104217529297
49,2.7723312377929688,
99,,3512.232780456543
99,13.55123519897461,
149,,3576.7834186553955
149,0.9796619415283203,
199,,3490.617513656616
199,13.074398040771484,
249,,3624.846935272217
249,0.8871555328369141,
299,,3558.643102645874
299,12.9852294921875,
349,,3608.3781719207764
349,2.8128623962402344,
399,,3662.3330116271973
399,13.438940048217773,
449,,3592.2439098358154
449,2.767324447631836,
499,,3438.9123916625977
499,12.915849685668945,
549,,3622.5476264953613
549,3.491640090942383,
599,,3556.0309886932373
599,13.31782341003418,
649,,3553.926944732666
649,3.5393238067626953,
699,,3626.2896060943604
699,13.30423355102539,
749,,3588.8545513153076
749,3.116130828857422,
799,,3419.520139694214
799,12.902975082397461,
849,,3231.030225753784
849,3.1669139862060547,
899,,3584.3284130096436
899,12.96544075012207,
949,,3642.9848670959473
949,1.943349838256836,
999,,3475.7323265075684
999,11.813163757324219,
1049,,3577.840805053711
1049,2.4230480194091797,
1099,,3602.898359298706
1099,12.883901596069336,
1149,,3631.1705112457275
1149,3.4799575805664062,
1199,,3511.2600326538086
1199,12.836217880249023,
1249,,3610.488176345825
1249,2.541065216064453,
1299,,3383.028507232666
1299,12.99738883972168,
1349,,3507.3230266571045
1349,2.0148754119873047,
1399,,3492.0530319213867
1399,12.33816146850586,
1449,,3444.805860519409
1449,1.7750263214111328,
1499,,3477.860927581787
1499,16.566991806030273,
1549,,3561.2728595733643
1549,2.060413360595703,
1599,,3478.4507751464844
1599,12.461185455322266,
1649,,3416.9206619262695
1649,2.5038719177246094,
1699,,3564.762830734253
1699,13.078927993774414,
1749,,3392.9076194763184
1749,1.8079280853271484,
1799,,3433.2456588745117
1799,12.619256973266602,
1849,,3310.676336288452
1849,1.8489360809326172,
1899,,3499.932050704956
1899,13.401508331298828,
1949,,3480.341911315918
1949,1.911163330078125,
1999,,3683.783769607544
1999,14.772176742553711,
2049,,3538.5942459106445
2049,1.8787384033203125,
2099,,3571.2368488311768
2099,12.637853622436523,
2149,,3432.3995113372803
2149,1.8672943115234375,
2199,,3187.934160232544
2199,12.114763259887695,
2249,,3569.985866546631
2249,1.8110275268554688,
2299,,3616.7759895324707
2299,12.664318084716797,
2349,,3244.246006011963
2349,1.874685287475586,
2399,,3465.865135192871
2399,12.85409927368164,
2449,,3700.5581855773926
2449,1.8188953399658203,
2499,,3618.009090423584
2499,13.186216354370117,
2549,,3522.11594581604
2549,1.7740726470947266,
2599,,3397.3324298858643
2599,11.420249938964844,
2649,,3348.067283630371
2649,2.5517940521240234,
2699,,3396.7814445495605
2699,12.339591979980469,
2749,,3501.136064529419
2749,1.8646717071533203,
2799,,3527.297258377075
2799,12.87984848022461,
2849,,3416.6646003723145
2849,1.8053054809570312,
2899,,3537.783145904541
2899,12.488603591918945,
2949,,3501.3136863708496
2949,1.8551349639892578,
2999,,4032.2232246398926
2999,11.532783508300781,
3049,,3428.175210952759
3049,1.8606185913085938,
3099,,3399.7933864593506
3099,11.260986328125,
3149,,3484.3528270721436
3149,1.76239013671875,
3199,,3360.3768348693848
3199,13.282537460327148,
3249,,3463.263988494873
3249,1.6689300537109375,
3299,,3379.072666168213
3299,11.649370193481445,
3349,,3501.429796218872
3349,1.8358230590820312,
3399,,3545.34649848938
3399,14.473199844360352,
3449,,3438.007116317749
3449,1.7132759094238281,
3499,,3405.4009914398193
3499,12.875556945800781,
3549,,3527.3044109344482
3549,1.7304420471191406,
3599,,3524.9898433685303
3599,11.905193328857422,
3649,,3387.1467113494873
3649,1.6727447509765625,
3699,,3280.4014682769775
3699,14.250516891479492,
3749,,3395.5955505371094
3749,3.9403438568115234,
3799,,3443.026065826416
3799,12.458324432373047,
3849,,3331.4125537872314
3849,2.9349327087402344,
3899,,3449.542999267578
3899,12.401342391967773,
3949,,3390.601634979248
3949,1.9211769104003906,
3999,,3375.9539127349854
3999,11.633157730102539,
4049,,3492.344856262207
4049,1.7590522766113281,
4099,,3400.2225399017334
4099,12.029886245727539,
4149,,3393.84126663208
4149,1.6989707946777344,
4199,,3550.6908893585205
4199,14.681577682495117,
4249,,3317.0552253723145
4249,1.7173290252685547,
4299,,3392.98415184021
4299,12.236595153808594,
4349,,3457.2067260742188
4349,0.7164478302001953,
4399,,3440.579652786255
4399,15.091419219970703,
4449,,3500.0555515289307
4449,4.206180572509766,
4499,,3340.153694152832
4499,12.255668640136719,
4549,,3387.6028060913086
4549,1.1906623840332031,
4599,,3310.901880264282
4599,12.754201889038086,
4649,,3451.719045639038
4649,3.362894058227539,
4699,,3447.519540786743
4699,11.698246002197266,
4749,,3422.452449798584
4749,0.7126331329345703,
4799,,3397.332191467285
4799,11.388301849365234,
4849,,3320.2033042907715
4849,0.8108615875244141,
4899,,3559.502124786377
4899,13.61536979675293,
4949,,3483.2189083099365
4949,1.588582992553711,
4999,,3429.043769836426
4999,11.695146560668945,
5049,,1260.1518630981445
5049,0.6392002105712891,
5099,,1211.0495567321777
5099,11.554241180419922,
5149,,1185.119867324829
5149,0.5469322204589844,
5199,,1035.2156162261963
5199,11.406898498535156,
5249,,1159.895420074463
5249,0.5545616149902344,
5299,,1272.9966640472412
5299,11.311769485473633,
5349,,1116.4069175720215
5349,0.5040168762207031,
5399,,1075.9987831115723
5399,11.734485626220703,
5449,,1190.26517868042
5449,0.5123615264892578,
5499,,1196.0296630859375
5499,11.032342910766602,
5549,,1206.7279815673828
5549,0.5648136138916016,
5599,,1168.8215732574463
5599,10.865211486816406,
5649,,1059.7095489501953
5649,0.5304813385009766,
5699,,1145.319938659668
5699,11.3677978515625,
5749,,1145.9860801696777
5749,0.537872314453125,
5799,,1103.1672954559326
5799,11.365652084350586,
5849,,1043.428897857666
5849,0.6160736083984375,
5899,,1187.9169940948486
5899,11.241912841796875,
5949,,1209.2280387878418
5949,0.4940032958984375,
5999,,1169.464349746704
5999,11.388540267944336,
6049,,1216.5648937225342
6049,0.5881786346435547,
6099,,1164.0105247497559
6099,11.496782302856445,
6149,,1092.2987461090088
6149,0.514984130859375,
6199,,1157.2761535644531
6199,11.25478744506836,
6249,,1235.459566116333
6249,0.8652210235595703,
6299,,1191.3559436798096
6299,11.25478744506836,
6349,,1276.5867710113525
6349,0.8084774017333984,
6399,,1182.9710006713867
6399,11.304616928100586,
6449,,1202.305555343628
6449,0.5557537078857422,
6499,,1105.7140827178955
6499,10.899066925048828,
6549,,1211.8871212005615
6549,0.5159378051757812,
6599,,1059.4372749328613
6599,10.707616806030273,
6649,,1201.5323638916016
6649,0.5135536193847656,
6699,,1073.3067989349365
6699,11.013031005859375,
6749,,1140.7182216644287
6749,0.5657672882080078,
6799,,1186.9854927062988
6799,11.240005493164062,
6849,,1205.949068069458
6849,0.5533695220947266,
6899,,1231.461524963379
6899,11.350393295288086,
6949,,1235.8601093292236
6949,0.518798828125,
6999,,1080.1377296447754
6999,11.336088180541992,
7049,,1185.521125793457
7049,0.4916191101074219,
7099,,1199.275255203247
7099,11.323690414428711,
7149,,1254.368543624878
7149,0.5965232849121094,
7199,,1079.709768295288
7199,11.06882095336914,
7249,,1041.0351753234863
7249,0.5631446838378906,
7299,,1062.2665882110596
7299,11.563539505004883,
7349,,1110.2001667022705
7349,0.6124973297119141,
7399,,1187.7269744873047
7399,19.183874130249023,
7449,,1241.6863441467285
7449,0.5409717559814453,
7499,,925.896167755127
7499,11.258363723754883,
7549,,1225.2202033996582
7549,0.5297660827636719,
7599,,1187.8528594970703
7599,11.624574661254883,
7649,,1138.0524635314941
7649,1.5647411346435547,
7699,,1216.9299125671387
7699,11.043071746826172,
7749,,1084.4109058380127
7749,0.5545616149902344,
7799,,1222.7766513824463
7799,10.998964309692383,
7849,,1173.4068393707275
7849,0.5135536193847656,
7899,,1126.673936843872
7899,11.070728302001953,
7949,,1021.8422412872314
7949,0.5917549133300781,
7999,,1234.2896461486816
7999,11.631011962890625,
8049,,1285.5212688446045
8049,0.5857944488525391,
8099,,1263.8235092163086
8099,17.791748046875,
8149,,1040.6913757324219
8149,0.5409717559814453,
8199,,1187.941312789917
8199,11.307716369628906,
8249,,1141.869306564331
8249,0.5233287811279297,
8299,,1099.1718769073486
8299,11.34347915649414,
8349,,1173.9580631256104
8349,0.5223751068115234,
8399,,1163.076400756836
8399,11.091232299804688,
8449,,1284.6324443817139
8449,0.4818439483642578,
8499,,1284.8331928253174
8499,11.468887329101562,
8549,,1249.7873306274414
8549,0.5474090576171875,
8599,,1162.4548435211182
8599,10.723352432250977,
8649,,1168.882131576538
8649,0.5021095275878906,
8699,,1165.900468826294
8699,11.328697204589844,
8749,,1185.429334640503
8749,0.5273818969726562,
8799,,1185.084581375122
8799,11.449337005615234,
8849,,1117.4492835998535
8849,0.576019287109375,
8899,,1065.4821395874023
8899,11.424541473388672,
8949,,1146.5685367584229
8949,0.5490779876708984,
8999,,1099.9536514282227
8999,10.948896408081055,
9049,,1175.9374141693115
9049,0.44083595275878906,
9099,,1030.0285816192627
9099,11.458158493041992,
9149,,1049.6971607208252
9149,0.5564689636230469,
9199,,1066.1768913269043
9199,11.193275451660156,
9249,,1058.4497451782227
9249,0.5311965942382812,
9299,,1060.2457523345947
9299,11.691570281982422,
9349,,1156.4607620239258
9349,0.47588348388671875,
9399,,1050.6784915924072
9399,16.764402389526367,
9449,,1045.4187393188477
9449,0.5359649658203125,
9499,,1130.8343410491943
9499,11.417388916015625,
9549,,1089.4625186920166
9549,0.4794597625732422,
9599,,1188.7683868408203
9599,11.047840118408203,
9649,,1216.385841369629
9649,0.5259513854980469,
9699,,1211.1265659332275
9699,11.548042297363281,
9749,,1141.9456005096436
9749,0.5438327789306641,
9799,,1188.3747577667236
9799,15.774011611938477,
9849,,1212.4927043914795
9849,0.6005764007568359,
9899,,1086.9555473327637
9899,11.041879653930664,
9949,,1162.212610244751
9949,0.5009174346923828,
9999,,1239.3312454223633
9999,12.838363647460938,
10049,,1789.2954349517822
10049,1.6894340515136719,
10099,,1768.3029174804688
10099,11.539697647094727,
10149,,1747.931957244873
10149,0.5440711975097656,
10199,,1807.2493076324463
10199,11.18159294128418,
10249,,1761.1453533172607
10249,0.6005764007568359,
10299,,1783.5681438446045
10299,10.969400405883789,
10349,,1765.8514976501465
10349,1.638650894165039,
10399,,1878.2145977020264
10399,11.20305061340332,
10449,,1657.949686050415
10449,0.6096363067626953,
10499,,1810.302495956421
10499,18.538236618041992,
10549,,1650.475025177002
10549,0.5514621734619141,
10599,,1867.4712181091309
10599,11.367082595825195,
10649,,1812.6513957977295
10649,0.6973743438720703,
10699,,1888.83638381958
10699,16.939878463745117,
10749,,1753.6089420318604
10749,0.6084442138671875,
10799,,1790.1864051818848
10799,11.105775833129883,
10849,,1694.1053867340088
10849,0.5402565002441406,
10899,,1636.873722076416
10899,10.956048965454102,
10949,,1739.6633625030518
10949,0.5831718444824219,
10999,,1750.429391860962
10999,11.583089828491211,
11049,,1361.8195056915283
11049,0.6120204925537109,
11099,,1385.101318359375
11099,11.423349380493164,
11149,,1361.936092376709
11149,0.5633831024169922,
11199,,1204.498529434204
11199,11.54947280883789,
11249,,1438.5831356048584
11249,0.5557537078857422,
11299,,1381.7706108093262
11299,19.115924835205078,
11349,,1371.096134185791
11349,1.6138553619384766,
11399,,1360.8684539794922
11399,12.018203735351562,
11449,,1348.20556640625
11449,0.5588531494140625,
11499,,1350.3258228302002
11499,17.865419387817383,
11549,,1360.3990077972412
11549,0.5650520324707031,
11599,,1371.0486888885498
11599,11.036872863769531,
11649,,1372.55859375
11649,1.5959739685058594,
11699,,1288.7070178985596
11699,10.35308837890625,
11749,,1362.185001373291
11749,0.5936622619628906,
11799,,1376.7223358154297
11799,11.713981628417969,
11849,,1313.995361328125
11849,0.5254745483398438,
11899,,1400.9201526641846
11899,19.785642623901367,
11949,,1416.2006378173828
11949,1.0514259338378906,
11999,,1422.2497940063477
11999,11.277198791503906,
12049,,1412.8243923187256
12049,0.5629062652587891,
12099,,1404.9711227416992
12099,11.297464370727539,
12149,,1388.7150287628174
12149,0.6470680236816406,
12199,,1431.0085773468018
12199,11.072874069213867,
12249,,1422.1549034118652
12249,0.5385875701904297,
12299,,1410.372257232666
12299,11.37542724609375,
12349,,1396.2345123291016
12349,1.6505718231201172,
12399,,1374.5510578155518
12399,11.97361946105957,
12449,,1397.2821235656738
12449,0.5955696105957031,
12499,,1366.4605617523193
12499,11.774301528930664,
12549,,1472.8989601135254
12549,0.5736351013183594,
12599,,1359.8062992095947
12599,12.222528457641602,
12649,,1433.2966804504395
12649,0.5872249603271484,
12699,,1385.5857849121094
12699,11.052131652832031,
12749,,1398.7770080566406
12749,0.5974769592285156,
12799,,1389.8179531097412
12799,11.267900466918945,
12849,,1496.589183807373
12849,0.5822181701660156,
12899,,1393.9180374145508
12899,11.626243591308594,
12949,,1389.1594409942627
12949,0.5602836608886719,
12999,,1096.709966659546
12999,15.606880187988281,
13049,,1366.8265342712402
13049,1.6126632690429688,
13099,,1398.6434936523438
13099,18.334150314331055,
13149,,1377.9819011688232
13149,0.7238388061523438,
13199,,1395.6913948059082
13199,11.100053787231445,
13249,,1453.660249710083
13249,0.5927085876464844,
13299,,1392.805814743042
13299,11.478900909423828,
13349,,1387.5372409820557
13349,0.5266666412353516,
13399,,1452.8534412384033
13399,15.355825424194336,
13449,,1457.2830200195312
13449,1.4941692352294922,
13499,,1387.6399993896484
13499,17.49134063720703,
13549,,1399.8277187347412
13549,0.606536865234375,
13599,,1358.8690757751465
13599,11.355876922607422,
13649,,1377.1965503692627
13649,0.5357265472412109,
13699,,1353.696584701538
13699,16.10875129699707,
13749,,1410.9487533569336
13749,0.5702972412109375,
13799,,1385.6639862060547
13799,11.204957962036133,
13849,,1437.0641708374023
13849,0.6175041198730469,
13899,,1375.9303092956543
13899,11.566638946533203,
13949,,1443.4010982513428
13949,0.5896091461181641,
13999,,1397.730827331543
13999,18.836021423339844,
14049,,1396.9242572784424
14049,0.5521774291992188,
14099,,1398.4630107879639
14099,11.57999038696289,
14149,,1460.6883525848389
14149,0.6365776062011719,
14199,,1421.0789203643799
14199,11.789798736572266,
14249,,1420.605182647705
14249,1.0783672332763672,
14299,,1303.9052486419678
14299,18.870115280151367,
14349,,1360.520601272583
14349,0.5757808685302734,
14399,,1446.2103843688965
14399,15.613555908203125,
14449,,1393.9075469970703
14449,0.5941390991210938,
14499,,1364.3004894256592
14499,11.595487594604492,
14549,,1366.875171661377
14549,0.5881786346435547,
14599,,1407.8185558319092
14599,14.98723030090332,
14649,,1401.1900424957275
14649,0.5612373352050781,
14699,,1400.9506702423096
14699,11.473655700683594,
14749,,1382.7521800994873
14749,0.5400180816650391,
14799,,1376.236915588379
14799,11.198043823242188,
14849,,1379.791259765625
14849,0.5595684051513672,
14899,,1361.5679740905762
14899,11.089801788330078,
14949,,1332.8278064727783
14949,0.5707740783691406,
14999,,1298.2044219970703
14999,11.083364486694336,
15049,,1687.7732276916504
15049,0.5865097045898438,
15099,,1839.5626544952393
15099,11.530876159667969,
15149,,1833.5442543029785
15149,0.6151199340820312,
15199,,1770.2224254608154
15199,11.51585578918457,
15249,,1826.9433975219727
15249,0.5865097045898438,
15299,,1675.2662658691406
15299,10.740041732788086,
15349,,1893.6419486999512
15349,0.5524158477783203,
15399,,1842.2086238861084
15399,11.519432067871094,
15449,,1816.946268081665
15449,0.5397796630859375,
15499,,1869.2691326141357
15499,11.76905632019043,
15549,,1831.6857814788818
15549,0.5307197570800781,
15599,,1800.6048202514648
15599,11.810779571533203,
15649,,1840.0495052337646
15649,0.518798828125,
15699,,1845.5770015716553
15699,11.454343795776367,
15749,,1853.6145687103271
15749,0.6225109100341797,
15799,,1818.7239170074463
15799,11.343002319335938,
15849,,1881.3941478729248
15849,0.5369186401367188,
15899,,1913.8314723968506
15899,11.890411376953125,
15949,,1852.8368473052979
15949,0.6415843963623047,
15999,,1862.3008728027344
15999,11.844635009765625,
16049,,1838.970422744751
16049,1.2674331665039062,
16099,,1842.8492546081543
16099,11.352062225341797,
16149,,1843.0907726287842
16149,1.680612564086914,
16199,,1852.0197868347168
16199,14.773130416870117,
16249,,1894.0951824188232
16249,1.54876708984375,
16299,,1838.8254642486572
16299,11.740446090698242,
16349,,1841.531753540039
16349,0.6606578826904297,
16399,,1840.9056663513184
16399,11.464357376098633,
16449,,1852.7109622955322
16449,0.5691051483154297,
16499,,1851.4227867126465
16499,11.510372161865234,
16549,,1866.2223815917969
16549,0.5965232849121094,
16599,,1854.8023700714111
16599,11.195182800292969,
16649,,1848.6278057098389
16649,1.4202594757080078,
16699,,1920.8967685699463
16699,12.148380279541016,
16749,,1854.8495769500732
16749,0.6122589111328125,
16799,,1854.0818691253662
16799,11.732101440429688,
16849,,1860.644817352295
16849,0.5674362182617188,
16899,,1848.872423171997
16899,11.308670043945312,
16949,,1852.6551723480225
16949,0.5984306335449219,
16999,,1832.8795433044434
16999,17.446279525756836,
17049,,1870.9838390350342
17049,0.598907470703125,
17099,,1871.675968170166
17099,11.810302734375,
17149,,1869.1394329071045
17149,0.5991458892822266,
17199,,1898.8409042358398
17199,11.857271194458008,
17249,,1873.6696243286133
17249,1.596689224243164,
17299,,1819.3292617797852
17299,11.251688003540039,
17349,,1843.463659286499
17349,0.5502700805664062,
17399,,1833.6458206176758
17399,11.325359344482422,
17449,,1702.7652263641357
17449,0.5970001220703125,
17499,,1691.6968822479248
17499,11.808156967163086,
17549,,1722.2120761871338
17549,0.5512237548828125,
17599,,1784.550666809082
17599,11.200666427612305,
17649,,1764.1618251800537
17649,0.5698204040527344,
17699,,1727.33736038208
17699,11.651277542114258,
17749,,1774.371862411499
17749,0.6268024444580078,
17799,,1956.4487934112549
17799,16.04437828063965,
17849,,2019.1771984100342
17849,1.744985580444336,
17899,,1899.198055267334
17899,11.855840682983398,
17949,,1838.6235237121582
17949,1.6944408416748047,
17999,,1889.801025390625
17999,11.497735977172852,
18049,,1846.4014530181885
18049,0.5385875701904297,
18099,,1877.78902053833
18099,11.659383773803711,
18149,,1837.7275466918945
18149,0.576019287109375,
18199,,1852.7734279632568
18199,11.151313781738281,
18249,,1915.3923988342285
18249,1.6188621520996094,
18299,,1811.0709190368652
18299,11.31296157836914,
18349,,1856.6348552703857
18349,1.5211105346679688,
18399,,1878.6802291870117
18399,11.221647262573242,
18449,,1858.9398860931396
18449,1.665353775024414,
18499,,1847.0118045806885
18499,11.812925338745117,
18549,,1885.5528831481934
18549,1.2385845184326172,
18599,,1842.7112102508545
18599,11.18016242980957,
18649,,1865.4491901397705
18649,0.5910396575927734,
18699,,1874.5088577270508
18699,11.610269546508789,
18749,,1868.133544921875
18749,0.5888938903808594,
18799,,1879.4867992401123
18799,17.92001724243164,
18849,,1839.310646057129
18849,0.6339550018310547,
18899,,1819.3423748016357
18899,11.708498001098633,
18949,,1848.7277030944824
18949,0.5848407745361328,
18999,,1900.165319442749
18999,11.547327041625977,
19049,,1846.1103439331055
19049,0.60272216796875,
19099,,1837.9454612731934
19099,11.154651641845703,
19149,,1890.2950286865234
19149,0.6291866302490234,
19199,,1911.15403175354
19199,11.63792610168457,
19249,,1832.9925537109375
19249,0.6077289581298828,
19299,,1872.3182678222656
19299,11.233091354370117,
19349,,1829.514741897583
19349,0.6046295166015625,
19399,,1867.1562671661377
19399,12.201547622680664,
19449,,1841.6783809661865
19449,0.6012916564941406,
19499,,1857.304573059082
19499,20.232200622558594,
19549,,1857.067346572876
19549,0.637054443359375,
19599,,1844.1972732543945
19599,11.269807815551758,
19649,,1886.9481086730957
19649,0.5946159362792969,
19699,,1844.6447849273682
19699,11.409997940063477,
19749,,1829.9717903137207
19749,1.2087821960449219,
19799,,1836.9636535644531
19799,11.570930480957031,
19849,,1848.3011722564697
19849,0.5679130554199219,
19899,,1861.680030822754
19899,11.701583862304688,
19949,,1939.1138553619385
19949,0.6155967712402344,
19999,,1874.622106552124
19999,14.858245849609375,
20049,,2027.9459953308105
20049,1.2967586517333984,
20099,,2099.321126937866
20099,18.40972900390625,
20149,,2154.313564300537
20149,3.454446792602539,
20199,,2168.766498565674
20199,11.532783508300781,
20249,,2115.988254547119
20249,1.2679100036621094,
20299,,2026.0443687438965
20299,15.301942825317383,
20349,,2203.245162963867
20349,3.273487091064453,
20399,,2102.8316020965576
20399,11.884689331054688,
20449,,2112.175941467285
20449,3.5817623138427734,
20499,,2154.0324687957764
20499,15.192270278930664,
20549,,2128.3299922943115
20549,3.4630298614501953,
20599,,2077.5136947631836
20599,11.82413101196289,
20649,,2101.9530296325684
20649,1.3689994812011719,
20699,,1863.3613586425781
20699,12.310266494750977,
20749,,2107.646942138672
20749,1.4071464538574219,
20799,,2096.822738647461
20799,11.976242065429688,
20849,,2124.4075298309326
20849,3.116607666015625,
20899,,2053.9870262145996
20899,11.801958084106445,
20949,,2059.849977493286
20949,1.5861988067626953,
20999,,2106.109380722046
20999,11.539697647094727,
21049,,2040.8003330230713
21049,3.461599349975586,
21099,,2165.9669876098633
21099,12.301445007324219,
21149,,2132.692337036133
21149,1.3763904571533203,
21199,,2021.7716693878174
21199,11.494636535644531,
21249,,1924.572229385376
21249,1.2843608856201172,
21299,,2037.5862121582031
21299,11.307001113891602,
21349,,2131.26540184021
