epoch,step,time/epoch (s),time/inter_step (ms),time/intra_step (ms),train/loss,train/quality,train/reward,val/gap,val/makespan,val/reward
,49,,,770.9739208221436,,,,,,
,49,,1.1680126190185547,,,,,,,
,99,,,777.1077156066895,,,,,,
,99,,9.893178939819336,,,,,,,
,149,,,794.1720485687256,,,,,,
,149,,1.157999038696289,,,,,,,
,199,,,819.6172714233398,,,,,,
,199,,13.072013854980469,,,,,,,
,249,,,823.9731788635254,,,,,,
,249,,0.6372928619384766,,,,,,,
,299,,,809.0064525604248,,,,,,
,299,,11.778831481933594,,,,,,,
,349,,,1059.6346855163574,,,,,,
,349,,2.811431884765625,,,,,,,
,399,,,804.9259185791016,,,,,,
,399,,13.69333267211914,,,,,,,
,449,,,804.246187210083,,,,,,
,449,,1.127481460571289,,,,,,,
,499,,,793.7815189361572,,,,,,
,499,,9.428262710571289,,,,,,,
,549,,,802.4585247039795,,,,,,
,549,,2.9799938201904297,,,,,,,
,599,,,780.1299095153809,,,,,,
,599,,8.54349136352539,,,,,,,
,649,,,811.0995292663574,,,,,,
,649,,1.3298988342285156,,,,,,,
,699,,,791.2642955780029,,,,,,
,699,,8.965492248535156,,,,,,,
,749,,,1059.9892139434814,,,,,,
,749,,1.2323856353759766,,,,,,,
,799,,,793.8275337219238,,,,,,
,799,,9.316205978393555,,,,,,,
,849,,,780.8201313018799,,,,,,
,849,,0.5316734313964844,,,,,,,
,899,,,768.4996128082275,,,,,,
,899,,9.243011474609375,,,,,,,
,949,,,765.5975818634033,,,,,,
,949,,1.027822494506836,,,,,,,
,999,,,769.0234184265137,,,,,,
,999,,9.306907653808594,,,,,,,
,1049,,,775.0840187072754,,,,,,
,1049,,1.1899471282958984,,,,,,,
,1099,,,794.4164276123047,,,,,,
,1099,,9.305715560913086,,,,,,,
,1149,,,797.9068756103516,,,,,,
,1149,,1.2478828430175781,,,,,,,
,1199,,,786.6165637969971,,,,,,
,1199,,9.83119010925293,,,,,,,
,1249,,,813.9605522155762,,,,,,
,1249,,3.124237060546875,,,,,,,
,1299,,,800.4374504089355,,,,,,
,1299,,8.260726928710938,,,,,,,
,1349,,,820.0104236602783,,,,,,
,1349,,1.3561248779296875,,,,,,,
,1399,,,797.3248958587646,,,,,,
,1399,,9.176492691040039,,,,,,,
,1449,,,773.7839221954346,,,,,,
,1449,,1.2469291687011719,,,,,,,
,1499,,,809.3461990356445,,,,,,
,1499,,9.872198104858398,,,,,,,
,1549,,,774.2362022399902,,,,,,
,1549,,1.1391639709472656,,,,,,,
,1599,,,1022.7694511413574,,,,,,
,1599,,9.028911590576172,,,,,,,
,1649,,,772.9556560516357,,,,,,
,1649,,1.1305809020996094,,,,,,,
,1699,,,793.4143543243408,,,,,,
