method,generation,n,max_discovery_score,median_discovery_score,mean_discovery_score,q25_discovery_score,q75_discovery_score,best_so_far
full_pair_reweight_only,0,8,0.16549987793,-0.0497506141663,-0.031875538826,-0.113750600815,0.043249464035,0.16549987793
full_pair_reweight_only,1,3,-0.161500740051,-0.167000579834,-0.19950059255,-0.218500518799,-0.164250659943,0.16549987793
full_pair_reweight_only,2,3,0.02799949646,0.0184995651245,-0.0745005289714,-0.125750541687,0.0232495307922,0.16549987793
full_pair_reweight_only,3,3,-0.0075002670288,-0.0525007247925,-0.0593338012695,-0.0852505683899,-0.0300004959106,0.16549987793
full_pair_reweight_only,4,7,0.0584995269775,-0.0915006637573,-0.114500699724,-0.176500511169,-0.0382508277893,0.16549987793
full_pair_reweight_only,5,3,-0.0880004882812,-0.18750038147,-0.670833905538,-0.962250614166,-0.137750434875,0.16549987793
full_pair_reweight_only,6,6,0.0909992218018,-0.138750743866,-0.102750682831,-0.195000600815,-0.0450006008148,0.16549987793
full_pair_reweight_only,7,4,-0.103000831604,-0.258500957489,-0.276375865936,-0.416875934601,-0.118000888824,0.16549987793
full_pair_reweight_only,8,8,0.182999229431,-0.0540004730225,-0.0438757658005,-0.158001041412,0.0351240158081,0.182999229431
full_pair_reweight_only,9,3,0.0089994430542,-0.149500656128,-0.207500712077,-0.315750789642,-0.0702506065369,0.182999229431
geometry_plus_weight_full_pair,0,4,-0.0249996185303,-0.149750232697,-0.130874872208,-0.174999856949,-0.105625247955,-0.0249996185303
geometry_plus_weight_full_pair,1,5,-0.098999786377,-0.161499977112,-0.426999855042,-0.195999717712,-0.138999938965,-0.0249996185303
geometry_plus_weight_full_pair,2,2,-0.068500328064,-0.206500148773,-0.206500148773,-0.275500059128,-0.137500238419,-0.0249996185303
geometry_plus_weight_full_pair,3,1,-0.573000526428,-0.573000526428,-0.573000526428,-0.573000526428,-0.573000526428,-0.0249996185303
geometry_plus_weight_full_pair,4,1,-0.0879999160767,-0.0879999160767,-0.0879999160767,-0.0879999160767,-0.0879999160767,-0.0249996185303
geometry_plus_weight_full_pair,5,1,-0.172999763489,-0.172999763489,-0.172999763489,-0.172999763489,-0.172999763489,-0.0249996185303
geometry_plus_weight_full_pair,7,1,-0.172999763489,-0.172999763489,-0.172999763489,-0.172999763489,-0.172999763489,-0.0249996185303
geometry_plus_weight_non_full_pair,0,5,-0.758499908447,-2.8954996109,-3.7994997406,-3.23350048065,-2.51449966431,-0.758499908447
geometry_plus_weight_non_full_pair,1,4,-2.76900005341,-3.31649971008,-4.10274972916,-4.34687438011,-3.07237505913,-0.758499908447
geometry_plus_weight_non_full_pair,2,5,-0.758499908447,-0.758499908447,-3.04559993744,-2.0594997406,-0.758499908447,-0.758499908447
geometry_plus_weight_non_full_pair,3,5,-0.758499908447,-1.13650054932,-4.27859981537,-4.37649974823,-0.758499908447,-0.758499908447
geometry_plus_weight_non_full_pair,4,5,-0.758499908447,-8.08650093079,-6.35260017395,-10.4619995117,-1.13650054932,-0.758499908447
geometry_plus_weight_non_full_pair,5,3,-0.248500061035,-0.560499572754,-0.490833409627,-0.612000083923,-0.404499816895,-0.248500061035
geometry_plus_weight_non_full_pair,6,6,-0.758499908447,-0.947500228882,-1.35400028229,-1.68250074387,-0.758499908447,-0.248500061035
geometry_plus_weight_non_full_pair,7,5,-0.53450012207,-1.86450080872,-1.45290061951,-1.86450080872,-1.13650054932,-0.248500061035
geometry_plus_weight_non_full_pair,8,6,-0.691500091553,-0.758499908447,-1.08966681163,-0.94000005722,-0.758499908447,-0.248500061035
geometry_plus_weight_non_full_pair,9,5,-0.758499908447,-1.00050010681,-1.60789997101,-1.00050010681,-0.758499908447,-0.248500061035
