run_key,problem,method,generation,candidate_id,score,discovery_score,family_label,family_signature,name,motifs
TSP100_family_aware,TSP100,Family-aware,0,f000_011_cf248071,0.0018651920318606408,-0.0018651920318606408,Cost / Pairwise margin,pairwise_margin|cost_gap|logsigmoid|mean|normalization,loss_logsigmoid_000_cost_normalized_stabilized,extra_regularizer;raw_cost_additive;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,0,f000_006_3c0966c5,-0.013375043106078621,0.013375043106078621,Cost / Pairwise margin,pairwise_margin|cost_gap|logsigmoid|sum|clamp_stabilized,loss_logsigmoid_002_cost_shifted_sum,unstructured_weighted_sum;raw_cost_additive;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,1,f001_006_7a9533f8,-0.010966670608520523,0.010966670608520523,Cost / Pairwise margin,pairwise_margin|cost_gap|logsigmoid|mean|clamp_stabilized,loss_logsigmoid_002_cost_shifted_mean,raw_cost_additive;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,2,f002_014_ec78f8e4,0.4690059169769287,-0.4690059169769287,Cost / Pairwise margin,pairwise_margin|advantage_gap|logsigmoid|mean|clamp_stabilized_normalized,pairwise_cost_advantage_gap_logsigmoid_clamped_weighted_normalized,advantage_heavy;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,2,f002_001_b6517213,-0.012530562973022352,0.012530562973022352,Cost / Pairwise margin,pairwise_margin|cost_gap|logsigmoid|median|clamp_stabilized,loss_logsigmoid_003_cost_shifted_median,raw_cost_additive;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,3,f003_003_ea030664,0.006805638885498233,-0.006805638885498233,Advantage / Pairwise margin,pairwise_margin|advantage_gap|logsigmoid|sum_log_transform|clamp_stabilized,pairwise_advantage_gap_weighted_sumlog_logsigmoid_clamped,advantage_heavy;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,4,f004_009_8bc47121,-0.02145215148925761,0.02145215148925761,Cost / Pairwise margin,pairwise_margin|cost_gap|logsigmoid|median|scale_invariance,loss_logsigmoid_004_cost_shifted_median_normalized,extra_regularizer;raw_cost_additive;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,4,f004_012_52eed4b6,1.1220219722747804,-1.1220219722747804,Regret / Regret,pairwise_regret|delta_regret|exp_decay|sum_normalized|relu_nonnegative,loss_delta_regret_exp_normalized_relu,bounded_or_normalized
TSP100_family_aware,TSP100,Family-aware,4,f004_010_768ce53b,0.016811165237427428,-0.016811165237427428,Cost / Pairwise margin,pairwise_margin|cost_gap|logsigmoid|sum_normalized_l1|scale_invariance,loss_logsigmoid_004_cost_shifted_normalized_l1,extra_regularizer;raw_cost_additive;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,4,f004_005_d9e9b2d8,-0.0030386592864988238,0.0030386592864988238,Rank / Pairwise margin,pairwise_margin|delta_rank|logsigmoid|sum|clamp_stabilized,loss_sum_logsigmoid_delta_rank_shift,unstructured_weighted_sum;raw_cost_additive;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,5,f005_002_1c87f731,-0.0012620826721190248,0.0012620826721190248,Rank / Rank-weighted,pairwise_margin_rank_weighted|advantage_gap_delta_rank|logsigmoid|weighted_mean|clamp_stabilized,loss_logsigmoid_advantage_gap_rank_weighted,advantage_heavy;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,6,f006_008_00926f8a,0.7835154827117923,-0.7835154827117923,Regret / Regret,pairwise_regret|delta_regret|exp_decay|mean_normalized|relu_nonnegative,loss_delta_regret_exp_normalized_mean,bounded_or_normalized
TSP100_family_aware,TSP100,Family-aware,6,f006_009_4b7708f2,-0.005374682617187432,0.005374682617187432,Rank / Rank-weighted,pairwise_margin_rank_weighted|advantage_gap_delta_rank|logsigmoid|weighted_mean|smooth_transform,pairwise_rank_weighted_advantage_loss_smooth_margin,advantage_heavy;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,6,f006_007_6cffb58c,-0.0032081489562982846,0.0032081489562982846,Rank / Pairwise margin,pairwise_margin|delta_rank|logsigmoid|mean|weighted_margin,loss_logsigmoid_delta_rank_weighted_margin,bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,6,f006_015_55f8855f,0.019121609497070313,-0.019121609497070313,Regret / Pairwise margin,pairwise_margin_advantage_regret|advantage_gap_delta_regret|hinge|weighted_mean|clamp_stabilized,pairwise_advantage_regret_margin_loss,advantage_heavy;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,7,f007_007_10a7f956,0.03040526695251522,-0.03040526695251522,Rank / Rank-weighted norm,pairwise_margin_rank_weighted_exp_normalized|advantage_gap_delta_rank|logsigmoid|weighted_mean|smooth_transform_exp,pairwise_smooth_margin_weighted_exp_normalized,advantage_heavy;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,7,f007_006_bd0a9803,-0.008380913162230996,0.008380913162230996,Rank / Pairwise margin,pairwise_margin|delta_rank|logsigmoid|sum|weighted_margin_with_bias,loss_logsigmoid_delta_rank_weighted_margin_with_bias,unstructured_weighted_sum;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,7,f007_002_3d53a833,-0.0011698871612542128,0.0011698871612542128,Rank / Rank-weighted norm,pairwise_margin_rank_weighted_normalized|advantage_gap_delta_rank|logsigmoid|normalized_weighted_mean_with_clip|explicit_normalization_with_clip,pairwise_rank_weighted_advantage_loss_exp_smooth_margin_normalized_sum_to_one_with_clip,advantage_heavy;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,7,f007_001_f0cb97b6,-0.006049733734130314,0.006049733734130314,Rank / Rank-weighted,pairwise_margin_rank_weighted|advantage_gap_delta_rank|logsigmoid|weighted_mean|smooth_transform,pairwise_smooth_margin_rank_weighted_loss_v2,advantage_heavy;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,7,f007_010_fc25fe0b,0.00021535911560066623,-0.00021535911560066623,Rank / Pairwise margin,pairwise_margin|delta_rank|logsigmoid|weighted_mean|normalization,loss_logsigmoid_delta_rank_weighted_margin_normalized,extra_regularizer;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,8,f008_011_d59eecca,-0.005867020797729161,0.005867020797729161,Regret / Pairwise margin,pairwise_margin|delta_regret|logsigmoid|sum|weighted_margin_with_bias_and_scale_stabilized_nonlinear_delta,loss_logsigmoid_delta_regret_weighted_margin_with_bias_and_scale_stabilized_v2,unstructured_weighted_sum;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,8,f008_013_f9624f1c,-0.0066167686462397235,0.0066167686462397235,Rank / Pairwise margin,pairwise_margin|delta_rank|logsigmoid|weighted_mean|weighted_margin_with_bias,loss_logsigmoid_delta_rank_weighted_margin_with_bias_weighted_mean_agg,bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,8,f008_002_972e5d10,-0.014288006973266043,0.014288006973266043,Rank / Rank-weighted norm,pairwise_rank_weighted_normalized|advantage_gap_delta_rank|logsigmoid|normalized_weighted_mean|symmetry_with_explicit_normalization,pairwise_rank_weighted_advantage_loss_symmetry_normalized_sum_to_one,extra_regularizer;advantage_heavy;bounded_or_normalized;logsigmoid_backbone
TSP100_family_aware,TSP100,Family-aware,8,f008_008_6405791f,-0.008750127792358064,0.008750127792358064,Rank / Pairwise margin,pairwise_margin|delta_rank|logsigmoid|sum|weighted_margin_with_scaled_bias,pairwise_margin_bias_shift_scaled,unstructured_weighted_sum;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,8,f008_000_7b65e831,-0.0024480976104732655,0.0024480976104732655,Advantage / Pairwise margin,pairwise_margin|advantage_gap|logsigmoid|sum_normalized|clamp_stabilized,loss_logsigmoid_advantage_gap_pairwise_sum_normalized_v2,advantage_heavy;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,8,f008_007_b7ddd24d,-0.006472298049926106,0.006472298049926106,Rank / Pairwise margin,pairwise_margin|delta_rank|logsigmoid|sum|weighted_margin_with_learnable_bias,loss_logsigmoid_delta_rank_weighted_margin_bias_learnable,unstructured_weighted_sum;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,8,f008_006_8fcaaf73,0.852348743057251,-0.852348743057251,Cost / Cost Weighted,pairwise_cost_weighted|cost_gap|softplus_logsigmoid|normalized_weighted_mean|positive_weight_softplus,pairwise_cost_gap_softplus_logsigmoid_normalized_mean,advantage_heavy;bounded_or_normalized;logsigmoid_backbone
TSP100_family_aware,TSP100,Family-aware,8,f008_009_1363c63d,0.013077221679687945,-0.013077221679687945,Regret / Interaction,pairwise_interaction|cost_gap_delta_regret|exp|log_sum_exp|positive_strict,pairwise_cost_regret_interaction_exp_agg_loss,advantage_heavy
TSP100_family_aware,TSP100,Family-aware,8,f008_015_7ce47577,-0.0047830284118650646,0.0047830284118650646,Rank / Rank-weighted scale,pairwise_margin_rank_weighted_scale_invariant|advantage_gap_delta_rank|logsigmoid|normalized_weighted_mean|scale_invariance_normalization,pairwise_rank_weighted_advantage_loss_scale_invariant_normalized_sum,extra_regularizer;advantage_heavy;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,8,f008_012_0f30c0f1,-0.00750433311462384,0.00750433311462384,Rank / Pairwise margin,pairwise_margin|delta_rank|logsigmoid|mean|weighted_margin_with_bias,loss_logsigmoid_delta_rank_weighted_margin_bias_mean,extra_regularizer;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
TSP100_family_aware,TSP100,Family-aware,8,f008_014_20037da3,0.22672706680297905,-0.22672706680297905,Rank / Pairwise margin,pairwise_margin|delta_rank|logsigmoid_softplus_scaled|sum|weighted_margin_with_bias_scaled_softplus,pairwise_margin_bias_scaled_softplus_loss,unstructured_weighted_sum;bounded_or_normalized;logsigmoid_backbone;plain_pairwise_margin
