problem,method,window,motif,count,total,share
TSP100,Family-aware,all,extra_regularizer,40,160,0.25
TSP100,Family-aware,all,advantage_heavy,94,160,0.5875
TSP100,Family-aware,all,rankprob_or_probabilistic,14,160,0.0875
TSP100,Family-aware,all,advantage_blend_tanh_relu,0,160,0.0
TSP100,Family-aware,all,unstructured_weighted_sum,22,160,0.1375
TSP100,Family-aware,all,raw_cost_additive,40,160,0.25
TSP100,Family-aware,all,bounded_or_normalized,135,160,0.84375
TSP100,Family-aware,all,logsigmoid_backbone,116,160,0.725
TSP100,Family-aware,all,plain_pairwise_margin,90,160,0.5625
TSP100,Family-aware,late_gen_ge_7,extra_regularizer,13,48,0.2708333333333333
TSP100,Family-aware,late_gen_ge_7,advantage_heavy,29,48,0.6041666666666666
TSP100,Family-aware,late_gen_ge_7,rankprob_or_probabilistic,3,48,0.0625
TSP100,Family-aware,late_gen_ge_7,advantage_blend_tanh_relu,0,48,0.0
TSP100,Family-aware,late_gen_ge_7,unstructured_weighted_sum,9,48,0.1875
TSP100,Family-aware,late_gen_ge_7,raw_cost_additive,2,48,0.041666666666666664
TSP100,Family-aware,late_gen_ge_7,bounded_or_normalized,40,48,0.8333333333333334
TSP100,Family-aware,late_gen_ge_7,logsigmoid_backbone,41,48,0.8541666666666666
TSP100,Family-aware,late_gen_ge_7,plain_pairwise_margin,27,48,0.5625
TSP100,Family-disabled,all,extra_regularizer,105,160,0.65625
TSP100,Family-disabled,all,advantage_heavy,141,160,0.88125
TSP100,Family-disabled,all,rankprob_or_probabilistic,42,160,0.2625
TSP100,Family-disabled,all,advantage_blend_tanh_relu,0,160,0.0
TSP100,Family-disabled,all,unstructured_weighted_sum,19,160,0.11875
TSP100,Family-disabled,all,raw_cost_additive,11,160,0.06875
TSP100,Family-disabled,all,bounded_or_normalized,140,160,0.875
TSP100,Family-disabled,all,logsigmoid_backbone,126,160,0.7875
TSP100,Family-disabled,all,plain_pairwise_margin,53,160,0.33125
TSP100,Family-disabled,late_gen_ge_7,extra_regularizer,44,48,0.9166666666666666
TSP100,Family-disabled,late_gen_ge_7,advantage_heavy,47,48,0.9791666666666666
TSP100,Family-disabled,late_gen_ge_7,rankprob_or_probabilistic,18,48,0.375
TSP100,Family-disabled,late_gen_ge_7,advantage_blend_tanh_relu,0,48,0.0
TSP100,Family-disabled,late_gen_ge_7,unstructured_weighted_sum,6,48,0.125
TSP100,Family-disabled,late_gen_ge_7,raw_cost_additive,0,48,0.0
TSP100,Family-disabled,late_gen_ge_7,bounded_or_normalized,46,48,0.9583333333333334
TSP100,Family-disabled,late_gen_ge_7,logsigmoid_backbone,31,48,0.6458333333333334
TSP100,Family-disabled,late_gen_ge_7,plain_pairwise_margin,13,48,0.2708333333333333
FFSP100,Family-aware,all,extra_regularizer,36,160,0.225
FFSP100,Family-aware,all,advantage_heavy,157,160,0.98125
FFSP100,Family-aware,all,rankprob_or_probabilistic,45,160,0.28125
FFSP100,Family-aware,all,advantage_blend_tanh_relu,0,160,0.0
FFSP100,Family-aware,all,unstructured_weighted_sum,22,160,0.1375
FFSP100,Family-aware,all,raw_cost_additive,3,160,0.01875
FFSP100,Family-aware,all,bounded_or_normalized,122,160,0.7625
FFSP100,Family-aware,all,logsigmoid_backbone,120,160,0.75
FFSP100,Family-aware,all,plain_pairwise_margin,95,160,0.59375
FFSP100,Family-aware,late_gen_ge_7,extra_regularizer,4,48,0.08333333333333333
FFSP100,Family-aware,late_gen_ge_7,advantage_heavy,48,48,1.0
FFSP100,Family-aware,late_gen_ge_7,rankprob_or_probabilistic,14,48,0.2916666666666667
FFSP100,Family-aware,late_gen_ge_7,advantage_blend_tanh_relu,0,48,0.0
FFSP100,Family-aware,late_gen_ge_7,unstructured_weighted_sum,3,48,0.0625
FFSP100,Family-aware,late_gen_ge_7,raw_cost_additive,0,48,0.0
FFSP100,Family-aware,late_gen_ge_7,bounded_or_normalized,41,48,0.8541666666666666
FFSP100,Family-aware,late_gen_ge_7,logsigmoid_backbone,41,48,0.8541666666666666
FFSP100,Family-aware,late_gen_ge_7,plain_pairwise_margin,34,48,0.7083333333333334
FFSP100,Family-disabled,all,extra_regularizer,22,160,0.1375
FFSP100,Family-disabled,all,advantage_heavy,145,160,0.90625
FFSP100,Family-disabled,all,rankprob_or_probabilistic,38,160,0.2375
FFSP100,Family-disabled,all,advantage_blend_tanh_relu,65,160,0.40625
FFSP100,Family-disabled,all,unstructured_weighted_sum,31,160,0.19375
FFSP100,Family-disabled,all,raw_cost_additive,4,160,0.025
FFSP100,Family-disabled,all,bounded_or_normalized,123,160,0.76875
FFSP100,Family-disabled,all,logsigmoid_backbone,39,160,0.24375
FFSP100,Family-disabled,all,plain_pairwise_margin,103,160,0.64375
FFSP100,Family-disabled,late_gen_ge_7,extra_regularizer,5,48,0.10416666666666667
FFSP100,Family-disabled,late_gen_ge_7,advantage_heavy,45,48,0.9375
FFSP100,Family-disabled,late_gen_ge_7,rankprob_or_probabilistic,10,48,0.20833333333333334
FFSP100,Family-disabled,late_gen_ge_7,advantage_blend_tanh_relu,22,48,0.4583333333333333
FFSP100,Family-disabled,late_gen_ge_7,unstructured_weighted_sum,9,48,0.1875
FFSP100,Family-disabled,late_gen_ge_7,raw_cost_additive,0,48,0.0
FFSP100,Family-disabled,late_gen_ge_7,bounded_or_normalized,38,48,0.7916666666666666
FFSP100,Family-disabled,late_gen_ge_7,logsigmoid_backbone,8,48,0.16666666666666666
FFSP100,Family-disabled,late_gen_ge_7,plain_pairwise_margin,32,48,0.6666666666666666
