condition,condition_label,axis,bin,x_mid,y_mean,y_q25,y_q75,count
source,FFSP100 ckpt @ FFSP100,margin_norm,0.0,0.03578865900635719,1.0,1.0,1.0,163.0
source,FFSP100 ckpt @ FFSP100,margin_norm,1.0,0.111661896109581,1.0,1.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,2.0,0.17465756088495255,1.0,1.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,3.0,0.25174252688884735,0.9876543209876543,1.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,4.0,0.323451429605484,0.9197530864197531,1.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,5.0,0.3960864990949631,0.8950617283950617,1.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,6.0,0.47852885723114014,0.7901234567901234,1.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,7.0,0.567245215177536,0.7098765432098766,0.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,8.0,0.6434234976768494,0.6012269938650306,0.0,1.0,163.0
source,FFSP100 ckpt @ FFSP100,margin_norm,9.0,0.7188582122325897,0.5740740740740741,0.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,10.0,0.8148195147514343,0.5370370370370371,0.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,11.0,0.9045705795288086,0.48148148148148145,0.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,12.0,1.0127894282341003,0.5185185185185185,0.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,13.0,1.1139342784881592,0.4012345679012346,0.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,14.0,1.2213367819786072,0.37037037037037035,0.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,15.0,1.3378078937530518,0.4506172839506173,0.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,16.0,1.4605997800827026,0.3558282208588957,0.0,1.0,163.0
source,FFSP100 ckpt @ FFSP100,margin_norm,17.0,1.591866374015808,0.3395061728395062,0.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,18.0,1.7152256965637207,0.25925925925925924,0.0,1.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,19.0,1.8872488141059875,0.25308641975308643,0.0,0.75,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,20.0,2.0802979469299316,0.24691358024691357,0.0,0.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,21.0,2.3266191482543945,0.15432098765432098,0.0,0.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,22.0,2.6458455324172974,0.1419753086419753,0.0,0.0,162.0
source,FFSP100 ckpt @ FFSP100,margin_norm,23.0,3.263824224472046,0.12269938650306748,0.0,0.0,163.0
source,FFSP100 ckpt @ FFSP100,rank_span,0.0,0.04347825050354004,1.0,1.0,1.0,127.0
source,FFSP100 ckpt @ FFSP100,rank_span,1.0,0.08695651590824127,1.0,1.0,1.0,175.0
source,FFSP100 ckpt @ FFSP100,rank_span,2.0,0.13043475151062012,1.0,1.0,1.0,103.0
source,FFSP100 ckpt @ FFSP100,rank_span,3.0,0.1304347813129425,0.9475982532751092,1.0,1.0,229.0
source,FFSP100 ckpt @ FFSP100,rank_span,4.0,0.17391303181648254,0.9090909090909091,1.0,1.0,143.0
source,FFSP100 ckpt @ FFSP100,rank_span,5.0,0.17391306161880493,0.8654970760233918,1.0,1.0,171.0
source,FFSP100 ckpt @ FFSP100,rank_span,6.0,0.21739129722118378,0.7413793103448276,0.25,1.0,58.0
source,FFSP100 ckpt @ FFSP100,rank_span,7.0,0.21739131212234497,0.8156424581005587,1.0,1.0,179.0
source,FFSP100 ckpt @ FFSP100,rank_span,8.0,0.260869562625885,0.6197718631178707,0.0,1.0,263.0
source,FFSP100 ckpt @ FFSP100,rank_span,10.0,0.30434781312942505,0.6319702602230484,0.0,1.0,269.0
source,FFSP100 ckpt @ FFSP100,rank_span,11.0,0.3478260636329651,0.4927536231884058,0.0,1.0,207.0
source,FFSP100 ckpt @ FFSP100,rank_span,12.0,0.3695652186870575,0.5208333333333334,0.0,1.0,96.0
source,FFSP100 ckpt @ FFSP100,rank_span,13.0,0.3913043439388275,0.4230769230769231,0.0,1.0,208.0
source,FFSP100 ckpt @ FFSP100,rank_span,14.0,0.43478259444236755,0.40625,0.0,1.0,96.0
source,FFSP100 ckpt @ FFSP100,rank_span,15.0,0.43478262424468994,0.44886363636363635,0.0,1.0,176.0
source,FFSP100 ckpt @ FFSP100,rank_span,16.0,0.47826087474823,0.3263888888888889,0.0,1.0,144.0
source,FFSP100 ckpt @ FFSP100,rank_span,17.0,0.52173912525177,0.296875,0.0,1.0,192.0
source,FFSP100 ckpt @ FFSP100,rank_span,18.0,0.5652173757553101,0.2727272727272727,0.0,1.0,176.0
source,FFSP100 ckpt @ FFSP100,rank_span,19.0,0.6086956560611725,0.3125,0.0,1.0,224.0
source,FFSP100 ckpt @ FFSP100,rank_span,20.0,0.6521739363670349,0.2767857142857143,0.0,1.0,112.0
source,FFSP100 ckpt @ FFSP100,rank_span,21.0,0.7391303777694702,0.17307692307692307,0.0,0.0,208.0
source,FFSP100 ckpt @ FFSP100,rank_span,22.0,0.782608687877655,0.1875,0.0,0.0,144.0
source,FFSP100 ckpt @ FFSP100,rank_span,23.0,0.8913043737411499,0.15625,0.0,0.0,192.0
source,FFSP100 ckpt @ FFSP100,delta_cost,6.0,1.0,0.8672654690618763,1.0,1.0,1002.0
source,FFSP100 ckpt @ FFSP100,delta_cost,11.0,2.0,0.6523867809057528,0.0,1.0,817.0
