condition,condition_label,delta_cost,gap_mad,rank_span,margin_norm,raw_margin_rank,first_clamp,pre_final,final_weight,log_pre_over_upper,upper_clip
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.17391300201416016,0.8473438620567322,0.7782883048057556,0.7782883048057556,4.47515869140625,2.5,0.8400107622146606,1.0
source,FFSP100 ckpt @ FFSP100,2.0,2.0,0.30434781312942505,3.33599591255188,0.3983813524246216,0.3983813524246216,1.3089673519134521,1.3089673519134521,-0.9334989786148071,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.21739131212234497,1.856104850769043,0.5159749388694763,0.5159749388694763,2.3734846115112305,2.3734846115112305,-0.07492136210203171,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.260869562625885,0.1572120636701584,2.3869423866271973,2.3869423866271973,9.149946212768555,2.5,1.8718351125717163,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.695652186870575,0.3402723968029022,1.8522647619247437,1.8522647619247437,2.662630558013916,2.5,0.09092424064874649,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.739130437374115,1.00264573097229,0.9742240905761719,0.9742240905761719,1.3180679082870483,1.3180679082870483,-0.9235033988952637,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.08695652335882187,0.8494643568992615,0.6694406867027283,0.6694406867027283,7.698567867279053,2.5,1.62266206741333,1.0
source,FFSP100 ckpt @ FFSP100,3.0,3.0,0.52173912525177,1.1537424325942993,0.854829728603363,0.854829728603363,1.6384236812591553,1.6384236812591553,-0.6096196174621582,0.0
source,FFSP100 ckpt @ FFSP100,7.0,7.0,0.8695651888847351,1.187616229057312,0.8904561996459961,0.8904561996459961,1.0240246057510376,1.0240246057510376,-1.2876776456832886,0.0
source,FFSP100 ckpt @ FFSP100,8.0,8.0,1.0,3.6762683391571045,0.45481961965560913,0.45481961965560913,0.45481961965560913,0.45481961965560913,-2.458561658859253,0.0
source,FFSP100 ckpt @ FFSP100,1.0,1.0,0.1304347813129425,0.4685908555984497,1.0361413955688477,1.0361413955688477,7.943750858306885,2.5,1.6678922176361084,1.0
source,FFSP100 ckpt @ FFSP100,6.0,6.0,0.782608687877655,0.1186102107167244,3.5231659412384033,2.5,3.194444417953491,2.5,0.3536369800567627,1.0
