problem,problem_label,condition,condition_label,target_size,bin,delta_cost_min,delta_cost_max,delta_cost_mid,weight_mean,weight_q25,weight_q75,count
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,0.0,4.76837158203125e-07,0.00202178955078125,0.0002484321594238281,0.2351284480030027,0.20000000298023224,0.20000000298023224,4777.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,1.0,0.0020227432250976562,0.006156444549560547,0.0038890838623046875,0.44313316218129867,0.20000000298023224,0.20000000298023224,4995.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,2.0,0.00615692138671875,0.01073455810546875,0.00820302963256836,0.4559775448235008,0.20000000298023224,0.36170995235443115,4881.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,3.0,0.010739326477050781,0.01689624786376953,0.013613224029541016,0.6288368000900836,0.20000000298023224,0.5871712863445282,4891.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,4.0,0.01689910888671875,0.025593280792236328,0.020678997039794922,0.4678845173338862,0.20000000298023224,0.4869719669222832,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,5.0,0.02560567855834961,0.04275703430175781,0.0333096981048584,0.5184401285926484,0.20000000298023224,0.5806743204593658,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,6.0,0.042757511138916016,0.06944799423217773,0.053516387939453125,0.646651537422026,0.20000000298023224,0.7124649882316589,4885.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,7.0,0.06945037841796875,0.12780189514160156,0.08874893188476562,0.8564660903596185,0.20000000298023224,1.3577929139137268,4887.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,8.0,0.12783336639404297,0.23359203338623047,0.18289852142333984,1.8731911064804552,1.0326049029827118,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,9.0,0.23360538482666016,0.3509998321533203,0.2857050895690918,2.2326244627641354,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,10.0,0.3510141372680664,0.45002174377441406,0.39849352836608887,2.408508612250896,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,11.0,0.45004940032958984,0.5516915321350098,0.49712467193603516,2.47894962848514,2.5,2.5,4885.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,12.0,0.5517101287841797,0.6496529579162598,0.6037838459014893,2.4801378067868,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,13.0,0.649653434753418,0.7705082893371582,0.7074203491210938,2.4812575261975107,2.5,2.5,4887.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,14.0,0.7706241607666016,0.894688606262207,0.8299775123596191,2.4991176966280415,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,15.0,0.8947439193725586,1.081850528717041,0.9867267608642578,2.4993128042992208,2.5,2.5,4885.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,16.0,1.0818510055541992,1.2888679504394531,1.181495189666748,2.499808739098591,2.5,2.5,4887.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,17.0,1.2888760566711426,1.515732765197754,1.391678810119629,2.499792754113357,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,18.0,1.5157442092895508,1.7977628707885742,1.6590371131896973,2.5,2.5,2.5,4884.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,19.0,1.7978081703186035,2.0416736602783203,1.9115509986877441,2.5,2.5,2.5,4888.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,20.0,2.0418295860290527,2.3199334144592285,2.166354179382324,2.5,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,21.0,2.320283889770508,2.714395046234131,2.4856863021850586,2.5,2.5,2.5,4886.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,22.0,2.714657783508301,3.338817596435547,2.9759716987609863,2.5,2.5,2.5,4885.0
tsp100,TSP,search,TSP100 ckpt @ TSP100,100,23.0,3.3388710021972656,6.137021064758301,4.012145042419434,2.5,2.5,2.5,4887.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,3.0,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07,1.6458629241837681,0.20000000298023224,2.5,3797.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,4.0,9.5367431640625e-07,0.0032501220703125,0.0007686614990234375,1.4855054688674432,0.20000000298023224,2.5,1431.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,5.0,0.003250598907470703,0.005896568298339844,0.004300594329833984,2.0858543700080356,2.1714906096458435,2.5,1126.0
tsp100,TSP,transfer,TSP50 ckpt @ TSP50,50,6.0,0.005897045135498047,0.010778427124023438,0.008059024810791016,1.487828219339126,0.34086763858795166,2.5,1067.0
