dataset,bank,candidate,probe,geometry,steps,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
matched,scratch,0,0,initial,0,1.0,6.505213034913027e-19,0.0,0.01,0.0,0.0
matched,scratch,0,0,p_euclidean,30,1.0,2.168404344971009e-18,1.160682227413501e-12,0.00945771106966255,0.0,0.0299999735618344
matched,scratch,0,0,fisher,30,1.0,1.3552527156068805e-20,7.165930175634383e-13,0.009467251957461618,0.0,0.029999058272445537
matched,scratch,0,0,p_euclidean,60,1.0,1.734723475976807e-18,1.993641254686984e-12,0.009457695197278454,0.0,0.029999973541879228
matched,scratch,0,0,fisher,60,1.0,1.3552527156068805e-20,1.5590724241135168e-12,0.009467398769173577,0.0,0.029999057500772565
matched,scratch,0,1,initial,0,1.0,8.673617379884035e-19,0.0,0.01,0.0,0.0
matched,scratch,0,1,p_euclidean,30,1.0,2.168404344971009e-18,6.156748288271841e-13,0.009466034896903503,0.0,0.029999978984090018
matched,scratch,0,1,fisher,30,1.0,1.3552527156068805e-20,6.156748288271841e-13,0.009475521454296901,0.0,0.029999091440833774
matched,scratch,0,1,p_euclidean,60,1.0,2.3852447794681098e-18,1.105462834986859e-12,0.009466018928669844,0.0,0.029999978972321203
matched,scratch,0,1,fisher,60,1.0,1.3552527156068805e-20,1.993641254686984e-12,0.00947566716221037,0.0,0.029999090692699976
matched,scratch,0,2,initial,0,1.0000000000000002,1.734723475976807e-18,0.0,0.01,0.0,0.0
matched,scratch,0,2,p_euclidean,30,1.0000000000000002,2.6020852139652106e-18,6.156748288271841e-13,0.009452544892147769,0.0,0.029999972922676674
matched,scratch,0,2,fisher,30,1.0000000000000002,1.6940658945086007e-20,6.156748288271841e-13,0.009462708727421634,0.0,0.02999908900489846
matched,scratch,0,2,p_euclidean,60,1.0000000000000002,2.168404344971009e-18,1.105462834986859e-12,0.009452511925004048,0.0,0.029999972896859295
matched,scratch,0,2,fisher,60,1.0000000000000002,1.6940658945086007e-20,1.993641254686984e-12,0.009462849887464757,0.0,0.029999088232589705
matched,scratch,0,3,initial,0,1.0,1.3010426069826053e-18,0.0,0.01,0.0,0.0
matched,scratch,0,3,p_euclidean,30,1.0,2.168404344971009e-18,6.156748288271841e-13,0.009418290529024199,0.0,0.029999966420279293
matched,scratch,0,3,fisher,30,1.0,1.6940658945086007e-20,7.165930175634383e-13,0.009430292834882751,0.0,0.029999056236777934
matched,scratch,0,3,p_euclidean,60,1.0,2.6020852139652106e-18,1.993641254686984e-12,0.009418256870955469,0.0,0.029999966389976436
matched,scratch,0,3,fisher,60,1.0,1.3552527156068805e-20,2.8818196743871094e-12,0.009430463991685482,0.0,0.029999055448968553
matched,scratch,0,4,initial,0,1.0,1.0842021724855044e-19,0.0,0.01,0.0,0.0
matched,scratch,0,4,p_euclidean,30,1.0,2.0599841277224584e-18,1.160682227413501e-12,0.009375299655975593,0.0,0.02999995874620922
matched,scratch,0,4,fisher,30,1.0,1.0164395367051604e-20,7.165930175634383e-13,0.009389120529995954,0.0,0.029999063775237443
matched,scratch,0,4,p_euclidean,60,1.0,1.8431436932253575e-18,1.993641254686984e-12,0.009375251274066269,0.0,0.029999958694056316
matched,scratch,0,4,fisher,60,1.0,1.0164395367051604e-20,1.5590724241135168e-12,0.009389308319691255,0.0,0.029999063021388616
matched,scratch,0,5,initial,0,0.9999999999999998,1.0842021724855044e-19,0.0,0.01,0.0,0.0
matched,scratch,0,5,p_euclidean,30,0.9999999999999998,1.8431436932253575e-18,6.156748288271841e-13,0.009420048184905348,0.0,0.02999997845478947
matched,scratch,0,5,fisher,30,0.9999999999999998,1.3552527156068805e-20,7.165930175634383e-13,0.009432095716967695,0.0,0.029999067596857804
matched,scratch,0,5,p_euclidean,60,0.9999999999999998,1.8431436932253575e-18,1.993641254686984e-12,0.009420012528617086,0.0,0.029999978428912884
matched,scratch,0,5,fisher,60,0.9999999999999998,1.5246593050577406e-20,1.993641254686984e-12,0.009432265706840717,0.0,0.029999066824504084
matched,scratch,0,6,initial,0,1.0,6.505213034913027e-19,0.0,0.01,0.0,0.0
matched,scratch,0,6,p_euclidean,30,1.0,2.3852447794681098e-18,1.5038532485273093e-12,0.009501672517766976,0.0,0.029999957068996663
matched,scratch,0,6,fisher,30,1.0,1.8634724839594607e-20,1.0597640386772467e-12,0.009509650608539772,0.0,0.029999095688953134
matched,scratch,0,6,p_euclidean,60,1.0,3.0357660829594124e-18,1.993641254686984e-12,0.009501674935144429,0.0,0.02999995703850135
matched,scratch,0,6,fisher,60,1.0,1.8634724839594607e-20,1.5590724241135168e-12,0.009509788289846121,0.0,0.0299990949022995
matched,scratch,0,7,initial,0,1.0,8.673617379884035e-19,0.0,0.01,0.0,0.0
matched,scratch,0,7,p_euclidean,30,1.0,3.0357660829594124e-18,7.165930175634383e-13,0.009430652445037933,0.0,0.029999961744815985
matched,scratch,0,7,fisher,30,1.0,2.0328790734103208e-20,1.160682227413501e-12,0.009441840003582527,0.0,0.029999070257178895
matched,scratch,0,7,p_euclidean,60,1.0,2.6020852139652106e-18,2.8818196743871094e-12,0.009430593046098461,0.0,0.029999961695283316
matched,scratch,0,7,fisher,60,1.0,1.6940658945086007e-20,1.993641254686984e-12,0.009441973710870409,0.0,0.029999069489843797
matched,scratch,0,8,initial,0,1.0,2.168404344971009e-19,0.0,0.01,0.0,0.0
matched,scratch,0,8,p_euclidean,30,1.0,2.222614453595284e-18,7.165930175634383e-13,0.009494264743291236,0.0,0.029999960971345413
matched,scratch,0,8,fisher,30,1.0,1.1858461261560205e-20,7.165930175634383e-13,0.009502539370605153,0.0,0.029999092548926243
matched,scratch,0,8,p_euclidean,60,1.0,2.3852447794681098e-18,2.8818196743871094e-12,0.00949424149739601,0.0,0.029999960940391195
matched,scratch,0,8,fisher,60,1.0,2.202285662861181e-20,1.993641254686984e-12,0.009502657988525244,0.0,0.029999091766772935
matched,scratch,0,9,initial,0,1.0,3.3881317890172014e-21,0.0,0.01,0.0,0.0
matched,scratch,0,9,p_euclidean,30,1.0,2.168404344971009e-18,1.0597640386772467e-12,0.00944910496849927,0.0,0.029999975746792685
matched,scratch,0,9,fisher,30,1.0,1.3552527156068805e-20,7.165930175634383e-13,0.009459218063682212,0.0,0.029999064731752876
matched,scratch,0,9,p_euclidean,60,1.0,2.168404344971009e-18,2.447250843813642e-12,0.00944906893060526,0.0,0.029999975716845123
matched,scratch,0,9,fisher,60,1.0,1.3552527156068805e-20,2.8818196743871094e-12,0.009459355652485221,0.0,0.029999063953729158
matched,scratch,0,10,initial,0,1.0,1.0842021724855044e-19,0.0,0.01,0.0,0.0
matched,scratch,0,10,p_euclidean,30,1.0,2.2768245622195593e-18,6.156748288271841e-13,0.009444145044081675,0.0,0.029999968337723247
matched,scratch,0,10,fisher,30,1.0,1.8634724839594607e-20,6.156748288271841e-13,0.009454922347203142,0.0,0.029999088483828026
matched,scratch,0,10,p_euclidean,60,1.0,2.168404344971009e-18,1.105462834986859e-12,0.009444120989110936,0.0,0.029999968296421358
matched,scratch,0,10,fisher,60,1.0,1.8634724839594607e-20,1.993641254686984e-12,0.009455081940121653,0.0,0.029999087730068645
matched,scratch,0,11,initial,0,0.9999999999999999,1.5178830414797062e-18,0.0,0.01,0.0,0.0
matched,scratch,0,11,p_euclidean,30,0.9999999999999999,1.5178830414797062e-18,1.160682227413501e-12,0.009461710136771766,0.0,0.02999997616918211
matched,scratch,0,11,fisher,30,0.9999999999999999,1.3552527156068805e-20,6.156748288271841e-13,0.009471614840245468,0.0,0.029999094105416298
matched,scratch,0,11,p_euclidean,60,0.9999999999999999,1.951563910473908e-18,2.447250843813642e-12,0.009461694715525477,0.0,0.029999976144711858
matched,scratch,0,11,fisher,60,0.9999999999999999,1.3552527156068805e-20,1.993641254686984e-12,0.009471767948601797,0.0,0.029999093375743125
matched,scratch,0,12,initial,0,1.0,8.673617379884035e-19,0.0,0.01,0.0,0.0
matched,scratch,0,12,p_euclidean,30,1.0,2.6020852139652106e-18,1.0597640386772467e-12,0.009459770512858252,0.0,0.029999974843406597
matched,scratch,0,12,fisher,30,1.0,2.0328790734103208e-20,1.160682227413501e-12,0.00946979185840299,0.0,0.02999907413745182
matched,scratch,0,12,p_euclidean,60,1.0,2.168404344971009e-18,1.993641254686984e-12,0.00945974213325883,0.0,0.02999997481938045
matched,scratch,0,12,fisher,60,1.0,3.049318610115481e-20,1.993641254686984e-12,0.009469934889268155,0.0,0.029999073365320334
matched,scratch,0,13,initial,0,0.9999999999999999,1.0842021724855044e-19,0.0,0.01,0.0,0.0
matched,scratch,0,13,p_euclidean,30,0.9999999999999999,2.168404344971009e-18,6.156748288271841e-13,0.009440588778897908,0.0,0.029999959845964867
matched,scratch,0,13,fisher,30,0.9999999999999999,1.1434944787933055e-20,7.165930175634383e-13,0.009451445647398657,0.0,0.029999091045937683
matched,scratch,0,13,p_euclidean,60,0.9999999999999999,2.656295322589486e-18,1.993641254686984e-12,0.009440555864580705,0.0,0.029999959814374096
matched,scratch,0,13,fisher,60,0.9999999999999999,1.8211208365967457e-20,1.105462834986859e-12,0.00945159829666949,0.0,0.02999909030661224
matched,scratch,0,14,initial,0,1.0,6.505213034913027e-19,0.0,0.01,0.0,0.0
matched,scratch,0,14,p_euclidean,30,1.0,1.734723475976807e-18,1.160682227413501e-12,0.009473102951033527,0.0,0.02999997620826346
matched,scratch,0,14,fisher,30,1.0,1.5246593050577406e-20,1.160682227413501e-12,0.009482269644600187,0.0,0.02999905553563114
matched,scratch,0,14,p_euclidean,60,1.0,2.2768245622195593e-18,1.993641254686984e-12,0.009473093946399244,0.0,0.029999976191239387
matched,scratch,0,14,fisher,60,1.0,1.6940658945086007e-20,1.993641254686984e-12,0.009482416552783188,0.0,0.029999054754986876
matched,scratch,0,15,initial,0,0.9999999999999998,1.3010426069826053e-18,0.0,0.01,0.0,0.0
matched,scratch,0,15,p_euclidean,30,0.9999999999999998,1.5178830414797062e-18,6.156748288271841e-13,0.009490814140679087,0.0,0.029999966224828083
matched,scratch,0,15,fisher,30,0.9999999999999998,1.3552527156068805e-20,7.165930175634383e-13,0.009499097880432494,0.0,0.029999078171730087
matched,scratch,0,15,p_euclidean,60,0.9999999999999998,2.168404344971009e-18,1.105462834986859e-12,0.009490780319670461,0.0,0.02999996619867022
matched,scratch,0,15,fisher,60,0.9999999999999998,2.0328790734103208e-20,1.105462834986859e-12,0.009499206830519337,0.0,0.029999077389606013
matched,scratch,1,0,initial,0,0.9999999999999999,8.881784197001252e-15,0.0,0.01,0.0,0.0
matched,scratch,1,0,p_euclidean,30,0.9999999999999999,2.0463630789890885e-12,6.156748288271841e-13,0.009415846607130485,0.0,0.029999826493422664
matched,scratch,1,0,fisher,30,0.9999999999999999,1.5987211554602254e-14,7.165930175634383e-13,0.009429688697783364,0.0,0.029999273710917203
matched,scratch,1,0,p_euclidean,60,0.9999999999999999,2.5011104298755527e-12,1.105462834986859e-12,0.009415764556617348,0.0,0.02999982639247682
matched,scratch,1,0,fisher,60,0.9999999999999999,1.4210854715202004e-14,1.993641254686984e-12,0.009429844496568713,0.0,0.029999273139798038
matched,scratch,1,1,initial,0,1.0000000000000002,3.552713678800501e-15,0.0,0.01,0.0,0.0
matched,scratch,1,1,p_euclidean,30,1.0000000000000002,2.5011104298755527e-12,1.0597640386772467e-12,0.009408517885101785,0.0,0.029999836632120382
matched,scratch,1,1,fisher,30,1.0000000000000002,1.2434497875801753e-14,1.160682227413501e-12,0.009421358079319335,0.0,0.029999342549964586
matched,scratch,1,1,p_euclidean,60,1.0000000000000002,1.8189894035458565e-12,1.5590724241135168e-12,0.009408455191265427,0.0,0.029999836538813232
matched,scratch,1,1,fisher,60,1.0000000000000002,1.4210854715202004e-14,1.993641254686984e-12,0.009421515171446872,0.0,0.02999934200996443
matched,scratch,1,2,initial,0,0.9999999999999999,2.2737367544323206e-13,0.0,0.01,0.0,0.0
matched,scratch,1,2,p_euclidean,30,0.9999999999999999,1.8189894035458565e-12,7.165930175634383e-13,0.0092942843158545,0.0,0.02999968213804256
matched,scratch,1,2,fisher,30,0.9999999999999999,1.2434497875801753e-14,1.160682227413501e-12,0.009314561059208984,0.0,0.029999075709561035
matched,scratch,1,2,p_euclidean,60,0.9999999999999999,1.7053025658242404e-12,1.993641254686984e-12,0.00929415072043006,0.0,0.02999968185443355
matched,scratch,1,2,fisher,60,0.9999999999999999,1.4210854715202004e-14,1.993641254686984e-12,0.009314776297344726,0.0,0.029999074936674582
matched,scratch,1,3,initial,0,1.0,2.2737367544323206e-13,0.0,0.01,0.0,0.0
matched,scratch,1,3,p_euclidean,30,1.0,2.0463630789890885e-12,1.0597640386772467e-12,0.00931731980599084,0.0,0.02999975836543904
matched,scratch,1,3,fisher,30,1.0,1.0658141036401503e-14,6.156748288271841e-13,0.009336980249382102,0.0,0.029999233888893244
