length,steps,bank,candidate,probe,geometry,initial_cosine,max_sum_error,max_step_error,minimum_probability,stationary_fraction,endpoint_fr_distance
0.06,30,scratch,0,0,p_euclidean,0.9999999999999999,3.469446951953614e-18,4.597524617955262e-13,0.008990794026896988,0.0,0.059999999341744464
0.06,30,scratch,0,0,fisher,0.9999999999999999,2.371692252312041e-20,4.597524617955262e-13,0.009022378987135694,0.0,0.05999280813335603
0.06,30,scratch,0,1,p_euclidean,0.9999999999999999,2.8189256484623115e-18,4.597524617955262e-13,0.008987838578651555,0.0,0.05999999959127121
0.06,30,scratch,0,1,fisher,0.9999999999999999,2.710505431213761e-20,4.597524617955262e-13,0.009019610383700843,0.0,0.05999281893560134
0.06,30,scratch,0,2,p_euclidean,0.9999999999999999,4.7704895589362195e-18,4.597524617955262e-13,0.008992289608335235,0.0,0.05999999938074875
0.06,30,scratch,0,2,fisher,0.9999999999999999,2.710505431213761e-20,4.597524617955262e-13,0.009023685385536518,0.0,0.059992803433742456
0.06,30,scratch,0,3,p_euclidean,1.0,3.0357660829594124e-18,4.597524617955262e-13,0.008982333067527654,0.0,0.059999999400617315
0.06,30,scratch,0,3,fisher,1.0,2.710505431213761e-20,4.597524617955262e-13,0.009014723256291888,0.0,0.05999281169176662
0.06,30,scratch,0,4,p_euclidean,1.0,3.0357660829594124e-18,4.597524617955262e-13,0.008981258634136118,0.0,0.059999999422107056
0.06,30,scratch,0,4,fisher,1.0,1.3552527156068805e-20,4.597524617955262e-13,0.009013694050761861,0.0,0.05999282304942056
0.06,30,scratch,0,5,p_euclidean,0.9999999999999999,3.469446951953614e-18,4.597524617955262e-13,0.008979971653665911,0.0,0.059999999229565504
0.06,30,scratch,0,5,fisher,0.9999999999999999,2.0328790734103208e-20,4.597524617955262e-13,0.00901247998096266,0.0,0.05999281520899143
0.06,30,scratch,0,6,p_euclidean,0.9999999999999998,2.8189256484623115e-18,4.597524617955262e-13,0.008989371797138712,0.0,0.05999999942885082
0.06,30,scratch,0,6,fisher,0.9999999999999998,2.371692252312041e-20,4.597524617955262e-13,0.009021094137529514,0.0,0.05999280696246535
