seed,descriptor,target_label,descriptor_anchor,rho,nn_median,nn_mean,false_skip_20pct_tol001,skip_rate,dimension
1,kappa_full,scratch,scratch,0.565079141710393,0.008564367294311648,0.11374138046264644,0.0,0.20512820512820512,1600
1,kappa_full,scratch,warm,0.5257872785543136,0.009089950180053652,0.0865309836006164,0.0,0.20512820512820512,1600
1,kappa_full,warm,scratch,0.6146211503332253,0.0016396430969241038,0.07334391843795784,0.0,0.20512820512820512,1600
1,kappa_full,warm,warm,0.5521333000421504,0.0020081531524658303,0.06573253934860238,0.0,0.20512820512820512,1600
1,initial_unit_per_probe,scratch,scratch,0.6459037369947732,0.007532770919799869,0.0698447360420226,0.125,0.20512820512820512,800
1,initial_unit_per_probe,scratch,warm,0.8026175668156611,0.0065948379516598266,0.06956446643829331,0.125,0.20512820512820512,800
1,initial_unit_per_probe,warm,scratch,0.6970272050314853,0.0013301193237307274,0.04254111158370975,0.125,0.20512820512820512,800
1,initial_unit_per_probe,warm,warm,0.850797618181852,0.0012177814483642635,0.06660078712463387,0.125,0.20512820512820512,800
1,initial_gram,scratch,scratch,0.6669120398287982,0.007267524719237972,0.06985315534591666,0.125,0.20512820512820512,36
1,initial_gram,scratch,warm,0.808337886063636,0.006669320678710733,0.06974192867279043,0.125,0.20512820512820512,36
1,initial_gram,warm,scratch,0.7125532306431024,0.001449698638916086,0.0425924381065369,0.125,0.20512820512820512,36
1,initial_gram,warm,warm,0.8580302623229111,0.0012177814483642635,0.0664680973815919,0.125,0.20512820512820512,36
2,kappa_full,scratch,scratch,0.577538734959773,0.008658030700683383,0.11352954158782953,0.125,0.20512820512820512,1600
2,kappa_full,scratch,warm,0.5422430207187069,0.009089950180053652,0.0876862641334533,0.0,0.20512820512820512,1600
2,kappa_full,warm,scratch,0.6228569443537908,0.001287770080566908,0.07414374858856213,0.0,0.20512820512820512,1600
2,kappa_full,warm,warm,0.5733868575311322,0.00170750732421876,0.06319044948577887,0.0,0.20512820512820512,1600
2,initial_unit_per_probe,scratch,scratch,0.6790554467685103,0.007532770919799869,0.06473751031875596,0.125,0.20512820512820512,800
2,initial_unit_per_probe,scratch,warm,0.8059609292784898,0.0065948379516598266,0.0680452861022948,0.125,0.20512820512820512,800
2,initial_unit_per_probe,warm,scratch,0.720142780092929,0.0013301193237307274,0.043535111999511766,0.125,0.20512820512820512,800
2,initial_unit_per_probe,warm,warm,0.8529118313567765,0.0013301193237307274,0.0584067129516602,0.125,0.20512820512820512,800
2,initial_gram,scratch,scratch,0.7152481443869819,0.007267524719237972,0.06292915410995473,0.125,0.20512820512820512,36
2,initial_gram,scratch,warm,0.7965152258395309,0.006137767791748239,0.06635042818069445,0.125,0.20512820512820512,36
2,initial_gram,warm,scratch,0.7560547746103651,0.001223811340332226,0.04153889301300051,0.125,0.20512820512820512,36
2,initial_gram,warm,warm,0.8484922943801534,0.0010206703186037558,0.055826270751953164,0.125,0.20512820512820512,36
