subset,anchor,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
all,scratch,scratch,uniform,one_point,0.34571127805008095,0.007940211486816118,0.06254063516616808,0.15125,0.25,0.06275821796894046,0.9979420530908997,0.975,0.9949999999999999
all,scratch,scratch,uniform,euclidean_two_point,0.3484841133399146,0.007940211486816118,0.06251394950866691,0.19,0.25,0.06304425382661798,0.9979420530908997,0.975,0.9949999999999999
all,scratch,scratch,uniform,fisher_two_point,0.33577960946152924,0.007940211486816118,0.06251246543884267,0.110625,0.25,0.005608189256667978,0.9979420530908997,0.975,0.9949999999999999
all,scratch,warm,uniform,one_point,0.31270369660712644,0.0015692779541014445,0.055268421916961706,0.125,0.125,0.02731278730535498,0.9979420530908997,0.975,0.9949999999999999
all,scratch,warm,uniform,euclidean_two_point,0.3161499316609267,0.0013301193237307274,0.05520663360595708,0.125,0.125,0.02722192233085623,0.9979420530908997,0.975,0.9949999999999999
all,scratch,warm,uniform,fisher_two_point,0.3046931172874805,0.0012177814483642635,0.05519225690841682,0.0,0.0,0.0010439612307546102,0.9979420530908997,0.975,0.9949999999999999
all,scratch,scratch,anchor_is,one_point,0.5850285106542535,0.010719831085205023,0.11096927555084221,0.065,0.125,0.004981000824451299,0.9964881225880902,0.925,0.96
all,scratch,scratch,anchor_is,euclidean_two_point,0.5900311253765751,0.010719831085205023,0.11423139699935907,0.035625,0.125,0.004671112567901434,0.9964881225880902,0.925,0.96
all,scratch,scratch,anchor_is,fisher_two_point,0.5864293553925489,0.010719831085205023,0.13411305143356317,0.035625,0.125,0.004671112567901434,0.9964881225880902,0.925,0.96
all,scratch,warm,anchor_is,one_point,0.6023729491238707,0.001270948791503912,0.0890309471893311,0.0,0.0,0.0009386231565474062,0.9964881225880902,0.925,0.96
all,scratch,warm,anchor_is,euclidean_two_point,0.6063732372756218,0.001270948791503912,0.09580880098342903,0.0,0.0,0.0009615241618155401,0.9964881225880902,0.925,0.96
all,scratch,warm,anchor_is,fisher_two_point,0.5995126949623312,0.0016396430969241038,0.10438392198562627,0.0,0.0,0.0009615241618155401,0.9964881225880902,0.925,0.96
all,scratch,scratch,all_pair_endpoint,one_point,0.4116191423301711,0.007940211486816118,0.056353469886779736,0.19,0.25,0.06304425382661798,0.9957712943720441,0.95,0.9650000000000001
all,scratch,scratch,all_pair_endpoint,euclidean_two_point,0.39762901548357676,0.007940211486816118,0.06244701492309561,0.19,0.25,0.06304425382661798,0.9957712943720441,0.95,0.9650000000000001
all,scratch,scratch,all_pair_endpoint,fisher_two_point,0.39026063138318523,0.007940211486816118,0.06251246543884267,0.110625,0.25,0.005608189256667978,0.9957712943720441,0.95,0.9650000000000001
all,scratch,warm,all_pair_endpoint,one_point,0.37697444790528556,0.0013301193237307274,0.03461321109771733,0.125,0.125,0.02722192233085623,0.9957712943720441,0.95,0.9650000000000001
all,scratch,warm,all_pair_endpoint,euclidean_two_point,0.36089391128449294,0.0013301193237307274,0.055229189968109174,0.125,0.125,0.02722192233085623,0.9957712943720441,0.95,0.9650000000000001
all,scratch,warm,all_pair_endpoint,fisher_two_point,0.35281121502156193,0.0012177814483642635,0.05519225690841682,0.0,0.0,0.0010439612307546102,0.9957712943720441,0.95,0.9650000000000001
