subset,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean
all,scratch,uniform,one_point,0.8029667657505846,0.0065948379516598266,0.06932885406494124,0.151875,0.25,0.06302846970605824
all,scratch,uniform,euclidean_two_point,0.8070119789277264,0.0065948379516598266,0.0696314010238646,0.03125,0.125,0.0051418240566251635
all,scratch,uniform,fisher_two_point,0.8112633024488024,0.0065948379516598266,0.06941441804885848,0.03125,0.125,0.005026361896514672
all,scratch,all_pair_endpoint,one_point,0.8033046337892369,0.0065948379516598266,0.0695602123069762,0.03125,0.125,0.005026361896514672
all,scratch,all_pair_endpoint,euclidean_two_point,0.8073135060433964,0.0065948379516598266,0.06934801567077623,0.03125,0.125,0.005026361896514672
all,scratch,all_pair_endpoint,fisher_two_point,0.811777740182072,0.0065948379516598266,0.06934907234191878,0.03125,0.125,0.005026361896514672
all,warm,uniform,one_point,0.8522839395159489,0.0013943172454835562,0.06665255447387704,0.125,0.125,0.027132000751018535
all,warm,uniform,euclidean_two_point,0.8555031072679093,0.0013301193237307274,0.06662334348678596,0.0,0.0,0.0010991211991310135
all,warm,uniform,fisher_two_point,0.860618392508145,0.0011330081939702197,0.06659699304580698,0.0,0.0,0.001060211474418653
all,warm,all_pair_endpoint,one_point,0.852866908518171,0.0012177814483642635,0.0665675341415406,0.0,0.0,0.001060211474418653
all,warm,all_pair_endpoint,euclidean_two_point,0.8557510310638077,0.0012177814483642635,0.06660726480484017,0.0,0.0,0.001060211474418653
all,warm,all_pair_endpoint,fisher_two_point,0.8608832495955563,0.0011330081939702197,0.06659741300582893,0.0,0.0,0.001060211474418653
seed1,scratch,uniform,one_point,0.8026880683976514,0.0065948379516598266,0.06961223941802963,0.1475,0.25,0.06311347245883919
seed1,scratch,uniform,euclidean_two_point,0.8060795317141705,0.0065948379516598266,0.0696314010238646,0.1175,0.25,0.006961145479678943
seed1,scratch,uniform,fisher_two_point,0.8077788816505517,0.0065948379516598266,0.06963245769500717,0.1175,0.25,0.006961145479678943
seed1,scratch,all_pair_endpoint,one_point,0.8038439008654694,0.0065948379516598266,0.0696271468925475,0.1175,0.25,0.006961145479678943
seed1,scratch,all_pair_endpoint,euclidean_two_point,0.8065713635408784,0.0065948379516598266,0.0696271468925475,0.1175,0.25,0.006961145479678943
seed1,scratch,all_pair_endpoint,fisher_two_point,0.8077979539534095,0.0065948379516598266,0.06969437290191634,0.1175,0.25,0.006961145479678943
seed1,warm,uniform,one_point,0.8507823841914516,0.0015138965606689148,0.06666863315582283,0.125,0.125,0.027173551558017726
seed1,warm,uniform,euclidean_two_point,0.8534008068416121,0.0013301193237307274,0.06662334348678596,0.0,0.0,0.0009657534217835023
seed1,warm,uniform,fisher_two_point,0.8557037984502491,0.0013301193237307274,0.06661349168777472,0.0,0.0,0.0009657534217835023
seed1,warm,all_pair_endpoint,one_point,0.852008975900463,0.0013301193237307274,0.06659009050369269,0.0,0.0,0.0009657534217835023
seed1,warm,all_pair_endpoint,euclidean_two_point,0.85406108099244,0.0013301193237307274,0.06659009050369269,0.0,0.0,0.0009657534217835023
seed1,warm,all_pair_endpoint,fisher_two_point,0.8557721095459256,0.0013301193237307274,0.06661087722778328,0.0,0.0,0.0009657534217835023
seed2,scratch,uniform,one_point,0.8060376807054053,0.0065948379516598266,0.06809113336563093,0.155,0.25,0.06313125807094547
seed2,scratch,uniform,euclidean_two_point,0.8095397831312382,0.0065948379516598266,0.06815806795120223,0.038125,0.125,0.005226454868316439
seed2,scratch,uniform,fisher_two_point,0.8163791507154918,0.0065948379516598266,0.06934907234191878,0.038125,0.125,0.005112666072845231
seed2,scratch,all_pair_endpoint,one_point,0.80612392904851,0.0065948379516598266,0.06808687923431382,0.038125,0.125,0.005112666072845231
seed2,scratch,all_pair_endpoint,euclidean_two_point,0.8093175678642098,0.0065948379516598266,0.06809113336563093,0.038125,0.125,0.005112666072845231
seed2,scratch,all_pair_endpoint,fisher_two_point,0.817088860670309,0.0065948379516598266,0.06934907234191878,0.038125,0.125,0.005112666072845231
seed2,warm,uniform,one_point,0.8528413995469755,0.0013301193237307274,0.0583957524490357,0.125,0.125,0.02710881773853303
seed2,warm,uniform,euclidean_two_point,0.8553953718860909,0.001449698638916086,0.05841830881118779,0.0,0.0,0.001085899011611935
seed2,warm,uniform,fisher_two_point,0.8631661379282971,0.0011330081939702197,0.06659741300582893,0.0,0.0,0.001047553195953377
seed2,warm,all_pair_endpoint,one_point,0.8531301840101876,0.0013301193237307274,0.05836249946594243,0.0,0.0,0.001047553195953377
seed2,warm,all_pair_endpoint,euclidean_two_point,0.8553268010466046,0.0013301193237307274,0.0583957524490357,0.0,0.0,0.001047553195953377
seed2,warm,all_pair_endpoint,fisher_two_point,0.8635444471197505,0.0011330081939702197,0.06659741300582893,0.0,0.0,0.001047553195953377
