subset,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean,ef_distance_rank,ef_top1,ef_top5_overlap
all,scratch,uniform,one_point,0.8029614532497968,0.0065948379516598266,0.06932885406494124,0.151875,0.25,0.06302846970605824,0.998060717848141,0.95,0.9399999999999998
all,scratch,uniform,euclidean_two_point,0.8070027819716574,0.0065948379516598266,0.0696314010238646,0.03125,0.125,0.0051418240566251635,0.998060717848141,0.95,0.9399999999999998
all,scratch,uniform,fisher_two_point,0.8112522875345348,0.0065948379516598266,0.06941441804885848,0.03125,0.125,0.005026361896514672,0.998060717848141,0.95,0.9399999999999998
all,warm,uniform,one_point,0.8522739921323712,0.0013943172454835562,0.06665255447387704,0.125,0.125,0.027132000751018535,0.998060717848141,0.95,0.9399999999999998
all,warm,uniform,euclidean_two_point,0.85549291116555,0.0013301193237307274,0.06662334348678596,0.0,0.0,0.0010991211991310135,0.998060717848141,0.95,0.9399999999999998
all,warm,uniform,fisher_two_point,0.8606058104182807,0.0011330081939702197,0.06659699304580698,0.0,0.0,0.001060211474418653,0.998060717848141,0.95,0.9399999999999998
all,scratch,mid_s010,one_point,0.6313806979567768,0.008658030700683383,0.0502750312805176,0.144375,0.25,0.0073113201651571706,0.9941800225521975,0.9,0.9299999999999999
all,scratch,mid_s010,euclidean_two_point,0.6422309198851534,0.008564367294311648,0.05732721235275266,0.111875,0.25,0.006887765189647518,0.9941800225521975,0.9,0.9299999999999999
all,scratch,mid_s010,fisher_two_point,0.6318931866838041,0.008658030700683383,0.05042613634109498,0.144375,0.25,0.0073113201651571706,0.9941800225521975,0.9,0.9299999999999999
all,warm,mid_s010,one_point,0.6595037543677764,0.001287770080566908,0.050222051811218374,0.0,0.0,0.0009259032397270939,0.9941800225521975,0.9,0.9299999999999999
all,warm,mid_s010,euclidean_two_point,0.6731838570631755,0.001287770080566908,0.053124710636139015,0.0,0.0,0.0009350783305168953,0.9941800225521975,0.9,0.9299999999999999
all,warm,mid_s010,fisher_two_point,0.6617215321780597,0.001287770080566908,0.05021196630477916,0.0,0.0,0.0009259032397270939,0.9941800225521975,0.9,0.9299999999999999
all,scratch,mid_s020,one_point,0.6679648550487243,0.008658030700683383,0.05034096073150631,0.15625,0.25,0.007342785544872122,0.9974159547260638,0.875,0.9149999999999998
all,scratch,mid_s020,euclidean_two_point,0.6702746817723634,0.008564367294311648,0.048625588512420624,0.15625,0.25,0.007342785544872122,0.9974159547260638,0.875,0.9149999999999998
all,scratch,mid_s020,fisher_two_point,0.6712175695435235,0.008658030700683383,0.05034096073150631,0.15625,0.25,0.007342785544872122,0.9974159547260638,0.875,0.9149999999999998
all,warm,mid_s020,one_point,0.6919887112895452,0.001287770080566908,0.05022906238555917,0.0,0.0,0.0008928941864968232,0.9974159547260638,0.875,0.9149999999999998
all,warm,mid_s020,euclidean_two_point,0.6928693941760531,0.001287770080566908,0.042011300563812345,0.0,0.0,0.0008928941864968232,0.9974159547260638,0.875,0.9149999999999998
all,warm,mid_s020,fisher_two_point,0.6936204797423712,0.001287770080566908,0.05022906238555917,0.0,0.0,0.0008928941864968232,0.9974159547260638,0.875,0.9149999999999998
all,scratch,mid_s035,one_point,0.7731857031262451,0.008470703887939912,0.0563203855323791,0.038125,0.125,0.005551010485172115,0.9991955915910733,0.9,0.9800000000000001
all,scratch,mid_s035,euclidean_two_point,0.775577029064453,0.008470703887939912,0.056273654975891055,0.111875,0.25,0.006887765189647518,0.9991955915910733,0.9,0.9800000000000001
all,scratch,mid_s035,fisher_two_point,0.7782445035735012,0.008470703887939912,0.0561835091400146,0.038125,0.125,0.005551010485172115,0.9991955915910733,0.9,0.9800000000000001
all,warm,mid_s035,one_point,0.826838496614112,0.001703379058838106,0.053111309890747194,0.0,0.0,0.0009142579321861921,0.9991955915910733,0.9,0.9800000000000001
all,warm,mid_s035,euclidean_two_point,0.8305316722593578,0.0016396430969241038,0.053098007354736396,0.0,0.0,0.0009350783305168953,0.9991955915910733,0.9,0.9800000000000001
all,warm,mid_s035,fisher_two_point,0.8303103542475451,0.001703379058838106,0.05309153436660776,0.0,0.0,0.0009142579321861921,0.9991955915910733,0.9,0.9800000000000001
all,scratch,best_s015,one_point,0.6143694176154351,0.00952186965942392,0.06032137237548827,0.111875,0.25,0.006772303029537028,0.9977855934815074,1.0,0.8949999999999999
all,scratch,best_s015,euclidean_two_point,0.6266242281131471,0.00952186965942392,0.06015941434860228,0.111875,0.25,0.006772303029537028,0.9977855934815074,1.0,0.8949999999999999
all,scratch,best_s015,fisher_two_point,0.6170155794682091,0.00952186965942392,0.06023084022521972,0.111875,0.25,0.006772303029537028,0.9977855934815074,1.0,0.8949999999999999
all,warm,best_s015,one_point,0.6277507625296626,0.0019402889251711741,0.057888754062652745,0.0,0.0,0.0008961686058045348,0.9977855934815074,1.0,0.8949999999999999
all,warm,best_s015,euclidean_two_point,0.6399298364349569,0.002343277740478822,0.05792145406723039,0.0,0.0,0.0008961686058045348,0.9977855934815074,1.0,0.8949999999999999
all,warm,best_s015,fisher_two_point,0.6300285962907599,0.002343277740478822,0.05793304992675798,0.0,0.0,0.0008961686058045348,0.9977855934815074,1.0,0.8949999999999999
all,scratch,best_s025,one_point,0.636295524469532,0.009089950180053652,0.053453856201171865,0.15625,0.25,0.0074582477049826125,0.9977493453782349,0.9,0.9
all,scratch,best_s025,euclidean_two_point,0.6497765924548412,0.010501472091674291,0.053383051338195785,0.15625,0.25,0.007342785544872122,0.9977493453782349,0.9,0.9
all,scratch,best_s025,fisher_two_point,0.6348337669497089,0.009089950180053652,0.053324367046356215,0.15625,0.25,0.0074582477049826125,0.9977493453782349,0.9,0.9
all,warm,best_s025,one_point,0.6531365921107198,0.001771243286132762,0.055237071266174456,0.0,0.0,0.0009318039112091836,0.9977493453782349,0.9,0.9
all,warm,best_s025,euclidean_two_point,0.6686186015445978,0.0016422771453856733,0.05514865621566785,0.0,0.0,0.0008928941864968232,0.9977493453782349,0.9,0.9
all,warm,best_s025,fisher_two_point,0.6511846005180474,0.001771243286132762,0.05524815910339369,0.0,0.0,0.0009318039112091836,0.9977493453782349,0.9,0.9
all,scratch,best_s040,one_point,0.6659343063842565,0.009089950180053652,0.053228776226043696,0.15625,0.25,0.0074582477049826125,0.9978214768675712,0.925,0.925
all,scratch,best_s040,euclidean_two_point,0.6682722068956468,0.008658030700683383,0.04996026063919068,0.15625,0.25,0.0074582477049826125,0.9978214768675712,0.925,0.925
all,scratch,best_s040,fisher_two_point,0.6647432131895173,0.009089950180053652,0.05329422674179076,0.15625,0.25,0.007342785544872122,0.9978214768675712,0.925,0.925
all,warm,best_s040,one_point,0.6786078383591014,0.001775371551513416,0.05527447973251354,0.0,0.0,0.0009318039112091836,0.9978214768675712,0.925,0.925
all,warm,best_s040,euclidean_two_point,0.682887180970362,0.001775371551513416,0.04770005363464369,0.0,0.0,0.0009318039112091836,0.9978214768675712,0.925,0.925
all,warm,best_s040,fisher_two_point,0.6753756473506726,0.001775371551513416,0.05523754667282119,0.0,0.0,0.0008928941864968232,0.9978214768675712,0.925,0.925
all,scratch,tails_s010,one_point,0.6782838484896717,0.009089950180053652,0.0778198924827576,0.15625,0.25,0.007342785544872122,0.9990084538905687,0.825,0.9399999999999998
all,scratch,tails_s010,euclidean_two_point,0.6846182755619801,0.010609182739257594,0.05626367179870606,0.200625,0.25,0.008034102522849883,0.9990084538905687,0.825,0.9399999999999998
all,scratch,tails_s010,fisher_two_point,0.6789810832663065,0.008658030700683383,0.07767037630081182,0.15625,0.25,0.0074582477049826125,0.9990084538905687,0.825,0.9399999999999998
all,warm,tails_s010,one_point,0.6687264556700462,0.00170750732421876,0.05010931676864634,0.0,0.0,0.0008928941864968232,0.9990084538905687,0.825,0.9399999999999998
all,warm,tails_s010,euclidean_two_point,0.6762117613536236,0.00170750732421876,0.044783140125274803,0.0,0.0,0.0008673677954674469,0.9990084538905687,0.825,0.9399999999999998
all,warm,tails_s010,fisher_two_point,0.6690780266987891,0.001771243286132762,0.05013835081100473,0.0,0.0,0.0009318039112091836,0.9990084538905687,0.825,0.9399999999999998
all,scratch,tails_s020,one_point,0.7714215222941341,0.008658030700683383,0.054691412792205775,0.111875,0.25,0.006772303029537028,0.9981056277197126,0.975,0.9549999999999998
all,scratch,tails_s020,euclidean_two_point,0.779321099164138,0.008564367294311648,0.054540412540435755,0.144375,0.25,0.0072786196894644006,0.9981056277197126,0.975,0.9549999999999998
all,scratch,tails_s020,fisher_two_point,0.7759436722532097,0.008564367294311648,0.05460734712600705,0.111875,0.25,0.006887765189647518,0.9981056277197126,0.975,0.9549999999999998
all,warm,tails_s020,one_point,0.7859308067967601,0.0013876308441163054,0.04461291862487802,0.0,0.0,0.0008961686058045348,0.9981056277197126,0.975,0.9549999999999998
all,warm,tails_s020,euclidean_two_point,0.7933341397392909,0.001452003097534238,0.04462757596969615,0.0,0.0,0.0008774732208252734,0.9981056277197126,0.975,0.9549999999999998
all,warm,tails_s020,fisher_two_point,0.7880165373773635,0.0016396430969241038,0.044650132331848245,0.0,0.0,0.0009350783305168953,0.9981056277197126,0.975,0.9549999999999998
all,scratch,tails_s035,one_point,0.8043152076758374,0.007267524719237972,0.07315074687957754,0.111875,0.25,0.006772303029537028,0.999778257322553,0.975,0.95
all,scratch,tails_s035,euclidean_two_point,0.8076763938525949,0.007532770919799869,0.07336719764709462,0.038125,0.125,0.005435548325061624,0.999778257322553,0.975,0.95
all,scratch,tails_s035,fisher_two_point,0.8093473514628143,0.008564367294311648,0.074066443080902,0.111875,0.25,0.006772303029537028,0.999778257322553,0.975,0.95
all,warm,tails_s035,one_point,0.8529687672808878,0.001287770080566908,0.05986107898712165,0.0,0.0,0.0008961686058045348,0.999778257322553,0.975,0.95
all,warm,tails_s035,euclidean_two_point,0.8551045125774441,0.001287770080566908,0.059854601306915355,0.0,0.0,0.0008753482074738317,0.999778257322553,0.975,0.95
all,warm,tails_s035,fisher_two_point,0.8564067213419395,0.0016396430969241038,0.05993162183761604,0.0,0.0,0.0008961686058045348,0.999778257322553,0.975,0.95
seed1,scratch,uniform,one_point,0.802687823095864,0.0065948379516598266,0.06961223941802963,0.1475,0.25,0.06311347245883919,0.9985310338955746,0.975,0.9400000000000001
seed1,scratch,uniform,euclidean_two_point,0.8060739285587365,0.0065948379516598266,0.0696314010238646,0.1175,0.25,0.006961145479678943,0.9985310338955746,0.975,0.9400000000000001
seed1,scratch,uniform,fisher_two_point,0.8077762775732049,0.0065948379516598266,0.06963245769500717,0.1175,0.25,0.006961145479678943,0.9985310338955746,0.975,0.9400000000000001
seed1,warm,uniform,one_point,0.8507751087742403,0.0015138965606689148,0.06666863315582283,0.125,0.125,0.027173551558017726,0.9985310338955746,0.975,0.9400000000000001
seed1,warm,uniform,euclidean_two_point,0.8533999738904231,0.0013301193237307274,0.06662334348678596,0.0,0.0,0.0009657534217835023,0.9985310338955746,0.975,0.9400000000000001
seed1,warm,uniform,fisher_two_point,0.855690892917789,0.0013301193237307274,0.06661349168777472,0.0,0.0,0.0009657534217835023,0.9985310338955746,0.975,0.9400000000000001
seed1,scratch,mid_s010,one_point,0.6270712849815299,0.008564367294311648,0.05037139020919803,0.1175,0.25,0.006973521160125572,0.9945214333059653,0.925,0.9099999999999999
seed1,scratch,mid_s010,euclidean_two_point,0.6349741339450311,0.008564367294311648,0.057356636695861794,0.1175,0.25,0.006891526292800732,0.9945214333059653,0.925,0.9099999999999999
seed1,scratch,mid_s010,fisher_two_point,0.6270949741778851,0.008564367294311648,0.05037139020919803,0.146875,0.25,0.007396510447025153,0.9945214333059653,0.925,0.9099999999999999
seed1,warm,mid_s010,one_point,0.6555161574185477,0.001287770080566908,0.05022371580123912,0.0,0.0,0.0009252586874962699,0.9945214333059653,0.925,0.9099999999999999
seed1,warm,mid_s010,euclidean_two_point,0.6663610217780465,0.000935897064209712,0.05309646249771129,0.0,0.0,0.0008976271438599559,0.9945214333059653,0.925,0.9099999999999999
seed1,warm,mid_s010,fisher_two_point,0.6572787898578726,0.001287770080566908,0.05022371580123912,0.0,0.0,0.0009304996342659744,0.9945214333059653,0.925,0.9099999999999999
seed1,scratch,mid_s020,one_point,0.6557796769110048,0.008658030700683383,0.050497085170745824,0.1175,0.25,0.007013681911468351,0.997730570152392,0.925,0.9099999999999999
seed1,scratch,mid_s020,euclidean_two_point,0.6585914433790894,0.008658030700683383,0.05028925268173212,0.1175,0.25,0.006891526292800732,0.997730570152392,0.925,0.9099999999999999
seed1,scratch,mid_s020,fisher_two_point,0.6562849088132332,0.008564367294311648,0.050279045524597145,0.1175,0.25,0.006891526292800732,0.997730570152392,0.925,0.9099999999999999
seed1,warm,mid_s020,one_point,0.6823983616809475,0.0016396430969241038,0.050242637348175134,0.0,0.0,0.0009387925047875256,0.997730570152392,0.925,0.9099999999999999
seed1,warm,mid_s020,euclidean_two_point,0.6846271120354149,0.0016396430969241038,0.050246032485962,0.0,0.0,0.0008976271438599559,0.997730570152392,0.925,0.9099999999999999
seed1,warm,mid_s020,fisher_two_point,0.679900739617201,0.001287770080566908,0.05023167684555063,0.0,0.0,0.0008976271438599559,0.997730570152392,0.925,0.9099999999999999
seed1,scratch,mid_s035,one_point,0.7660797572123962,0.008470703887939912,0.05647149059295649,0.1175,0.25,0.007013681911468351,0.9994215066747184,0.925,0.985
seed1,scratch,mid_s035,euclidean_two_point,0.7694225416156987,0.008470703887939912,0.05647149059295649,0.1175,0.25,0.007013681911468351,0.9994215066747184,0.925,0.985
seed1,scratch,mid_s035,fisher_two_point,0.7687864557905997,0.008470703887939912,0.05598418945312493,0.1175,0.25,0.007013681911468351,0.9994215066747184,0.925,0.985
seed1,warm,mid_s035,one_point,0.8222653341746647,0.001703379058838106,0.053105252170562854,0.0,0.0,0.0009387925047875256,0.9994215066747184,0.925,0.985
seed1,warm,mid_s035,euclidean_two_point,0.826759058087255,0.001703379058838106,0.053105252170562854,0.0,0.0,0.0009387925047875256,0.9994215066747184,0.925,0.985
seed1,warm,mid_s035,fisher_two_point,0.8245290159730522,0.0016396430969241038,0.05306991285324105,0.0,0.0,0.0009387925047875256,0.9994215066747184,0.925,0.985
seed1,scratch,best_s015,one_point,0.6220898754916887,0.00952186965942392,0.06030872201919553,0.146875,0.25,0.007274354828357532,0.997673325259948,0.975,0.9049999999999999
seed1,scratch,best_s015,euclidean_two_point,0.6317220702678178,0.00952186965942392,0.057504430084228494,0.1175,0.25,0.006891526292800732,0.997673325259948,0.975,0.9049999999999999
seed1,scratch,best_s015,fisher_two_point,0.6240025317443599,0.00952186965942392,0.06038014789581296,0.146875,0.25,0.007274354828357532,0.997673325259948,0.975,0.9049999999999999
seed1,warm,best_s015,one_point,0.6345040289013145,0.002343277740478822,0.05790827648162859,0.0,0.0,0.0008893342733384046,0.997673325259948,0.975,0.9049999999999999
seed1,warm,best_s015,euclidean_two_point,0.6427094093915582,0.002343277740478822,0.05312575895309466,0.0,0.0,0.0008976271438599559,0.997673325259948,0.975,0.9049999999999999
seed1,warm,best_s015,fisher_two_point,0.6355293612211326,0.002343277740478822,0.057919872341156184,0.0,0.0,0.0008893342733384046,0.997673325259948,0.975,0.9049999999999999
seed1,scratch,best_s025,one_point,0.6387836926800489,0.008658030700683383,0.05175649574279786,0.154375,0.25,0.007489306787967538,0.996991882240542,0.9,0.9349999999999998
seed1,scratch,best_s025,euclidean_two_point,0.6553690014489034,0.008658030700683383,0.04898656431198121,0.154375,0.25,0.007367151169299917,0.996991882240542,0.9,0.9349999999999998
seed1,scratch,best_s025,fisher_two_point,0.6364494153357636,0.008658030700683383,0.05314777580261232,0.154375,0.25,0.007489306787967538,0.996991882240542,0.9,0.9349999999999998
seed1,warm,best_s025,one_point,0.6536612106645722,0.0017060131072996754,0.04696878339767467,0.0,0.0,0.0009342263741493994,0.996991882240542,0.9,0.9349999999999998
seed1,warm,best_s025,euclidean_two_point,0.674423993005278,0.0016422771453856733,0.04214303047180186,0.0,0.0,0.0008930610132218298,0.996991882240542,0.9,0.9349999999999998
seed1,warm,best_s025,fisher_two_point,0.6521459447014256,0.0017060131072996754,0.05519289394378675,0.0,0.0,0.0009342263741493994,0.996991882240542,0.9,0.9349999999999998
seed1,scratch,best_s040,one_point,0.6650535068318998,0.009089950180053652,0.05196903142929077,0.154375,0.25,0.007489306787967538,0.9976841170092834,0.9,0.93
seed1,scratch,best_s040,euclidean_two_point,0.6714381701338196,0.008658030700683383,0.04852366189956665,0.154375,0.25,0.007367151169299917,0.9976841170092834,0.9,0.93
seed1,scratch,best_s040,fisher_two_point,0.6660632956460623,0.009089950180053652,0.04903235439300537,0.154375,0.25,0.007489306787967538,0.9976841170092834,0.9,0.93
seed1,warm,best_s040,one_point,0.6755717946385916,0.0020081531524658303,0.047066500701904435,0.0,0.0,0.0009342263741493994,0.9976841170092834,0.9,0.93
seed1,warm,best_s040,euclidean_two_point,0.6845037137085419,0.001775371551513416,0.03945438905715955,0.0,0.0,0.0008930610132218298,0.9976841170092834,0.9,0.93
seed1,warm,best_s040,fisher_two_point,0.674961367176156,0.001775371551513416,0.04223980529785169,0.0,0.0,0.0009342263741493994,0.9976841170092834,0.9,0.93
seed1,scratch,tails_s010,one_point,0.6829075262782333,0.009089950180053652,0.07824116556167607,0.19125,0.25,0.007941625841140589,0.9989407413312499,0.875,0.96
seed1,scratch,tails_s010,euclidean_two_point,0.6903932182826413,0.010501472091674291,0.07815889476776124,0.19125,0.25,0.007941625841140589,0.9989407413312499,0.875,0.96
seed1,scratch,tails_s010,fisher_two_point,0.6838332406306343,0.009089950180053652,0.07838748264312749,0.19125,0.25,0.007941625841140589,0.9989407413312499,0.875,0.96
seed1,warm,tails_s010,one_point,0.6708459015698165,0.002107588958740081,0.05284472597122207,0.0,0.0,0.0008718489418030523,0.9989407413312499,0.875,0.96
seed1,warm,tails_s010,euclidean_two_point,0.6780793434771538,0.0016396430969241038,0.05270127637863169,0.0,0.0,0.0008718489418030523,0.9989407413312499,0.875,0.96
seed1,warm,tails_s010,fisher_two_point,0.6709790171226607,0.002107588958740081,0.05283807413101207,0.0,0.0,0.0008718489418030523,0.9989407413312499,0.875,0.96
seed1,scratch,tails_s020,one_point,0.7709509155214039,0.010177263259887326,0.05540851913452145,0.18375,0.25,0.007848829500198204,0.9981181014266017,0.95,0.945
seed1,scratch,tails_s020,euclidean_two_point,0.7802906007928505,0.010177263259887326,0.055540904235839815,0.18375,0.25,0.008045788949012611,0.9981181014266017,0.95,0.945
seed1,scratch,tails_s020,fisher_two_point,0.7766574660052974,0.010177263259887326,0.05732475339889524,0.18375,0.25,0.007970985118865825,0.9981181014266017,0.95,0.945
seed1,warm,tails_s020,one_point,0.7801784010294639,0.0016396430969241038,0.047357754669189546,0.0,0.0,0.0008681222019196272,0.9981181014266017,0.95,0.945
seed1,warm,tails_s020,euclidean_two_point,0.7893383946615158,0.001703379058838106,0.04738849069595348,0.0,0.0,0.0009006826815605696,0.9981181014266017,0.95,0.945
seed1,warm,tails_s020,fisher_two_point,0.782782300253233,0.001703379058838106,0.05316892141342171,0.0,0.0,0.000909287562847197,0.9981181014266017,0.95,0.945
seed1,scratch,tails_s035,one_point,0.8039332192818942,0.007267524719237972,0.07315074687957754,0.146875,0.25,0.007349158658504318,0.9997207038435448,1.0,0.96
seed1,scratch,tails_s035,euclidean_two_point,0.8061989466028021,0.007532770919799869,0.07336719764709462,0.146875,0.25,0.007349158658504318,0.9997207038435448,1.0,0.96
seed1,scratch,tails_s035,fisher_two_point,0.8057679924688497,0.007532770919799869,0.07336719764709462,0.146875,0.25,0.007349158658504318,0.9997207038435448,1.0,0.96
seed1,warm,tails_s035,one_point,0.848941225236953,0.001287770080566908,0.05986107898712165,0.0,0.0,0.0008807293920517772,0.9997207038435448,1.0,0.96
seed1,warm,tails_s035,euclidean_two_point,0.849283206941188,0.001287770080566908,0.059854601306915355,0.0,0.0,0.0008807293920517772,0.9997207038435448,1.0,0.96
seed1,warm,tails_s035,fisher_two_point,0.8488215175687001,0.001287770080566908,0.059854601306915355,0.0,0.0,0.0008807293920517772,0.9997207038435448,1.0,0.96
seed2,scratch,uniform,one_point,0.8060235957937694,0.0065948379516598266,0.06809113336563093,0.155,0.25,0.06313125807094547,0.9962985672663658,0.925,0.945
seed2,scratch,uniform,euclidean_two_point,0.8095437122605766,0.0065948379516598266,0.06815806795120223,0.038125,0.125,0.005226454868316439,0.9962985672663658,0.925,0.945
seed2,scratch,uniform,fisher_two_point,0.8163731089061926,0.0065948379516598266,0.06934907234191878,0.038125,0.125,0.005112666072845231,0.9962985672663658,0.925,0.945
seed2,warm,uniform,one_point,0.8528240526001494,0.0013301193237307274,0.0583957524490357,0.125,0.125,0.02710881773853303,0.9962985672663658,0.925,0.945
