subset,target,condition,method,rho,nn_median,nn_mean,false_skip_mean,false_skip_q90,skipped_mae_mean
all,scratch,uniform,one_point,0.8029667657505846,0.0065948379516598266,0.06932885406494124,0.151875,0.25,0.06302846970605824
all,scratch,uniform,euclidean_two_point,0.8070119789277264,0.0065948379516598266,0.0696314010238646,0.03125,0.125,0.0051418240566251635
all,scratch,uniform,fisher_two_point,0.8112633024488024,0.0065948379516598266,0.06941441804885848,0.03125,0.125,0.005026361896514672
all,scratch,gap_endpoint,one_point,0.799409895567227,0.008564367294311648,0.054667887477874724,0.111875,0.25,0.0067694334921835205
all,scratch,gap_endpoint,euclidean_two_point,0.8023775671489499,0.008564367294311648,0.055970617046356155,0.038125,0.125,0.005432678787708116
all,scratch,gap_endpoint,fisher_two_point,0.8038780592344632,0.008564367294311648,0.055970617046356155,0.111875,0.25,0.0067694334921835205
all,scratch,hard_endpoint,one_point,0.7970982041008552,0.008205457687378015,0.06879539817810043,0.03125,0.125,0.0051418240566251635
all,scratch,hard_endpoint,euclidean_two_point,0.797251063706809,0.008205457687378015,0.07009363645553572,0.03125,0.125,0.0051418240566251635
all,scratch,hard_endpoint,fisher_two_point,0.8049572690394581,0.008205457687378015,0.07009363645553572,0.03125,0.125,0.0051418240566251635
all,warm,uniform,one_point,0.8522839395159489,0.0013943172454835562,0.06665255447387704,0.125,0.125,0.027132000751018535
all,warm,uniform,euclidean_two_point,0.8555031072679093,0.0013301193237307274,0.06662334348678596,0.0,0.0,0.0010991211991310135
all,warm,uniform,fisher_two_point,0.860618392508145,0.0011330081939702197,0.06659699304580698,0.0,0.0,0.001060211474418653
all,warm,gap_endpoint,one_point,0.8430101121915947,0.0016396430969241038,0.04440733831405643,0.0,0.0,0.0008770527133942308
all,warm,gap_endpoint,euclidean_two_point,0.8455732737567717,0.0016396430969241038,0.05265300289154058,0.0,0.0,0.0008562323150635276
all,warm,gap_endpoint,fisher_two_point,0.8461534016853848,0.0016396430969241038,0.05265300289154058,0.0,0.0,0.0008770527133942308
all,warm,hard_endpoint,one_point,0.8523157507943351,0.0016396430969241038,0.05848447521209723,0.0,0.0,0.0010991211991310135
all,warm,hard_endpoint,euclidean_two_point,0.8527792905960995,0.0016396430969241038,0.0666959875679017,0.0,0.0,0.0010991211991310135
all,warm,hard_endpoint,fisher_two_point,0.8572841902457842,0.0016396430969241038,0.0666959875679017,0.0,0.0,0.0010991211991310135
seed1,scratch,uniform,one_point,0.8026880683976514,0.0065948379516598266,0.06961223941802963,0.1475,0.25,0.06311347245883919
seed1,scratch,uniform,euclidean_two_point,0.8060795317141705,0.0065948379516598266,0.0696314010238646,0.1175,0.25,0.006961145479678943
seed1,scratch,uniform,fisher_two_point,0.8077788816505517,0.0065948379516598266,0.06963245769500717,0.1175,0.25,0.006961145479678943
seed1,scratch,gap_endpoint,one_point,0.798904525406722,0.008205457687378015,0.055512478027343735,0.146875,0.25,0.007431153525829159
seed1,scratch,gap_endpoint,euclidean_two_point,0.8010416813459604,0.008564367294311648,0.05612492067337034,0.18375,0.25,0.00792363333034499
seed1,scratch,gap_endpoint,fisher_two_point,0.8016386509720237,0.008205457687378015,0.05595348596572873,0.146875,0.25,0.007471314277171939
seed1,scratch,hard_endpoint,one_point,0.7927919919219326,0.008205457687378015,0.07002670186996443,0.1175,0.25,0.006838989861011322
seed1,scratch,hard_endpoint,euclidean_two_point,0.7923429206139982,0.008205457687378015,0.07002670186996443,0.1175,0.25,0.006838989861011322
seed1,scratch,hard_endpoint,fisher_two_point,0.7996832591184955,0.008205457687378015,0.06011581472396834,0.1175,0.25,0.006838989861011322
seed1,warm,uniform,one_point,0.8507823841914516,0.0015138965606689148,0.06666863315582283,0.125,0.125,0.027173551558017726
seed1,warm,uniform,euclidean_two_point,0.8534008068416121,0.0013301193237307274,0.06662334348678596,0.0,0.0,0.0009657534217835023
seed1,warm,uniform,fisher_two_point,0.8557037984502491,0.0013301193237307274,0.06661349168777472,0.0,0.0,0.0009657534217835023
seed1,warm,gap_endpoint,one_point,0.8381140649355295,0.001703379058838106,0.05268654077529911,0.0,0.0,0.0009083609356880912
seed1,warm,gap_endpoint,euclidean_two_point,0.8398045866980993,0.0016396430969241038,0.0526367805290223,0.0,0.0,0.0008595173206329998
seed1,warm,gap_endpoint,fisher_two_point,0.8397125761511076,0.001703379058838106,0.052667660236358715,0.0,0.0,0.000921894752979347
seed1,warm,hard_endpoint,one_point,0.8469800367316539,0.0014848812103274156,0.0666734312057496,0.0,0.0,0.0009245880608559325
seed1,warm,hard_endpoint,euclidean_two_point,0.8470504929248122,0.0014848812103274156,0.0666734312057496,0.0,0.0,0.0009245880608559325
seed1,warm,hard_endpoint,fisher_two_point,0.8507502603357666,0.0014848812103274156,0.05741717704772957,0.0,0.0,0.0009245880608559325
seed2,scratch,uniform,one_point,0.8060376807054053,0.0065948379516598266,0.06809113336563093,0.155,0.25,0.06313125807094547
seed2,scratch,uniform,euclidean_two_point,0.8095397831312382,0.0065948379516598266,0.06815806795120223,0.038125,0.125,0.005226454868316439
seed2,scratch,uniform,fisher_two_point,0.8163791507154918,0.0065948379516598266,0.06934907234191878,0.038125,0.125,0.005112666072845231
seed2,scratch,gap_endpoint,one_point,0.8009547159912315,0.008564367294311648,0.05412221584320065,0.038125,0.125,0.005389695807456798
seed2,scratch,gap_endpoint,euclidean_two_point,0.8036313428393204,0.008564367294311648,0.05564298505783076,0.038125,0.125,0.005389695807456798
seed2,scratch,gap_endpoint,fisher_two_point,0.8043801574075463,0.008564367294311648,0.05412221584320065,0.046875,0.125,0.0055548380250929055
seed2,scratch,hard_endpoint,one_point,0.8021773871180264,0.008205457687378015,0.06879539817810043,0.038125,0.125,0.005226454868316439
seed2,scratch,hard_endpoint,euclidean_two_point,0.8017608531360656,0.008205457687378015,0.068723972301483,0.038125,0.125,0.005226454868316439
seed2,scratch,hard_endpoint,fisher_two_point,0.8095801846453072,0.008205457687378015,0.07016506233215317,0.038125,0.125,0.005226454868316439
seed2,warm,uniform,one_point,0.8528413995469755,0.0013301193237307274,0.0583957524490357,0.125,0.125,0.02710881773853303
seed2,warm,uniform,euclidean_two_point,0.8553953718860909,0.001449698638916086,0.05841830881118779,0.0,0.0,0.001085899011611935
seed2,warm,uniform,fisher_two_point,0.8631661379282971,0.0011330081939702197,0.06659741300582893,0.0,0.0,0.001047553195953377
seed2,warm,gap_endpoint,one_point,0.8429964987458678,0.001405367279052605,0.041676735286712674,0.0,0.0,0.0008428270759582945
seed2,warm,gap_endpoint,euclidean_two_point,0.8455562679012415,0.001405367279052605,0.04989378578186039,0.0,0.0,0.0008428270759582945
seed2,warm,gap_endpoint,fisher_two_point,0.8453441922304441,0.001405367279052605,0.041676735286712674,0.0,0.0,0.0008436257991791241
seed2,warm,hard_endpoint,one_point,0.8536965025173006,0.0016396430969241038,0.05848447521209723,0.0,0.0,0.001085899011611935
seed2,warm,hard_endpoint,euclidean_two_point,0.854475993237587,0.0016396430969241038,0.05847287935256964,0.0,0.0,0.001085899011611935
seed2,warm,hard_endpoint,fisher_two_point,0.8580647461602119,0.0016396430969241038,0.06670758342742929,0.0,0.0,0.001085899011611935
