problem,method,legacy_method,instance_id,instance_index,cost,num_starts,num_augment,checkpoint
ffsp50,USW,loss_only,ffsp50_00000,0,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00001,1,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00002,2,46.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00003,3,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00004,4,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00005,5,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00006,6,50.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00007,7,48.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00008,8,52.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00009,9,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00010,10,47.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00011,11,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00012,12,49.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00013,13,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
ffsp50,USW,loss_only,ffsp50_00014,14,51.0,24,128,logs/train/runs/ffsp50_loss_only_recover_valbest_20260716-2210/checkpoints/epoch_117.ckpt
