set,instance,shape,ref_makespan,pred_makespan,gap,gap_avg,gap_max,base_pred_makespan,base_gap,aug_factor,aug_batch_size,entropy_mean,time_sec
generated,15x15_0000,15x15,1165.0,1205.0,3.4334778785705566,14.338123321533203,27.038633346557617,1205.0,3.4334778785705566,1,1,1.5763100385665894,0.9189200112596154
generated,15x15_0001,15x15,1204.0,1301.9998779296875,8.1395263671875,17.39708137512207,27.15946388244629,1301.9998779296875,8.1395263671875,1,1,1.543975591659546,0.5246114982292056
generated,15x15_0002,15x15,1155.0,1270.0,9.956717491149902,15.110933303833008,22.510826110839844,1270.0,9.956717491149902,1,1,1.5719449520111084,0.5217390153557062
generated,15x15_0003,15x15,1214.0,1294.0,6.589782238006592,13.747811317443848,20.51072120666504,1294.0,6.589782238006592,1,1,1.5643789768218994,0.5228657834231853
generated,15x15_0004,15x15,1278.0,1349.0,5.555558204650879,11.433876037597656,18.388103485107422,1349.0,5.555558204650879,1,1,1.5459481477737427,0.5209798282012343
generated,15x15_0005,15x15,1207.0,1316.0,9.030652046203613,14.940190315246582,23.28087043762207,1316.0,9.030652046203613,1,1,1.5611807107925415,0.5213686767965555
generated,15x15_0006,15x15,1118.0,1206.9998779296875,7.960629463195801,15.739595413208008,26.118064880371094,1206.9998779296875,7.960629463195801,1,1,1.5796664953231812,0.5277104899287224
generated,15x15_0007,15x15,1231.0,1327.0,7.7985405921936035,14.966238021850586,25.913883209228516,1327.0,7.7985405921936035,1,1,1.5807937383651733,0.529023876413703
generated,15x15_0008,15x15,1157.0,1249.0,7.951605319976807,12.849771499633789,22.039758682250977,1249.0,7.951605319976807,1,1,1.6099656820297241,0.5224778028205037
generated,15x15_0009,15x15,1124.0,1207.0,7.384335994720459,12.802350997924805,22.508895874023438,1207.0,7.384335994720459,1,1,1.599323034286499,0.5363176185637712
generated,15x15_0010,15x15,1265.0,1394.9998779296875,10.276662826538086,17.500614166259766,24.74306869506836,1394.9998779296875,10.276662826538086,1,1,1.5160043239593506,0.5226455619558692
generated,15x15_0011,15x15,1136.0,1280.0001220703125,12.67605972290039,21.423852920532227,34.947181701660156,1280.0001220703125,12.67605972290039,1,1,1.5772955417633057,0.5231429003179073
generated,15x15_0012,15x15,1157.0,1246.0001220703125,7.692325115203857,15.792465209960938,23.249780654907227,1246.0001220703125,7.692325115203857,1,1,1.5612026453018188,0.5238257581368089
generated,15x15_0013,15x15,1149.0,1237.0,7.658827304840088,13.983619689941406,23.759782791137695,1237.0,7.658827304840088,1,1,1.6067737340927124,0.5229898598045111
generated,15x15_0014,15x15,1122.0,1227.9998779296875,9.447407722473145,16.851186752319336,23.707653045654297,1227.9998779296875,9.447407722473145,1,1,1.5993579626083374,0.5225352924317122
generated,15x15_0015,15x15,1143.0,1221.0,6.824147701263428,13.754236221313477,22.222209930419922,1221.0,6.824147701263428,1,1,1.5725932121276855,0.5219532130286098
generated,15x15_0016,15x15,1137.0,1235.0,8.619165420532227,16.007030487060547,26.03341293334961,1235.0,8.619165420532227,1,1,1.5662790536880493,0.5319350082427263
generated,15x15_0017,15x15,1180.0,1276.0,8.13559341430664,14.033365249633789,22.033893585205078,1276.0,8.13559341430664,1,1,1.586219310760498,0.5252912044525146
generated,15x15_0018,15x15,1259.0,1361.9998779296875,8.181083679199219,15.945196151733398,24.305009841918945,1361.9998779296875,8.181083679199219,1,1,1.5572526454925537,0.5229529496282339
generated,15x15_0019,15x15,1229.0,1333.0,8.462166786193848,15.763580322265625,21.7249755859375,1333.0,8.462166786193848,1,1,1.5475162267684937,0.5243751769885421
generated,15x15_0020,15x15,1337.0,1415.0,5.833959579467773,11.72342300415039,19.895278930664062,1415.0,5.833959579467773,1,1,1.5106866359710693,0.5210908241569996
generated,15x15_0021,15x15,1204.0,1284.0,6.6445112228393555,12.628471374511719,20.265758514404297,1284.0,6.6445112228393555,1,1,1.5636800527572632,0.5228441189974546
generated,15x15_0022,15x15,1220.0,1307.0001220703125,7.13115930557251,13.098108291625977,21.639358520507812,1307.0001220703125,7.13115930557251,1,1,1.5927537679672241,0.6186654902994633
generated,15x15_0023,15x15,1143.0,1237.0,8.223974227905273,13.273048400878906,20.297468185424805,1237.0,8.223974227905273,1,1,1.5747640132904053,0.5225685201585293
generated,15x15_0024,15x15,1141.0,1265.0001220703125,10.867667198181152,18.20428466796875,25.328659057617188,1265.0001220703125,10.867667198181152,1,1,1.6092764139175415,0.521946070715785
generated,15x15_0025,15x15,1239.0,1343.9998779296875,8.474564552307129,17.46619987487793,31.961273193359375,1343.9998779296875,8.474564552307129,1,1,1.5393059253692627,0.5248537743464112
generated,15x15_0026,15x15,1177.0,1251.0,6.287169456481934,12.636733055114746,20.90059471130371,1251.0,6.287169456481934,1,1,1.5879002809524536,0.5215679109096527
generated,15x15_0027,15x15,1226.0,1326.0,8.156609535217285,14.373469352722168,20.962501525878906,1326.0,8.156609535217285,1,1,1.5761629343032837,0.5245050536468625
generated,15x15_0028,15x15,1306.0,1417.9998779296875,8.575797080993652,15.5562162399292,25.26800537109375,1417.9998779296875,8.575797080993652,1,1,1.4864481687545776,0.5273533780127764
generated,15x15_0029,15x15,1280.0,1384.0,8.125007629394531,15.019536018371582,27.343761444091797,1384.0,8.125007629394531,1,1,1.5484203100204468,0.5260195508599281
generated,15x15_0030,15x15,1232.0,1359.9998779296875,10.389602661132812,15.541923522949219,23.944795608520508,1359.9998779296875,10.389602661132812,1,1,1.5526864528656006,0.5273327464237809
generated,15x15_0031,15x15,1176.0,1242.0,5.612242221832275,13.45064640045166,22.619033813476562,1242.0,5.612242221832275,1,1,1.5888724327087402,0.5457500210031867
generated,15x15_0032,15x15,1147.0,1216.0,6.0156941413879395,13.14842700958252,21.534442901611328,1216.0,6.0156941413879395,1,1,1.5812827348709106,0.5317446459084749
generated,15x15_0033,15x15,1208.0,1276.0,5.629134178161621,13.433229446411133,23.758268356323242,1276.0,5.629134178161621,1,1,1.54106605052948,0.5323565443977714
generated,15x15_0034,15x15,1229.0,1312.0,6.7534565925598145,15.047168731689453,24.00324249267578,1312.0,6.7534565925598145,1,1,1.5561614036560059,0.5268179876729846
generated,15x15_0035,15x15,1240.0,1337.9998779296875,7.9032182693481445,13.860249519348145,22.419357299804688,1337.9998779296875,7.9032182693481445,1,1,1.5746463537216187,0.5207428429275751
generated,15x15_0036,15x15,1222.0,1335.000244140625,9.247159957885742,16.036081314086914,25.368261337280273,1335.000244140625,9.247159957885742,1,1,1.5083047151565552,0.5215122094377875
generated,15x15_0037,15x15,1238.0,1360.0,9.854602813720703,16.481351852416992,27.38287353515625,1360.0,9.854602813720703,1,1,1.5378800630569458,0.519780115224421
generated,15x15_0038,15x15,1225.0,1315.9998779296875,7.428562641143799,13.535714149475098,19.26529312133789,1315.9998779296875,7.428562641143799,1,1,1.579025387763977,0.5252989018335938
generated,15x15_0039,15x15,1101.0,1193.0001220703125,8.356058120727539,14.347040176391602,23.433244705200195,1193.0001220703125,8.356058120727539,1,1,1.5843393802642822,0.5326171619817615
generated,15x15_0040,15x15,1115.0,1178.9998779296875,5.739891529083252,12.931609153747559,27.443933486938477,1178.9998779296875,5.739891529083252,1,1,1.6251016855239868,0.5268661454319954
