model,problem,cpu_time_s,cpu_only_time_s,cpu_with_cuda_time_s,gpu_time_s,event_cpu_time_s,event_gpu_time_s,wall_time_s,profiled_steps,total_steps,profile_warmup,event_profiled_steps,device_type,cuda_available,cuda_device_index,cuda_device_name,batch_size,train_data_size,precision
AttentionModel,TSP50,585.9804329500008,585.9804329500008,0.0,0.0,460.0998152500033,451.50188827514654,446.5618778200005,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
AttentionModel,TSP100,1049.9437668499777,1049.9437668499777,0.0,0.0,838.7200661500003,820.308409118652,850.3141433090059,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
AttentionModel,CVRP50,889.2589863499886,889.2589863499886,0.0,0.0,696.811110849967,685.3694557189941,588.1992695549998,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
AttentionModel,CVRP100,1582.8215196999847,1582.8215196999847,0.0,0.0,1330.7628553999166,1310.6880432128908,1090.2031913690007,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
AttentionModel,KP50,502.0891844999971,502.0891844999971,0.0,0.0,412.5912472999744,405.2820041656495,421.05195733800065,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
AttentionModel,KP100,914.8828482000027,914.8828482000027,0.0,0.0,757.8339022000364,743.1382263183592,732.1979930699963,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
AttentionModel,PCTSP100,887.9917677000032,887.9917677000032,0.0,0.0,741.3595258001351,730.2438171386718,604.835042935003,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
AttentionModel,OP100,366.22467994999323,366.22467994999323,0.0,0.0,295.0521097499859,289.7181495666504,363.27846913199755,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
POMO,TSP50,603.8098587999982,603.8098587999982,0.0,0.0,485.6292979999125,477.41055755615236,496.0636987850012,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
POMO,TSP100,1188.258893450043,1188.258893450043,0.0,0.0,961.326256699931,944.962014770508,968.7387221789977,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
POMO,CVRP50,934.8001386500013,934.8001386500013,0.0,0.0,798.2591436000348,786.0435791015626,721.8723417600049,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
POMO,CVRP100,1746.1114915000194,1746.1114915000194,0.0,0.0,1490.821746799793,1467.700939941406,1322.4200305760023,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
POMO,KP50,570.861413799998,570.861413799998,0.0,0.0,473.9790036998784,467.3123626708984,467.82942448700487,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
POMO,KP100,1032.9811094499958,1032.9811094499958,0.0,0.0,858.9470359999993,842.2760925292968,919.600655015005,50,2500,5,50,cuda,True,1,NVIDIA GeForce RTX 3090,64,160000,32
