model,problem,cpu_time_s,cpu_only_time_s,cpu_with_cuda_time_s,gpu_time_s,event_cpu_time_s,event_gpu_time_s,wall_time_s,profiled_steps,total_steps,profile_warmup,event_profiled_steps,device_type,cuda_available,cuda_device_index,cuda_device_name,batch_size,train_data_size,precision,wall_time_real_s,wall_time_profiled_s,profile_wall_over_real,wall_profiler_overhead_s,event_gpu_over_wall_real,event_gpu_over_wall_real_capped,other_time_real_s,other_time_real_s_capped,event_cpu_over_wall_real
EAM-AM,TSP50,636.0448485500085,636.0448485500085,0.0,0.0,2938.14642782,503.7584032440188,436.67999999999995,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,436.67999999999995,1600.160118500935,3.66437693162255,1163.480118500935,1.1536099735367291,1.0,-67.07840324401883,0.0,6.728374159155447
EAM-AM,TSP100,1046.7930599749866,1046.7930599749866,0.0,0.0,5956.795372415045,826.3956118774412,797.136,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,797.136,2818.693256207974,3.536025541699251,2021.5572562079742,1.0367059220477324,1.0,-29.259611877441216,0.0,7.47274664852051
EAM-AM,CVRP50,1056.4815433049532,1056.4815433049532,0.0,0.0,12727.486456129956,910.9880297088624,661.32,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,661.32,2160.688195803901,3.26723552259708,1499.368195803901,1.377529833830615,1.0,-249.66802970886238,0.0,19.245579229616457
EAM-AM,CVRP100,2198.619181455041,2198.619181455041,0.0,0.0,18728.762834990084,1944.8601499938948,1223.352,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,1223.352,4365.504532780033,3.5684778647356055,3142.1525327800327,1.5897796791061727,1.0,-721.5081499938947,0.0,15.309381792803775
EAM-AM,PCTSP100,825.8427524900287,825.8427524900287,0.0,0.0,4368.764815069408,649.7841008758543,705.24,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,705.24,2045.6097762989807,2.900586717002695,1340.3697762989807,0.9213659192272904,0.9213659192272904,55.45589912414573,55.45589912414573,6.194720683837286
EAM-AM,OP100,481.390866364992,481.390866364992,0.0,0.0,1934.611048519728,397.90812370300273,678.24,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,678.24,1276.1929645931814,1.8816244464985572,597.9529645931814,0.5866774647661634,0.5866774647661634,280.3318762969973,280.3318762969973,2.8523989273999293
EAM-POMO,TSP50,712.8445716199893,712.8445716199893,0.0,0.0,4548.453698934536,573.5202079010012,354.636,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,354.636,1859.932744127931,5.244624753628878,1505.296744127931,1.6172080891421095,1.0,-218.88420790100116,0.0,12.825696485789756
EAM-POMO,TSP100,1261.42988945019,1261.42988945019,0.0,0.0,3858.413736424918,1028.34019744873,674.7840000000001,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,674.7840000000001,3620.0996952508576,5.364827404400307,2945.3156952508575,1.5239546246631954,1.0,-353.5561974487298,0.0,5.717998257849797
EAM-POMO,CVRP50,1118.3636677249983,1118.3636677249983,0.0,0.0,6532.559311645055,924.4993051147452,496.476,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,496.476,2699.122168677859,5.4365612208402,2202.646168677859,1.862122852091028,1.0,-428.0233051147452,0.0,13.157855186645588
EAM-POMO,CVRP100,2016.840534740004,2016.840534740004,0.0,0.0,6289.460570446172,1673.2426632690417,1211.976,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,1211.976,5065.841480750125,4.179819964050546,3853.865480750125,1.3805905919498749,1.0,-461.2666632690416,0.0,5.18942666393243
EAM-SymNCO,TSP50,769.9127699900282,769.9127699900282,0.0,0.0,16483.97121435497,620.0622538757327,348.318,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,348.318,1813.2145718180109,5.205629831986894,1464.896571818011,1.7801613866516595,1.0,-271.74425387573274,0.0,47.32448858329162
EAM-SymNCO,TSP100,1309.9209123150413,1309.9209123150413,0.0,0.0,17126.086810570196,1156.3281729125983,967.176,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,967.176,3392.144201986026,3.5072667249663203,2424.968201986026,1.195571615623835,1.0,-189.1521729125983,0.0,17.707311606750164
EAM-SymNCO,CVRP50,1172.3032769951,1172.3032769951,0.0,0.0,18483.53854795998,1022.9147402191156,590.76,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,590.76,2834.3825260410085,4.797857888213502,2243.6225260410083,1.7315233601109006,1.0,-432.15474021911564,0.0,31.287728600379136
EAM-SymNCO,CVRP100,3962.861380145468,3962.861380145468,0.0,0.0,61580.60010165369,3810.279120635985,1535.712,500,2500,0,500,cuda,True,0,NVIDIA GeForce RTX 3090,64,160000,32,1535.712,6114.641940103145,3.9816332359863993,4578.929940103146,2.481115678353744,1.0,-2274.567120635985,0.0,40.09905509734487
