seed,t,prefix_len,mean_reward,std_reward
0,0.1,10,-8.414838790893555,0.4023263454437256
0,0.3,30,-8.849780082702637,0.4562675654888153
0,0.5,50,-8.999496459960938,0.507413387298584
0,0.7,70,-8.817326545715332,0.4740684926509857
0,0.9,90,-8.323699951171875,0.3495192229747772
1,0.1,10,-8.406050682067871,0.41998910903930664
1,0.3,30,-8.84338665008545,0.4410029947757721
1,0.5,50,-8.969978332519531,0.5256537795066833
1,0.7,70,-8.791666984558105,0.4778420031070709
1,0.9,90,-8.31908130645752,0.36207816004753113
2,0.1,10,-8.410184860229492,0.40553227066993713
2,0.3,30,-8.846956253051758,0.46555131673812866
2,0.5,50,-8.99436092376709,0.5047016143798828
2,0.7,70,-8.827044486999512,0.4867762327194214
2,0.9,90,-8.32430648803711,0.3579462170600891
3,0.1,10,-8.401556015014648,0.38418686389923096
3,0.3,30,-8.867528915405273,0.46719473600387573
3,0.5,50,-8.996115684509277,0.5132379531860352
3,0.7,70,-8.828988075256348,0.47280192375183105
3,0.9,90,-8.333094596862793,0.36327797174453735
4,0.1,10,-8.398659706115723,0.37830013036727905
4,0.3,30,-8.849422454833984,0.4608277976512909
4,0.5,50,-8.987015724182129,0.49124041199684143
4,0.7,70,-8.811767578125,0.4852929711341858
4,0.9,90,-8.327012062072754,0.354282021522522
