Solver,TSP50 Cost,TSP50 Gap,TSP50 Time,TSP100 Cost,TSP100 Gap,TSP100 Time,CVRP50 Cost,CVRP50 Gap,CVRP50 Time,CVRP100 Cost,CVRP100 Gap,CVRP100 Time
Concorde,5.6903,-,13.3m,7.7609,-,40.8m,,-,,,-,
HGS,,-,,,-,,10.3659,-,7479s,15.5857,-,12900s
LKH3,5.6903,0.000000,2.0m,7.7609,0.000000,18.9m,10.367,0.000106,1h,15.6673,0.005236,2h
AM,5.79403,0.018229,2s,8.12325,0.046689,5s,10.94901,0.056253,2s,16.58043,0.063823,5s
"POMO, max",5.70249,0.002142,9s,7.80007,0.005047,19s,10.55475,0.018218,12s,15.89442,0.019808,28s
"SymNCO, max",5.69833,0.001411,10s,7.79325,0.004168,19s,10.49458,0.012414,13s,15.83921,0.016266,29s
POMO-8 aug,5.69677,0.001137,15s,7.77523,0.001846,64s,10.46301,0.009368,47s,15.76035,0.011206,77s
SymNCO-8 aug,5.69761,0.001285,15s,7.77461,0.001767,63s,10.43764,0.006921,48s,15.81801,0.014905,78s
PO,5.69819,0.001387,,7.774413,0.001741,94s,10.49037,0.012008,,15.8116,0.014494,116s
SLL,5.700469,0.001787,27s,7.77334,0.001603,95s,10.469589,0.010003,33s,15.777922,0.012333,116s
BOPO,5.702815,0.002199,30s,7.850002,0.011481,95s,10.543793,0.017161,53s,16.081778,0.031829,198s
Loss-only,5.692007,0.000300,,7.770574,0.001247,95s,10.476468,0.010667,,15.785411,0.012814,
Loss-weighting,5.691372,0.000188,27s,7.767709,0.000877,94s,10.457269,0.008814,,15.787089,0.012921,
