Solver,TSP50 Cost,TSP50 Gap,TSP50 Time,TSP100 Cost,TSP100 Gap,TSP100 Time,CVRP50 Cost,CVRP50 Gap,CVRP50 Time,CVRP100 Cost,CVRP100 Gap,CVRP100 Time,FFSP50 Cost,FFSP50 Gap,FFSP50 Time,FFSP100 Cost,FFSP100 Gap,FFSP100 Time,JSSP10x10 Makespan,JSSP10x10 Gap(%),JSSP10x10 Time,JSSP15x15 Makespan,JSSP15x15 Gap(%),JSSP15x15 Time
Concorde,5.6903,-,13.3m,7.7609,-,40.8m,,-,,,-,,,,,,,,,,,,,
HGS,,-,,,-,,10.3659,-,7479s,15.5857,-,12900s,,,,,,,,,,,,
LKH3,5.6903,0.000000,2.0m,7.7609,0.000000,18.9m,10.367,0.000106,1h,15.6673,0.005236,2h,,,,,,,,,,,,
NN-2opt,6.471123,0.137220,21.1s,9.224478,0.188584,85.7s,,,,,,,,,,,,,,,,,,
Nearest insertion,6.366964,0.118915,76.6s,8.854093,0.140859,480.8s,,,,,,,,,,,,,,,,,,
CVRP nearest feasible,,,,,,,13.980551,0.348706,6.3s,20.900370,0.340997,24.2s,,,,,,,,,,,,
CVRP sweep,,,,,,,17.040103,0.643861,1.3s,30.618177,0.964504,3.5s,,,,,,,,,,,,
CVRP savings,,,,,,,10.898233,0.051354,11.2s,16.496533,0.058440,48.8s,,,,,,,,,,,,
AM,5.79403,0.018229,2s,8.12325,0.046689,5s,10.94901,0.056253,2s,16.58043,0.063823,5s,,,,,,,,,,,,
"POMO, max",5.70249,0.002142,9s,7.80007,0.005047,19s,10.55475,0.018218,12s,15.89442,0.019808,28s,,,,,,,,,,,,
"SymNCO, max",5.69833,0.001411,10s,7.79325,0.004168,19s,10.49458,0.012414,13s,15.83921,0.016266,29s,,,,,,,,,,,,
"POMO, aug_max",5.69677,0.001137,15s,7.77523,0.001846,64s,10.46301,0.009368,47s,15.76035,0.011206,77s,,,,,,,,,,,,
"SymNCO, aug_max",5.69761,0.001285,15s,7.77461,0.001767,63s,10.43764,0.006921,48s,15.81801,0.014905,78s,,,,,,,,,,,,
CP-SAT,,,,,,,,,,,,,51.643,0.0,1800561s,95.431,0.0,1801184s,822.26,0.000000,219s,1205.44,0.000000,35384s
SJF,,,,,,,,,,,,,54.911,0.063281,3.4s,97.092,0.017405,7.1s,,,,,,
MOR,,,,,,,,,,,,,,,,,,,2484.49,,0.3s,3806.93,,0.3s
MWR,,,,,,,,,,,,,,,,,,,2664.39,,0.3s,4107.11,,0.3s
SPT,,,,,,,,,,,,,,,,,,,6154.75,,0.3s,13299.85,,0.4s
GA,,,,,,,,,,,,,55.343,0.071646,1321.6s,102.599,0.075112,2595.3s,873.185484,6.193355,92.7s,1346.63,11.712736,228.6s
PSO,,,,,,,,,,,,,55.31,0.071007,1288.9s,102.444,0.073488,2558.0s,873.451613,6.225721,88.4s,1347.26,11.764999,223.2s
"RL, max",,,,,,,,,,,,,51.835,0.003718,290s,91.875,-0.037263,449s,892.009999,8.466462,36s,1352.570001,12.181194,65s
"RL, aug_max",,,,,,,,,,,,,49.845,-0.034816,348s,89.96,-0.057329,1113s,,,,,,
"PO, max",5.713428,0.004065,9s,7.79862,0.004860,19s,10.595385,0.022138,12s,15.927083,0.021904,28s,51.838,0.003776,290s,91.838,-0.03765,449s,1070.089993,30.178314,36s,1649.539995,36.887628,65s
"PO, aug_max",5.69819,0.001387,15s,7.774413,0.001741,64s,10.49037,0.012008,47s,15.8116,0.014494,77s,49.769,-0.036288,348s,89.68,-0.060263,1113s,,,,,,
"SLL, max",5.716642,0.004629,9s,7.796903,0.004639,19s,10.551877,0.017941,12s,15.878394,0.018780,28s,,,,,,,1092.539994,32.883232,36s,1874.540034,55.550070,65s
"SLL, aug_max",5.700469,0.001787,15s,7.77334,0.001603,64s,10.469589,0.010003,47s,15.777922,0.012333,77s,,,,,,,,,,,,
"BOPO, max",5.730992,0.007151,9s,7.92324,0.020918,19s,10.669621,0.029300,12s,16.258997,0.043200,28s,51.919,0.005344,290s,91.868,-0.037336,449s,855.779994,4.059420,36s,1303.180016,8.088731,65s
"BOPO, aug_max",5.702815,0.002199,15s,7.850002,0.011481,64s,10.543793,0.017161,47s,16.081778,0.031829,77s,49.741,-0.03683,348s,89.672,-0.060347,1113s,,,,,,
"Loss, max",5.701918,0.002042,9s,7.789787,0.003722,19s,10.545,0.017278,12s,15.835,0.015995,28s,51.7,0.001104,290s,91.55,-0.040668,449s,851.210004,3.501552,36s,1305.490006,8.293076,65s
"Loss, aug_max",5.692007,0.000300,15s,7.770574,0.001247,64s,10.455,0.008595,47s,15.755,0.010863,77s,49.7,-0.037624,348s,89.42,-0.062988,1113s,,,,,,
"Loss-weighting, max",5.698214,0.001391,9s,7.781442,0.002647,19s,10.546460,0.017419,12s,15.82,0.015033,28s,51.763000,0.002324,290s,91.5,-0.041192,449s,1709.310059,3.047962,36s,1297.399991,7.611803,65s
"Loss-weighting, aug_max",5.691372,0.000188,15s,7.767709,0.000877,64s,10.457269,0.008814,47s,15.745,0.010221,77s,49.73,-0.037043,348s,89.38,-0.063407,1113s,,,,,,
"JSSP BOPO, aug64_B256 val100",,,,,,,,,,,,,,,,,,,1681.95,1.411164,563s,2575.47,5.276517,1508s
"JSSP Loss, aug64_B256 val100",,,,,,,,,,,,,,,,,,,1680.55,1.320876,573s,2573.39,5.194203,1483s
"JSSP Loss-weighting, aug64_B256 val100",,,,,,,,,,,,,,,,,,,1685.24,1.600657,563s,2560.16,4.650792,1523s
