Solver,TSP50 Cost,TSP50 Gap,TSP50 Time,TSP100 Cost,TSP100 Gap,TSP100 Time,CVRP50 Cost,CVRP50 Gap,CVRP50 Time,CVRP100 Cost,CVRP100 Gap,CVRP100 Time,FFSP50 Cost,FFSP50 Gap,FFSP50 Time,FFSP100 Cost,FFSP100 Gap,FFSP100 Time,JSSP10x10 Makespan,JSSP10x10 Gap(%),JSSP10x10 Time,JSSP15x15 Makespan,JSSP15x15 Gap(%),JSSP15x15 Time
Concorde,5.6903,-,13.3m,7.7609,-,40.8m,,-,,,-,,,,,,,,,,,,,
HGS,,-,,,-,,10.3659,-,7479s,15.5857,-,12900s,,,,,,,,,,,,
LKH3,5.6903,0.000000,2.0m,7.7609,0.000000,18.9m,10.367,0.000106,1h,15.6673,0.005236,2h,,,,,,,,,,,,
AM,5.79403,0.018229,2s,8.12325,0.046689,5s,10.94901,0.056253,2s,16.58043,0.063823,5s,,,,,,,,,,,,
"POMO, max",5.70249,0.002142,9s,7.80007,0.005047,19s,10.55475,0.018218,12s,15.89442,0.019808,28s,,,,,,,,,,,,
"SymNCO, max",5.69833,0.001411,10s,7.79325,0.004168,19s,10.49458,0.012414,13s,15.83921,0.016266,29s,,,,,,,,,,,,
"POMO, aug_max",5.69677,0.001137,15s,7.77523,0.001846,64s,10.46301,0.009368,47s,15.76035,0.011206,77s,,,,,,,,,,,,
"SymNCO, aug_max",5.69761,0.001285,15s,7.77461,0.001767,63s,10.43764,0.006921,48s,15.81801,0.014905,78s,,,,,,,,,,,,
CP-SAT,,,,,,,,,,,,,51.643,0.0,1800561s,95.431,0.0,1801184s,822.26,0.000000,219s,1205.44,0.000000,35384s
SJF,,,,,,,,,,,,,54.911,0.063281,3.4s,97.092,0.017405,7.1s,,,,,,
MOR,,,,,,,,,,,,,,,,,,,,,0.3s,,,0.3s
MWR,,,,,,,,,,,,,,,,,,,,,0.3s,,,0.3s
SPT,,,,,,,,,,,,,,,,,,,,,0.3s,,,0.4s
"RL, max",,,,,,,,,,,,,51.835,0.003718,290s,91.875,-0.037263,449s,892.009999,8.466462,36s,1352.570001,12.181194,65s
"RL, aug_max",,,,,,,,,,,,,49.845,-0.034816,348s,89.96,-0.057329,1113s,,,,,,
"PO, max",5.713428,0.004065,9s,7.79862,0.004860,19s,10.595385,0.022138,12s,15.927083,0.021904,28s,51.838,0.003776,290s,91.838,-0.03765,449s,1070.089993,30.178314,36s,1649.539995,36.887628,65s
"PO, aug_max",5.69819,0.001387,15s,7.774413,0.001741,64s,10.49037,0.012008,47s,15.8116,0.014494,77s,49.769,-0.036288,348s,89.68,-0.060263,1113s,,,,,,
"SLL, max",5.716642,0.004629,9s,7.796903,0.004639,19s,10.551877,0.017941,12s,15.878394,0.018780,28s,,,,,,,1092.539994,32.883232,36s,1874.540034,55.550070,65s
"SLL, aug_max",5.700469,0.001787,15s,7.77334,0.001603,64s,10.469589,0.010003,47s,15.777922,0.012333,77s,,,,,,,,,,,,
"BOPO, max",5.730992,0.007151,9s,7.92324,0.020918,19s,10.669621,0.029300,12s,16.258997,0.043200,28s,51.919,0.005344,290s,91.868,-0.037336,449s,855.779994,4.059420,36s,1303.180016,8.088731,65s
"BOPO, aug_max",5.702815,0.002199,15s,7.850002,0.011481,64s,10.543793,0.017161,47s,16.081778,0.031829,77s,49.741,-0.03683,348s,89.672,-0.060347,1113s,,,,,,
"Loss, max",5.701918,0.002042,9s,7.789787,0.003722,19s,10.573111,0.019990,12s,15.892348,0.019675,28s,51.763,0.002324,290s,91.597,-0.040176,449s,851.210004,3.501552,36s,1305.490006,8.293076,65s
"Loss, aug_max",5.692007,0.000300,15s,7.770574,0.001247,64s,10.476468,0.010667,47s,15.785411,0.012814,77s,49.812,-0.035455,348s,89.44,-0.062778,1113s,,,,,,
"Loss-weighting, max",5.703137,0.002256,9s,7.781442,0.002647,19s,10.604676,0.023035,12s,15.897666,0.020016,28s,51.867,0.004337,290s,91.614,-0.039997,449s,850.989999,3.477336,36s,1297.399991,7.611803,65s
"Loss-weighting, aug_max",5.696392,0.001071,15s,7.767709,0.000877,64s,10.495928,0.012544,47s,15.787089,0.012921,77s,49.836,-0.03499,348s,89.531,-0.061825,1113s,,,,,,
